,full_test_accs,full_test_aucs,full_test_null_accs,full_train_accs,full_train_aucs,full_train_null_accs
iter1_cv_split1,0.8518518518518519,0.7717391304347826,0.8518518518518519,1.0,1.0,0.8666666666666667
iter1_cv_split2,0.8518518518518519,0.8206521739130435,0.8518518518518519,1.0,1.0,0.8666666666666667
iter1_cv_split3,0.8518518518518519,0.40217391304347827,0.8518518518518519,1.0,1.0,0.8666666666666667
iter1_cv_split4,0.8846153846153846,0.4057971014492754,0.8846153846153846,1.0,1.0,0.8584905660377359
iter1_cv_split5,0.92,0.9090909090909092,0.88,1.0,1.0,0.8598130841121495
iter2_cv_split1,0.8518518518518519,0.7282608695652174,0.8518518518518519,1.0,1.0,0.8666666666666667
iter2_cv_split2,0.8518518518518519,0.2608695652173913,0.8518518518518519,1.0,1.0,0.8666666666666667
iter2_cv_split3,0.9259259259259259,0.8913043478260869,0.8518518518518519,1.0,1.0,0.8666666666666667
iter2_cv_split4,0.8461538461538461,0.6811594202898551,0.8846153846153846,1.0,1.0,0.8584905660377359
iter2_cv_split5,0.84,0.7424242424242424,0.88,1.0,1.0,0.8598130841121495
iter3_cv_split1,0.8518518518518519,0.6086956521739131,0.8518518518518519,1.0,1.0,0.8666666666666667
iter3_cv_split2,0.8148148148148148,0.532608695652174,0.8518518518518519,1.0,1.0,0.8666666666666667
iter3_cv_split3,0.8518518518518519,0.7717391304347826,0.8518518518518519,1.0,1.0,0.8666666666666667
iter3_cv_split4,0.8461538461538461,0.5652173913043479,0.8846153846153846,1.0,1.0,0.8584905660377359
iter3_cv_split5,0.88,0.5757575757575757,0.88,1.0,1.0,0.8598130841121495
iter4_cv_split1,0.8148148148148148,0.8369565217391304,0.8518518518518519,1.0,1.0,0.8666666666666667
iter4_cv_split2,0.8518518518518519,0.6304347826086957,0.8518518518518519,1.0,1.0,0.8666666666666667
iter4_cv_split3,0.7777777777777778,0.42934782608695654,0.8518518518518519,1.0,1.0,0.8666666666666667
iter4_cv_split4,0.8846153846153846,0.8260869565217392,0.8846153846153846,1.0,1.0,0.8584905660377359
iter4_cv_split5,0.88,0.6363636363636364,0.88,1.0,1.0,0.8598130841121495
iter5_cv_split1,0.8518518518518519,0.6304347826086956,0.8518518518518519,1.0,1.0,0.8666666666666667
iter5_cv_split2,0.8518518518518519,0.5217391304347827,0.8518518518518519,1.0,1.0,0.8666666666666667
iter5_cv_split3,0.8888888888888888,0.8804347826086957,0.8518518518518519,1.0,1.0,0.8666666666666667
iter5_cv_split4,0.8846153846153846,0.7681159420289856,0.8846153846153846,1.0,1.0,0.8584905660377359
iter5_cv_split5,0.92,0.6666666666666667,0.88,1.0,1.0,0.8598130841121495
iter6_cv_split1,0.8518518518518519,0.4945652173913043,0.8518518518518519,1.0,1.0,0.8666666666666667
iter6_cv_split2,0.8888888888888888,0.7608695652173912,0.8518518518518519,1.0,1.0,0.8666666666666667
iter6_cv_split3,0.8518518518518519,0.4347826086956522,0.8518518518518519,1.0,1.0,0.8666666666666667
iter6_cv_split4,0.8461538461538461,0.6521739130434783,0.8846153846153846,1.0,1.0,0.8584905660377359
iter6_cv_split5,0.88,0.6666666666666667,0.88,1.0,1.0,0.8598130841121495
iter7_cv_split1,0.8518518518518519,0.673913043478261,0.8518518518518519,1.0,1.0,0.8666666666666667
iter7_cv_split2,0.8518518518518519,0.6086956521739131,0.8518518518518519,1.0,1.0,0.8666666666666667
iter7_cv_split3,0.8888888888888888,0.9402173913043478,0.8518518518518519,1.0,1.0,0.8666666666666667
iter7_cv_split4,0.8846153846153846,0.6086956521739131,0.8846153846153846,1.0,1.0,0.8584905660377359
iter7_cv_split5,0.88,0.6060606060606061,0.88,1.0,1.0,0.8598130841121495
iter8_cv_split1,0.8888888888888888,0.6413043478260869,0.8518518518518519,1.0,1.0,0.8666666666666667
iter8_cv_split2,0.8888888888888888,0.5434782608695652,0.8518518518518519,1.0,1.0,0.8666666666666667
iter8_cv_split3,0.8518518518518519,0.7608695652173914,0.8518518518518519,1.0,1.0,0.8666666666666667
iter8_cv_split4,0.8461538461538461,0.818840579710145,0.8846153846153846,1.0,1.0,0.8584905660377359
iter8_cv_split5,0.88,0.6666666666666667,0.88,1.0,1.0,0.8598130841121495
iter9_cv_split1,0.8518518518518519,0.8369565217391304,0.8518518518518519,1.0,1.0,0.8666666666666667
