,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,let,need,decent,close,undervalu,bullish,cheap,escal,watch,buy
iter1_cv_split2,need,let,cheap,bullish,buy,undervalu,updat,look,close,high
iter1_cv_split3,cheap,close,final,escal,dot,bought,bullish,right,watch,buy
iter1_cv_split4,let,need,cheap,bought,dot,high,close,buy,watch,sinc
iter1_cv_split5,need,let,dot,masternod,mil,bought,good,undervalu,escal,bullish
iter2_cv_split1,let,cheap,close,bought,volum,bullish,buy,undervalu,watch,masternod
iter2_cv_split2,need,let,dot,buy,dip,bullish,escal,bought,good,cheap
iter2_cv_split3,need,cheap,dot,mil,masternod,let,final,close,breakout,bullish
iter2_cv_split4,need,cheap,let,bought,masternod,mil,undervalu,escal,bullish,close
iter2_cv_split5,buy,dot,undervalu,escal,high,close,watch,nice,breakout,final
iter3_cv_split1,need,let,dot,bought,close,undervalu,watch,escal,bullish,hold
iter3_cv_split2,let,cheap,undervalu,close,bullish,bought,buy,final,high,breakout
iter3_cv_split3,need,let,dot,mil,masternod,close,bought,good,watch,bullish
iter3_cv_split4,need,let,cheap,buy,updat,decent,look,right,high,close
iter3_cv_split5,need,cheap,dot,close,bought,mil,masternod,watch,buy,escal
iter4_cv_split1,need,cheap,let,dot,bought,close,watch,final,bullish,buy
iter4_cv_split2,cheap,need,dot,buy,mil,masternod,bullish,close,undervalu,right
iter4_cv_split3,close,bought,dot,watch,escal,undervalu,high,bullish,buy,good
iter4_cv_split4,need,let,cheap,masternod,mil,dot,final,bullish,close,undervalu
iter4_cv_split5,let,decent,need,updat,buy,look,high,dip,close,bought
iter5_cv_split1,let,cheap,need,decent,bought,bullish,escal,high,updat,right
iter5_cv_split2,need,let,cheap,dot,buy,mil,masternod,close,undervalu,watch
iter5_cv_split3,need,dot,close,high,bullish,escal,undervalu,watch,buy,red
iter5_cv_split4,need,let,dot,mil,masternod,close,buy,watch,undervalu,right
iter5_cv_split5,let,cheap,updat,buy,bullish,escal,undervalu,dot,bought,final
iter6_cv_split1,let,need,cheap,dot,buy,escal,undervalu,good,bought,posit
iter6_cv_split2,cheap,buy,close,bullish,undervalu,dot,watch,bought,masternod,mil
iter6_cv_split3,need,cheap,let,undervalu,bullish,masternod,mil,final,escal,high
iter6_cv_split4,cheap,need,dot,masternod,mil,bullish,buy,bought,high,close
iter6_cv_split5,let,bought,decent,need,close,watch,bullish,undervalu,escal,breakout
iter7_cv_split1,cheap,bullish,breakout,buy,undervalu,bought,close,masternod,mil,watch
iter7_cv_split2,cheap,need,buy,updat,let,bullish,good,escal,dip,fli
iter7_cv_split3,let,need,cheap,dot,close,high,buy,bought,escal,undervalu
iter7_cv_split4,need,let,dot,undervalu,buy,close,watch,right,bought,high
iter7_cv_split5,need,let,mil,bought,masternod,dot,close,watch,escal,bullish
iter8_cv_split1,need,cheap,dot,buy,updat,decent,escal,undervalu,bullish,high
iter8_cv_split2,need,let,bought,masternod,mil,bullish,escal,undervalu,btc,buy
iter8_cv_split3,cheap,let,bullish,close,bought,masternod,mil,escal,need,decent
iter8_cv_split4,cheap,let,buy,bought,bullish,undervalu,dot,masternod,mil,close
iter8_cv_split5,let,need,cheap,dot,buy,close,undervalu,final,imo,turn
iter9_cv_split1,need,let,cheap,dot,bought,watch,close,buy,bullish,undervalu
iter9_cv_split2,need,let,cheap,masternod,mil,close,undervalu,buy,watch,breakout
iter9_cv_split3,need,bought,dot,masternod,mil,close,escal,bullish,watch,right
iter9_cv_split4,let,cheap,close,bought,escal,high,final,bullish,watch,undervalu
iter9_cv_split5,need,cheap,dot,buy,good,undervalu,bullish,updat,high,decent
iter10_cv_split1,let,bought,mil,masternod,bullish,close,escal,undervalu,breakout,watch
