,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,came,market,far,continu,hamp,total,cap,want,pullback,escap
iter1_cv_split2,market,far,total,want,hope,journey,scenario,optimist,exit,declin
iter1_cv_split3,came,far,escap,continu,total,hope,pullback,accumul,downtrend,pls
iter1_cv_split4,came,far,exit,hope,declin,accumul,want,continu,escap,market
iter1_cv_split5,came,market,price,total,hamp,exit,check,littl,paus,pls
iter2_cv_split1,came,far,total,hope,accumul,escap,want,grab,journey,hamp
iter2_cv_split2,market,far,hope,total,hamp,declin,want,journey,exit,pullback
iter2_cv_split3,came,want,market,far,total,hamp,exit,hope,pullback,accumul
iter2_cv_split4,came,market,total,exit,pullback,continu,accumul,probabl,hamp,journey
iter2_cv_split5,came,hope,escap,downtrend,market,exit,price,continu,grab,far
iter3_cv_split1,market,came,far,continu,hamp,hope,want,cap,total,declin
iter3_cv_split2,came,want,exit,far,hamp,market,hope,continu,resist,pullback
iter3_cv_split3,came,market,total,pullback,price,declin,continu,want,exit,accumul
iter3_cv_split4,far,total,hamp,hope,want,probabl,accumul,escap,journey,cap
iter3_cv_split5,came,far,market,continu,exit,declin,escap,hamp,total,hope
iter4_cv_split1,came,far,total,hope,declin,continu,hamp,accumul,pullback,probabl
iter4_cv_split2,came,want,far,market,total,exit,pullback,continu,grab,hope
iter4_cv_split3,came,market,far,escap,downtrend,hope,continu,hamp,exit,journey
iter4_cv_split4,came,market,total,exit,want,accumul,hamp,littl,check,declin
iter4_cv_split5,far,price,exit,market,hope,hamp,probabl,escap,continu,want
iter5_cv_split1,came,exit,continu,hope,pullback,escap,market,accumul,grab,far
iter5_cv_split2,came,total,far,hope,declin,want,hamp,escap,check,accumul
iter5_cv_split3,came,market,far,want,price,continu,exit,pullback,check,littl
iter5_cv_split4,came,market,far,total,hope,hamp,continu,exit,pullback,check
iter5_cv_split5,market,total,accumul,hamp,escap,exit,journey,decis,far,point
iter6_cv_split1,far,accumul,want,littl,resist,check,pullback,hope,declin,continu
iter6_cv_split2,came,far,escap,market,downtrend,continu,exit,hamp,grab,hope
iter6_cv_split3,came,market,total,accumul,exit,hamp,probabl,scenario,journey,start
iter6_cv_split4,came,want,far,market,pullback,exit,hamp,hope,total,probabl
iter6_cv_split5,came,market,far,hope,continu,cap,total,escap,want,pullback
iter7_cv_split1,came,escap,far,market,exit,downtrend,hamp,hope,pullback,accumul
iter7_cv_split2,want,market,exit,continu,pullback,accumul,level,hamp,far,point
iter7_cv_split3,came,far,exit,continu,accumul,check,hope,market,declin,want
iter7_cv_split4,came,market,far,price,declin,want,total,cap,resist,escap
iter7_cv_split5,came,total,hope,want,declin,hamp,littl,far,grab,escap
iter8_cv_split1,market,far,escap,continu,declin,littl,exit,accumul,check,journey
iter8_cv_split2,came,total,hope,want,hamp,journey,far,grab,spot,overbought
iter8_cv_split3,came,market,far,total,exit,accumul,hamp,hope,pullback,continu
iter8_cv_split4,came,want,market,total,exit,accumul,continu,hamp,decis,far
iter8_cv_split5,came,far,exit,hope,accumul,pullback,want,declin,market,escap
iter9_cv_split1,came,market,far,declin,continu,want,accumul,hope,total,cap
iter9_cv_split2,came,far,market,total,pullback,want,level,exit,grab,hope
