,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,buy,good,breakout,nice,high,undervalu,updat,close,look,bought
iter1_cv_split2,buy,updat,breakout,good,high,look,nice,bought,bullish,bounc
iter1_cv_split3,buy,good,nice,breakout,bought,look,bounc,updat,imo,high
iter1_cv_split4,buy,let,good,nice,high,breakout,bought,updat,need,cheap
iter1_cv_split5,good,buy,updat,nice,bought,breakout,high,imo,undervalu,soon
iter2_cv_split1,buy,high,bought,volum,good,breakout,undervalu,cheap,nice,btc
iter2_cv_split2,buy,good,dip,bought,breakout,updat,nice,need,high,imo
iter2_cv_split3,good,breakout,nice,buy,imo,updat,high,bought,st,readi
iter2_cv_split4,good,buy,look,nice,breakout,updat,high,undervalu,bounc,bought
iter2_cv_split5,buy,updat,good,nice,breakout,high,undervalu,bought,bounc,ath
iter3_cv_split1,buy,good,nice,bought,high,updat,imo,undervalu,bounc,need
iter3_cv_split2,buy,breakout,good,nice,bought,high,imo,undervalu,look,let
iter3_cv_split3,good,buy,updat,bought,nice,breakout,high,soon,need,undervalu
iter3_cv_split4,buy,breakout,look,good,updat,high,nice,need,amp,imo
iter3_cv_split5,buy,good,breakout,nice,updat,high,bought,need,bounc,abov
iter4_cv_split1,buy,good,nice,high,updat,bought,breakout,bounc,undervalu,look
iter4_cv_split2,buy,nice,breakout,look,good,high,undervalu,abov,bullish,close
iter4_cv_split3,buy,good,updat,high,nice,bought,breakout,undervalu,bounc,imo
iter4_cv_split4,good,breakout,buy,bought,nice,soon,imo,high,amp,need
iter4_cv_split5,buy,updat,good,breakout,dip,nice,let,bought,high,look
iter5_cv_split1,buy,good,updat,breakout,high,nice,bought,imo,let,cheap
iter5_cv_split2,buy,breakout,good,high,nice,bought,updat,undervalu,need,ath
iter5_cv_split3,buy,good,nice,high,updat,breakout,imo,look,bounc,undervalu
iter5_cv_split4,buy,good,look,breakout,bought,nice,high,right,need,undervalu
iter5_cv_split5,buy,updat,good,nice,soon,breakout,bought,bounc,high,imo
iter6_cv_split1,buy,good,updat,nice,let,look,breakout,bought,undervalu,need
iter6_cv_split2,buy,breakout,good,nice,imo,updat,undervalu,high,bounc,abov
iter6_cv_split3,good,buy,updat,high,nice,soon,breakout,undervalu,amp,bounc
iter6_cv_split4,buy,good,breakout,nice,high,updat,look,bought,cheap,bullish
iter6_cv_split5,breakout,buy,good,bought,nice,high,updat,imo,bullish,look
iter7_cv_split1,buy,breakout,good,nice,updat,high,bought,imo,bullish,cheap
iter7_cv_split2,buy,good,updat,nice,dip,breakout,soon,high,imo,bought
iter7_cv_split3,buy,nice,good,let,high,look,bought,breakout,undervalu,need
iter7_cv_split4,buy,breakout,good,nice,high,updat,look,bounc,need,bought
iter7_cv_split5,buy,bought,good,high,nice,bounc,undervalu,need,amp,abov
iter8_cv_split1,buy,updat,high,breakout,need,good,undervalu,nice,imo,bought
iter8_cv_split2,buy,good,bought,nice,amp,high,bounc,imo,breakout,need
iter8_cv_split3,buy,breakout,good,bought,nice,high,updat,look,imo,bullish
iter8_cv_split4,buy,good,updat,nice,breakout,bought,look,high,soon,cheap
iter8_cv_split5,breakout,buy,good,let,nice,high,need,undervalu,imo,bounc
iter9_cv_split1,buy,good,bought,nice,high,imo,bounc,updat,look,breakout
iter9_cv_split2,buy,breakout,good,nice,bought,imo,high,look,need,updat
iter9_cv_split3,buy,nice,good,breakout,bought,high,look,updat,amp,bounc
iter9_cv_split4,breakout,good,buy,let,high,nice,updat,break,undervalu,cheap
iter9_cv_split5,buy,good,updat,high,nice,need,undervalu,bounc,breakout,bought
iter10_cv_split1,buy,breakout,good,bought,updat,nice,undervalu,look,hold,st
iter10_cv_split2,buy,good,nice,updat,high,let,soon,breakout,undervalu,imo
iter10_cv_split3,buy,good,high,need,nice,bought,breakout,imo,updat,undervalu
iter10_cv_split4,buy,breakout,updat,nice,good,bought,need,high,bounc,look
iter10_cv_split5,buy,good,nice,high,look,breakout,bought,bounc,updat,right
iter11_cv_split1,breakout,buy,good,nice,look,abov,updat,imo,readi,cheap
iter11_cv_split2,buy,good,nice,high,updat,bought,breakout,need,bounc,undervalu
iter11_cv_split3,buy,good,high,bought,nice,breakout,imo,abov,need,close
iter11_cv_split4,buy,updat,good,dip,nice,high,soon,breakout,bought,volum
iter11_cv_split5,buy,good,high,nice,breakout,need,bought,updat,undervalu,bounc
iter12_cv_split1,buy,good,nice,high,bought,imo,breakout,hold,close,readi
iter12_cv_split2,good,buy,let,soon,high,bought,updat,nice,need,undervalu
iter12_cv_split3,buy,breakout,updat,good,look,nice,dip,bullish,bounc,high
iter12_cv_split4,buy,updat,good,bought,high,nice,breakout,bounc,need,undervalu
iter12_cv_split5,buy,breakout,good,nice,high,bought,updat,imo,look,need
