,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,hamp,market,far,came,probabl,escap,pullback,continu,resist,rsi
iter1_cv_split2,far,market,hamp,hope,probabl,exampl,escap,week,moon,pant
iter1_cv_split3,far,came,hope,hamp,resist,pullback,continu,escap,price,total
iter1_cv_split4,far,came,hope,resist,escap,probabl,continu,exampl,exit,pullback
iter1_cv_split5,hamp,came,price,market,moon,exampl,exit,mayb,confirm,volum
iter2_cv_split1,far,came,hope,hamp,escap,exampl,moon,price,probabl,total
iter2_cv_split2,hamp,market,far,hope,pullback,week,exampl,escap,resist,probabl
iter2_cv_split3,hamp,far,market,came,hope,resist,pullback,price,exit,want
iter2_cv_split4,hamp,came,market,probabl,pullback,price,continu,scenario,exit,journey
iter2_cv_split5,hope,resist,came,downtrend,escap,exampl,continu,accumul,hamp,grab
iter3_cv_split1,market,hamp,far,came,resist,hope,continu,escap,pullback,exit
iter3_cv_split2,hamp,far,came,resist,hope,pullback,exampl,probabl,exit,continu
iter3_cv_split3,market,pullback,came,probabl,escap,continu,accumul,exampl,moon,price
iter3_cv_split4,hamp,far,hope,probabl,escap,scenario,mayb,don,moral,pant
iter3_cv_split5,far,came,market,hamp,continu,price,exampl,grab,hope,exit
iter4_cv_split1,far,came,hamp,hope,probabl,pullback,continu,week,price,total
iter4_cv_split2,far,market,came,pullback,probabl,resist,hamp,mayb,continu,hope
iter4_cv_split3,far,market,escap,hamp,came,hope,downtrend,continu,exampl,grab
iter4_cv_split4,hamp,market,came,moon,escap,exampl,probabl,price,exit,total
iter4_cv_split5,hamp,far,resist,hope,price,probabl,escap,continu,pullback,exampl
iter5_cv_split1,came,hope,pullback,probabl,continu,escap,exampl,price,exit,hamp
iter5_cv_split2,hamp,far,came,hope,escap,exampl,price,total,declin,grab
iter5_cv_split3,far,market,came,resist,exampl,price,hamp,pullback,hope,grab
iter5_cv_split4,hamp,far,market,came,hope,continu,pullback,moon,probabl,resist
iter5_cv_split5,hamp,market,escap,volum,probabl,accumul,week,wet,moral,pant
iter6_cv_split1,resist,far,hamp,hope,accumul,pullback,moral,pant,wet,continu
iter6_cv_split2,escap,hamp,far,came,market,downtrend,exampl,probabl,continu,week
