,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,buy,updat,good,breakout,look,support,resist,high,amp,nice
iter1_cv_split2,buy,updat,breakout,good,support,look,dip,imo,resist,amp
iter1_cv_split3,buy,updat,breakout,good,support,look,imo,dip,high,resist
iter1_cv_split4,buy,updat,breakout,good,dip,look,support,amp,high,nice
iter1_cv_split5,buy,updat,breakout,good,support,look,dip,volum,nice,strong
iter2_cv_split1,buy,updat,breakout,good,dip,support,look,imo,high,volum
iter2_cv_split2,buy,updat,breakout,good,support,look,dip,amp,nice,imo
iter2_cv_split3,buy,updat,good,breakout,support,look,high,resist,volum,amp
iter2_cv_split4,buy,updat,good,breakout,support,look,dip,resist,volum,strong
iter2_cv_split5,updat,buy,breakout,good,support,amp,nice,dip,look,high
iter3_cv_split1,buy,updat,breakout,good,look,support,amp,dip,resist,volum
iter3_cv_split2,buy,updat,breakout,good,look,dip,support,imo,nice,high
iter3_cv_split3,buy,updat,good,breakout,support,amp,resist,dip,volum,imo
iter3_cv_split4,updat,buy,good,breakout,support,look,resist,dip,volum,nice
iter3_cv_split5,buy,updat,good,breakout,support,nice,look,imo,high,resist
iter4_cv_split1,updat,buy,breakout,good,support,dip,volum,imo,amp,look
iter4_cv_split2,buy,updat,good,breakout,amp,look,support,imo,high,nice
iter4_cv_split3,buy,updat,breakout,good,look,support,nice,resist,high,dip
iter4_cv_split4,buy,updat,breakout,good,support,look,resist,imo,dip,bought
iter4_cv_split5,buy,updat,good,breakout,support,look,nice,dip,volum,amp
iter5_cv_split1,buy,updat,good,breakout,look,support,amp,imo,resist,high
iter5_cv_split2,buy,updat,good,breakout,support,look,dip,nice,resist,imo
iter5_cv_split3,updat,buy,breakout,good,support,look,volum,high,imo,dip
iter5_cv_split4,buy,updat,breakout,good,support,look,dip,nice,volum,amp
iter5_cv_split5,buy,updat,breakout,good,support,look,high,dip,resist,nice
iter6_cv_split1,buy,updat,breakout,good,support,nice,amp,look,volum,resist
iter6_cv_split2,updat,buy,breakout,good,look,support,amp,dip,nice,imo
iter6_cv_split3,buy,updat,good,breakout,support,look,imo,resist,volum,high
iter6_cv_split4,buy,updat,breakout,good,look,dip,support,high,bought,amp
iter6_cv_split5,buy,updat,good,breakout,support,high,dip,imo,volum,resist
iter7_cv_split1,buy,updat,good,breakout,support,look,imo,amp,nice,volum
iter7_cv_split2,updat,buy,breakout,good,look,support,high,imo,resist,volum
iter7_cv_split3,buy,updat,good,breakout,look,support,resist,amp,dip,imo
iter7_cv_split4,buy,updat,good,breakout,support,volum,look,dip,strong,resist
iter7_cv_split5,buy,updat,breakout,good,support,look,dip,amp,nice,resist
iter8_cv_split1,buy,updat,breakout,good,support,look,high,imo,volum,dip
iter8_cv_split2,buy,updat,good,breakout,support,amp,look,high,volum,dip
iter8_cv_split3,buy,updat,breakout,good,nice,support,look,high,dip,imo
iter8_cv_split4,buy,updat,good,breakout,look,support,imo,resist,nice,high
iter8_cv_split5,buy,updat,breakout,good,dip,support,look,resist,nice,amp
iter9_cv_split1,buy,updat,breakout,good,look,volum,support,dip,imo,nice
iter9_cv_split2,buy,updat,good,breakout,look,support,nice,amp,imo,expect
iter9_cv_split3,buy,updat,good,breakout,support,look,resist,high,volum,dip
iter9_cv_split4,buy,updat,breakout,good,dip,support,high,resist,look,nice
iter9_cv_split5,buy,updat,breakout,good,support,look,high,resist,volum,dip
iter10_cv_split1,buy,updat,good,breakout,dip,amp,nice,look,high,support
iter10_cv_split2,buy,updat,breakout,good,support,volum,resist,dip,look,alreadi
iter10_cv_split3,updat,buy,breakout,good,look,support,volum,imo,resist,dip
iter10_cv_split4,buy,updat,breakout,good,support,look,resist,high,imo,strong
iter10_cv_split5,buy,updat,good,breakout,support,look,dip,nice,high,amp
iter11_cv_split1,updat,buy,good,breakout,look,volum,support,resist,amp,imo
iter11_cv_split2,buy,updat,breakout,good,support,dip,volum,look,resist,high
iter11_cv_split3,buy,updat,good,breakout,support,imo,dip,look,nice,volum
iter11_cv_split4,buy,updat,breakout,good,look,support,imo,nice,amp,resist
iter11_cv_split5,buy,updat,breakout,good,support,look,dip,nice,resist,high
iter12_cv_split1,buy,updat,breakout,good,support,look,nice,imo,resist,amp
iter12_cv_split2,buy,updat,breakout,good,support,resist,dip,strong,look,volum
iter12_cv_split3,buy,updat,good,breakout,look,support,dip,high,volum,imo
iter12_cv_split4,buy,updat,breakout,good,look,imo,high,support,dip,nice
iter12_cv_split5,buy,updat,good,breakout,support,resist,look,volum,dip,amp
iter13_cv_split1,buy,updat,breakout,good,support,dip,nice,volum,resist,look
iter13_cv_split2,buy,updat,good,breakout,support,look,amp,volum,dip,imo
iter13_cv_split3,buy,updat,good,breakout,look,dip,support,amp,nice,high
iter13_cv_split4,buy,updat,breakout,good,look,support,imo,high,nice,volum
iter13_cv_split5,buy,updat,breakout,good,look,volum,dip,support,resist,imo
iter14_cv_split1,buy,updat,breakout,good,resist,dip,support,volum,imo,look
iter14_cv_split2,buy,updat,good,breakout,support,look,volum,dip,resist,amp
iter14_cv_split3,updat,buy,breakout,good,support,nice,look,dip,resist,amp
iter14_cv_split4,updat,buy,breakout,good,support,look,high,volum,imo,nice
iter14_cv_split5,buy,updat,good,breakout,look,high,dip,support,nice,amp
iter15_cv_split1,buy,updat,breakout,good,look,support,resist,volum,strong,amp
iter15_cv_split2,buy,updat,breakout,good,support,imo,dip,resist,look,nice
iter15_cv_split3,buy,updat,good,breakout,high,look,dip,amp,imo,nice
iter15_cv_split4,buy,updat,good,breakout,support,look,resist,dip,high,nice
iter15_cv_split5,buy,updat,breakout,good,look,support,nice,imo,dip,amp
iter16_cv_split1,buy,updat,breakout,good,look,support,dip,nice,imo,resist
iter16_cv_split2,buy,updat,breakout,good,dip,support,nice,amp,volum,look
iter16_cv_split3,buy,updat,good,breakout,support,high,look,imo,resist,strong
iter16_cv_split4,buy,updat,breakout,good,nice,dip,look,amp,high,support
iter16_cv_split5,buy,updat,breakout,good,support,look,high,volum,bought,amp
iter17_cv_split1,buy,updat,breakout,good,support,look,dip,volum,resist,imo
iter17_cv_split2,buy,updat,good,breakout,support,volum,amp,imo,look,dip
iter17_cv_split3,buy,updat,breakout,good,resist,look,high,nice,volum,support
iter17_cv_split4,buy,updat,good,breakout,look,support,nice,resist,high,dip
iter17_cv_split5,buy,updat,breakout,good,look,support,dip,amp,nice,imo
iter18_cv_split1,buy,updat,breakout,good,dip,high,imo,look,volum,nice
iter18_cv_split2,buy,updat,breakout,good,support,look,volum,amp,bought,dip
iter18_cv_split3,buy,updat,good,breakout,support,dip,resist,high,imo,nice
iter18_cv_split4,buy,updat,breakout,good,support,look,nice,resist,imo,volum
iter18_cv_split5,buy,updat,good,breakout,look,support,nice,resist,volum,amp
iter19_cv_split1,buy,updat,breakout,good,look,dip,amp,volum,support,nice
iter19_cv_split2,buy,updat,breakout,good,support,look,resist,high,nice,imo
iter19_cv_split3,buy,updat,breakout,good,support,look,dip,nice,volum,high
iter19_cv_split4,buy,updat,good,breakout,support,imo,look,resist,amp,dip
iter19_cv_split5,buy,updat,good,breakout,support,look,strong,dip,high,amp
iter20_cv_split1,buy,updat,good,breakout,look,support,dip,nice,high,imo
iter20_cv_split2,buy,updat,good,breakout,support,look,nice,imo,volum,amp
iter20_cv_split3,buy,updat,breakout,good,support,volum,dip,amp,imo,resist
iter20_cv_split4,buy,updat,breakout,good,support,resist,look,nice,dip,imo
iter20_cv_split5,updat,buy,breakout,good,look,support,dip,resist,high,volum
