,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,distribut,oversold,paus,test,return,manag,revers,everi,market,risk
iter1_cv_split2,wet,div,point,hope,exampl,skip,mission,paus,patient,total
iter1_cv_split3,downsid,far,risk,manag,mani,test,everi,exampl,sale,exit
iter1_cv_split4,mission,prime,weak,scenario,pressur,declin,far,bull,came,line
iter1_cv_split5,shine,grab,line,sale,shake,pant,bull,log,exit,low
iter2_cv_split1,invers,moral,test,tasti,target,bull,don,fud,octob,pant
iter2_cv_split2,manag,prime,downsid,spot,draw,inde,point,far,trendinghedg,mission
iter2_cv_split3,hamp,came,everi,overbought,exampl,bull,pant,cap,spot,patient
iter2_cv_split4,gt,far,pressur,shake,shine,exit,journey,exampl,paus,patient
iter2_cv_split5,gtno,point,inde,invers,paus,decis,far,journey,pant,oversold
iter3_cv_split1,total,weak,pant,fud,test,sale,journey,prime,scale,trendinghedg
iter3_cv_split2,gtno,journey,shine,user,far,bull,patient,exit,exampl,overbought
iter3_cv_split3,hand,scale,journey,far,pls,test,spot,paus,exit,bull
iter3_cv_split4,inde,grab,mission,fund,spot,octob,skip,overbought,oversold,pant
iter3_cv_split5,rememb,cap,pant,come,return,fund,revers,overbought,manag,market
iter4_cv_split1,skip,trendinghedg,point,return,total,revers,octob,log,risk,bull
iter4_cv_split2,prime,start,exampl,spot,weak,pant,exit,skip,rememb,overbought
iter4_cv_split3,grab,invers,far,sale,pls,journey,decent,paus,patient,scale
iter4_cv_split4,hope,fund,mayb,distribut,bull,skip,mission,moral,shine,shake
iter4_cv_split5,manag,skip,sold,patient,came,spot,fund,paus,bull,overbought
iter5_cv_split1,pressur,hamp,pls,gtno,skip,shake,everi,rememb,manag,target
iter5_cv_split2,test,spot,line,journey,invers,inde,hope,hamp,log,gtno
iter5_cv_split3,decis,shake,gtno,total,possibl,start,point,inde,far,mission
iter5_cv_split4,decis,mayb,octob,prime,weak,come,pressur,downsid,mission,inde
iter5_cv_split5,hamp,scale,invers,far,paus,patient,exit,pant,overbought,bull
iter6_cv_split1,test,far,log,long,rememb,everi,exampl,return,revers,fund
iter6_cv_split2,exit,far,risk,inde,paus,pant,oversold,overbought,stori,exampl
iter6_cv_split3,draw,exampl,paus,hamp,return,gtno,revers,test,risk,point
iter6_cv_split4,hope,tasti,mission,start,moral,bull,far,observ,octob,skip
iter6_cv_split5,journey,target,grab,mission,spot,moral,fund,skip,octob,overbought
iter7_cv_split1,mission,prime,invers,risk,moral,div,far,scale,sale,point
iter7_cv_split2,revers,log,sold,skip,manag,market,moral,shine,shake,octob
iter7_cv_split3,pant,bull,casino,hamp,point,gtno,far,revers,skip,spot
iter7_cv_split4,mission,spot,fund,moral,skip,octob,overbought,far,shine,shake
iter7_cv_split5,mission,tasti,target,fund,bull,start,spot,skip,observ,octob
iter8_cv_split1,sold,exampl,risk,oversold,exit,total,overbought,sale,scale,decis
iter8_cv_split2,distribut,hamp,revers,exampl,risk,point,test,grab,mission,tasti
iter8_cv_split3,log,everi,point,draw,downsid,pressur,distribut,prime,decis,rememb
iter8_cv_split4,gtno,paus,decent,patient,exit,exampl,pant,everi,sale,bull
iter8_cv_split5,line,manag,possibl,far,spot,skip,bull,exit,moral,scenario
iter9_cv_split1,hope,far,moral,observ,octob,spot,bull,exit,overbought,skip
iter9_cv_split2,rememb,moral,test,grab,octob,overbought,spot,cap,pant,fund
iter9_cv_split3,draw,octob,invers,fund,journey,skip,sold,point,pls,want
iter9_cv_split4,skip,hope,mission,possibl,far,spot,weak,point,moral,draw
iter9_cv_split5,line,tasti,fund,start,spot,manag,div,bull,shine,far
iter10_cv_split1,far,gtno,overbought,skip,risk,optimist,total,confirm,grab,point
iter10_cv_split2,market,pant,overbought,bull,came,cap,casino,moral,target,trendinghedg
iter10_cv_split3,distribut,hamp,oversold,gtno,trendinghedg,exampl,total,return,risk,grab
iter10_cv_split4,return,mani,skip,mission,trendinghedg,moral,shine,manag,shake,overbought
iter10_cv_split5,log,pressur,draw,downsid,prime,div,distribut,decis,point,rememb
iter11_cv_split1,log,spot,prime,skip,moral,bull,octob,far,shine,casino
iter11_cv_split2,risk,point,pls,bull,paus,overbought,octob,trendinghedg,skip,decis
iter11_cv_split3,decis,rememb,mission,confirm,line,pant,test,fund,log,return
iter11_cv_split4,log,fund,mission,spot,prime,sold,skip,octob,bull,came
iter11_cv_split5,grab,shine,far,total,point,manag,exampl,everi,paus,patient
iter12_cv_split1,distribut,gt,sale,everi,manag,exampl,rememb,paus,exit,patient
iter12_cv_split2,come,paus,inde,test,log,pant,spot,overbought,exampl,everi
iter12_cv_split3,line,draw,downsid,don,div,distribut,pressur,prime,decis,decent
iter12_cv_split4,inde,far,risk,total,grab,point,everi,sale,scale,exampl
iter12_cv_split5,hamp,far,point,decis,exit,exampl,paus,everi,patient,cap
iter13_cv_split1,probabl,rememb,observ,point,fund,shake,shine,journey,trendinghedg,pant
iter13_cv_split2,inde,fund,distribut,bull,start,spot,casino,skip,octob,far
iter13_cv_split3,log,pressur,downsid,div,distribut,declin,decis,invers,draw,rememb
iter13_cv_split4,invers,shine,gtno,point,test,far,target,mission,return,grab
iter13_cv_split5,hope,octob,total,paus,patient,sale,exampl,pant,tasti,exit
iter14_cv_split1,repeat,target,moral,fund,profit,bull,start,spot,came,overbought
iter14_cv_split2,moral,fund,fud,invers,total,journey,confirm,prime,octob,pressur
iter14_cv_split3,log,patient,bull,overbought,sale,octob,scale,shine,mayb,decis
iter14_cv_split4,grab,far,test,paus,patient,decis,pant,exit,inde,octob
iter14_cv_split5,log,test,fund,mission,decis,spot,far,octob,skip,overbought
iter15_cv_split1,fund,return,gtno,revers,manag,everi,exampl,grab,exit,hamp
iter15_cv_split2,log,fund,spot,downsid,sold,mission,moral,shine,shake,optimist
iter15_cv_split3,inde,mani,fund,distribut,spot,moral,bull,observ,skip,octob
iter15_cv_split4,hamp,inde,patient,invers,pant,far,wet,bull,overbought,journey
iter15_cv_split5,hope,downsid,moral,pressur,exit,scale,distribut,exampl,inde,point
iter16_cv_split1,grab,invers,inde,hope,hamp,gt,test,fund,far,exit
iter16_cv_split2,moral,far,pls,come,exampl,sale,scale,test,exit,target
iter16_cv_split3,div,total,shine,paus,manag,test,grab,everi,retest,confirm
iter16_cv_split4,pressur,far,grab,patient,manag,return,revers,market,mayb,everi
iter16_cv_split5,grab,hope,hamp,gtno,test,return,fund,far,inde,exit
iter17_cv_split1,moral,gtno,total,grab,mission,bull,fund,octob,oversold,pant
iter17_cv_split2,invers,mission,observ,octob,spot,fud,overbought,skip,patient,shine
iter17_cv_split3,moral,fund,mission,spot,octob,sold,bull,far,skip,optimist
iter17_cv_split4,fund,stori,hamp,gtno,tasti,grab,test,far,exit,hope
iter17_cv_split5,log,test,mission,prime,moral,spot,far,bull,overbought,exit
iter18_cv_split1,gtno,overbought,sale,total,grab,shake,exampl,paus,mission,exit
iter18_cv_split2,log,mission,tasti,observ,profit,overbought,bull,spot,far,casino
iter18_cv_split3,inde,grab,mayb,mission,start,fund,bull,moral,skip,octob
iter18_cv_split4,gtno,invers,journey,exit,patient,exampl,everi,pant,spot,overbought
iter18_cv_split5,skip,fund,spot,sold,pressur,bull,mission,moral,shine,shake
iter19_cv_split1,bull,test,moral,oversold,fund,fud,pant,casino,patient,paus
iter19_cv_split2,shine,trendinghedg,pressur,want,spot,inde,downsid,possibl,optimist,point
iter19_cv_split3,mayb,skip,total,decis,manag,hamp,mission,distribut,trendinghedg,shine
iter19_cv_split4,pressur,hamp,paus,gtno,patient,exampl,revers,exit,grab,pant
iter19_cv_split5,hope,fund,manag,market,previous,spot,moral,skip,bull,far
iter20_cv_split1,invers,fund,moon,distribut,bull,octob,sold,skip,pant,far
iter20_cv_split2,grab,inde,exit,shake,paus,invers,patient,journey,overbought,optimist
iter20_cv_split3,spot,target,manag,fund,mission,moral,skip,observ,octob,shine
iter20_cv_split4,tasti,stori,hamp,gtno,return,grab,fund,far,exit,exampl
iter20_cv_split5,log,manag,return,revers,risk,fund,paus,patient,everi,test
iter21_cv_split1,grab,distribut,total,decis,manag,decent,skip,gtno,don,trendinghedg
iter21_cv_split2,prime,grab,everi,total,exampl,return,manag,revers,paus,patient
iter21_cv_split3,revers,paus,bull,shine,pant,cap,overbought,octob,moral,trendinghedg
iter21_cv_split4,log,div,distribut,trendinghedg,low,decis,manag,downsid,skip,octob
iter21_cv_split5,inde,grab,shake,rememb,test,come,paus,revers,risk,mayb
iter22_cv_split1,decis,shine,draw,pant,overbought,fund,test,octob,log,return
iter22_cv_split2,invers,want,pls,exit,shake,exampl,journey,paus,patient,pant
iter22_cv_split3,test,invers,inde,target,hope,tasti,hamp,fund,far,exit
iter22_cv_split4,inde,manag,stori,bull,mission,pressur,fund,casino,moral,observ
iter22_cv_split5,skip,journey,fund,pressur,shine,point,start,line,bull,far
iter23_cv_split1,grab,skip,decis,manag,trendinghedg,mayb,mission,total,moral,octob
iter23_cv_split2,journey,test,moral,bull,downsid,cap,fund,casino,spot,overbought
iter23_cv_split3,log,draw,optimist,risk,paus,patient,sale,scale,test,rememb
iter23_cv_split4,risk,bull,paus,pant,overbought,observ,moral,mission,current,manag
iter23_cv_split5,downsid,gtno,shine,log,exampl,patient,test,grab,exit,rememb
iter24_cv_split1,rememb,cap,point,mani,market,mayb,sale,scenario,mission,shake
iter24_cv_split2,gtno,probabl,inde,price,scale,pressur,sale,far,trendinghedg,journey
iter24_cv_split3,inde,grab,test,fund,downsid,mission,bull,moral,overbought,far
iter24_cv_split4,test,prime,observ,pressur,skip,line,trendinghedg,mission,inde,far
iter24_cv_split5,manag,everi,trendinghedg,prime,pressur,shake,journey,moral,log,shine
iter25_cv_split1,mission,revers,risk,sale,scale,octob,observ,return,shake,fund
iter25_cv_split2,point,total,skip,line,pls,log,revers,risk,test,exampl
iter25_cv_split3,risk,distribut,manag,market,mission,moral,skip,confirm,octob,overbought
iter25_cv_split4,trendinghedg,inde,check,prime,shake,invers,moral,start,far,journey
iter25_cv_split5,hope,skip,manag,shine,shake,sale,wet,far,came,return
iter26_cv_split1,journey,spot,mission,bull,draw,came,cap,skip,octob,fund
iter26_cv_split2,gtno,skip,inde,spot,invers,shake,draw,journey,prime,shine
iter26_cv_split3,invers,manag,grab,mission,prime,fund,moral,spot,bull,observ
iter26_cv_split4,manag,risk,point,pls,exit,paus,patient,log,exampl,everi
iter26_cv_split5,weak,fund,fud,wet,trendinghedg,line,risk,log,revers,decis
iter27_cv_split1,skip,pressur,return,octob,trendinghedg,far,manag,total,gtno,mani
iter27_cv_split2,far,everi,pressur,sale,log,inde,test,moral,invers,point
iter27_cv_split3,moral,probabl,journey,prime,pressur,market,point,far,line,bull
iter27_cv_split4,patient,spot,pls,exit,paus,test,exampl,everi,inde,pant
iter27_cv_split5,patient,far,inde,invers,want,log,sale,pant,bull,exit
iter28_cv_split1,gtno,pressur,inde,far,possibl,point,invers,journey,paus,exit
iter28_cv_split2,downsid,total,gtno,exit,return,revers,mission,point,grab,test
iter28_cv_split3,line,fud,manag,mani,prime,bull,far,mission,exit,shine
iter28_cv_split4,hope,fund,manag,market,mayb,spot,moral,far,sold,skip
