,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,buy,bullish,break,bought,line,befor,tight,target,look,itbuy
iter1_cv_split2,buy,bought,befor,time,disgrac,bullish,line,break,support,bear
iter1_cv_split3,buy,bullish,bought,line,target,support,euphoria,bear,usdbtc,befor
iter1_cv_split4,buy,break,bullish,usdbtc,bought,tight,target,day,befor,line
iter1_cv_split5,buy,bullish,break,bought,befor,tight,target,look,hate,itbuy
iter2_cv_split1,buy,bullish,bought,befor,tight,line,look,day,bottomtop,itbuy
iter2_cv_split2,buy,break,bought,line,bullish,usdbtc,befor,look,itbuy,hate
iter2_cv_split3,buy,bullish,break,target,line,befor,bought,tight,bear,euphoria
iter2_cv_split4,buy,break,befor,bought,bullish,disgrac,bear,euphoria,target,amp
iter2_cv_split5,buy,bullish,bought,break,line,tight,target,disgrac,usdbtc,look
iter3_cv_split1,buy,bought,bullish,disgrac,tight,befor,look,target,line,euphoria
iter3_cv_split2,buy,bullish,bought,time,line,break,support,amp,target,breakout
iter3_cv_split3,buy,break,befor,bullish,usdbtc,bought,target,tight,bear,euphoria
iter3_cv_split4,buy,bullish,break,bought,line,befor,tight,target,day,disgrac
iter3_cv_split5,buy,bullish,break,line,bought,befor,look,bottomtop,tight,hate
iter4_cv_split1,buy,bought,befor,bullish,disgrac,line,target,tight,support,day
iter4_cv_split2,buy,bought,line,break,bullish,usdbtc,befor,tight,look,hate
iter4_cv_split3,buy,break,bullish,bought,target,befor,day,disgrac,usdbtc,bear
iter4_cv_split4,buy,bullish,bought,break,line,tight,target,day,hate,look
iter4_cv_split5,buy,break,bullish,befor,bought,target,rebuy,line,bear,euphoria
iter5_cv_split1,buy,bullish,target,befor,look,bottomtop,hate,tight,itbuy,like
iter5_cv_split2,buy,bought,break,disgrac,bullish,befor,tight,euphoria,bear,support
iter5_cv_split3,buy,bullish,bought,break,line,time,tight,look,day,target
iter5_cv_split4,buy,bought,break,line,befor,usdbtc,bullish,target,day,bear
iter5_cv_split5,buy,bullish,break,bought,line,befor,tight,disgrac,usdbtc,hate
iter6_cv_split1,buy,bought,befor,bullish,disgrac,target,line,rebuy,chart,anticip
iter6_cv_split2,buy,bullish,line,break,tight,bought,breakout,day,look,disgrac
iter6_cv_split3,buy,bullish,befor,time,target,bought,break,look,euphoria,bear
iter6_cv_split4,buy,break,bought,line,usdbtc,bullish,befor,tight,target,look
iter6_cv_split5,buy,bought,bullish,break,line,tight,befor,look,day,itbuy
iter7_cv_split1,buy,bullish,bought,time,line,break,look,target,itbuy,bottomtop
iter7_cv_split2,buy,bullish,bought,break,line,tight,befor,target,usdbtc,disgrac
iter7_cv_split3,buy,befor,line,usdbtc,bullish,bought,target,euphoria,bear,tight
iter7_cv_split4,buy,bought,break,line,befor,bullish,disgrac,amp,day,euphoria
iter7_cv_split5,buy,bullish,break,tight,target,befor,bought,amp,look,hate
iter8_cv_split1,buy,bought,break,line,usdbtc,bullish,befor,tight,bear,euphoria
iter8_cv_split2,buy,bullish,bought,time,tight,befor,target,support,day,line
iter8_cv_split3,buy,bullish,bought,target,tight,look,rebuy,line,disgrac,usdbtc
iter8_cv_split4,buy,break,bullish,befor,bought,tight,line,itbuy,look,hate
iter8_cv_split5,buy,break,bought,line,befor,bullish,disgrac,target,day,bear
iter9_cv_split1,buy,bought,break,tight,befor,bullish,usdbtc,target,look,itbuy
iter9_cv_split2,buy,bullish,break,bought,befor,tight,line,rebuy,look,hate
iter9_cv_split3,buy,bullish,line,target,bought,befor,support,bear,euphoria,pray
iter9_cv_split4,buy,bought,time,disgrac,bullish,line,break,target,day,support
iter9_cv_split5,buy,bullish,break,bought,tight,line,befor,bear,euphoria,itbuy
iter10_cv_split1,buy,bullish,bought,line,befor,tight,target,look,euphoria,bear
iter10_cv_split2,buy,bullish,break,target,line,rebuy,day,itbuy,look,tight
iter10_cv_split3,buy,bought,time,befor,bullish,disgrac,line,break,support,amp
iter10_cv_split4,buy,bullish,bought,line,break,befor,target,support,euphoria,bear
iter10_cv_split5,buy,bought,break,tight,bullish,usdbtc,befor,look,day,target
iter11_cv_split1,buy,break,bought,line,befor,disgrac,bullish,look,target,hate
iter11_cv_split2,buy,break,befor,usdbtc,bullish,tight,bought,line,rebuy,look
iter11_cv_split3,buy,bullish,bought,target,support,breakout,day,usdbtc,disgrac,euphoria
iter11_cv_split4,buy,bullish,bought,break,tight,line,befor,look,itbuy,hate
iter11_cv_split5,buy,bullish,bought,break,line,befor,target,euphoria,bear,disgrac
iter12_cv_split1,buy,bought,break,line,disgrac,bullish,tight,target,look,euphoria
iter12_cv_split2,buy,befor,break,bullish,usdbtc,target,bought,tight,line,rebuy
iter12_cv_split3,buy,bullish,bought,time,befor,break,line,day,amp,disgrac
iter12_cv_split4,buy,break,bullish,bought,target,befor,itbuy,bottomtop,tight,hate
iter12_cv_split5,buy,bullish,bought,line,befor,tight,look,disgrac,usdbtc,target
