,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,stop,incom,die,profit,revers,welcom,bitcoin,got,alreadi,fill
iter1_cv_split2,stop,incom,profit,revers,becaus,greed,gainzz,welcom,short,dump
iter1_cv_split3,incom,profit,got,die,stop,revers,dump,greed,becaus,fill
iter1_cv_split4,stop,incom,revers,alreadi,die,profit,let,greed,becaus,welcom
iter1_cv_split5,stop,bitcoin,die,becaus,greed,let,profit,got,alreadi,runat
iter2_cv_split1,stop,incom,profit,revers,let,welcom,gainzz,fill,got,bull
iter2_cv_split2,stop,incom,die,revers,greed,becaus,profit,got,bitcoin,let
iter2_cv_split3,die,alreadi,got,stop,profit,dump,start,greed,becaus,fill
iter2_cv_split4,stop,incom,revers,bitcoin,die,profit,greed,becaus,alreadi,start
iter2_cv_split5,stop,incom,die,profit,revers,alreadi,bitcoin,greed,becaus,welcom
iter3_cv_split1,stop,die,becaus,greed,profit,short,bull,runat,expect,bitcoin
iter3_cv_split2,stop,incom,profit,revers,let,becaus,greed,short,gainzz,welcom
iter3_cv_split3,profit,incom,revers,bitcoin,die,got,stop,dump,alreadi,welcom
iter3_cv_split4,stop,incom,profit,die,alreadi,revers,becaus,greed,let,bitcoin
iter3_cv_split5,stop,incom,die,profit,revers,welcom,bitcoin,alreadi,short,becaus
iter4_cv_split1,stop,incom,profit,revers,greed,becaus,welcom,got,short,fill
iter4_cv_split2,stop,incom,die,welcom,alreadi,revers,bitcoin,greed,becaus,profit
iter4_cv_split3,stop,profit,bitcoin,die,start,let,alreadi,becaus,greed,fill
iter4_cv_split4,stop,incom,profit,die,revers,alreadi,let,bitcoin,welcom,gainzz
iter4_cv_split5,revers,incom,die,got,profit,dump,greed,becaus,stop,bitcoin
iter5_cv_split1,stop,die,profit,let,start,greed,becaus,expect,runat,bull
iter5_cv_split2,incom,die,bitcoin,profit,stop,got,welcom,revers,dump,alreadi
iter5_cv_split3,stop,incom,profit,revers,let,becaus,greed,fill,welcom,short
iter5_cv_split4,stop,incom,profit,die,alreadi,revers,got,greed,becaus,bitcoin
iter5_cv_split5,stop,incom,die,revers,greed,becaus,short,bitcoin,alreadi,let
iter6_cv_split1,stop,profit,die,becaus,greed,welcom,got,short,bitcoin,runat
iter6_cv_split2,stop,incom,die,alreadi,revers,greed,short,becaus,bitcoin,let
iter6_cv_split3,revers,incom,profit,stop,dump,got,becaus,greed,start,welcom
iter6_cv_split4,stop,incom,die,profit,welcom,revers,alreadi,let,bitcoin,fill
iter6_cv_split5,stop,incom,profit,die,alreadi,revers,got,greed,becaus,let
iter7_cv_split1,stop,incom,profit,revers,greed,becaus,let,welcom,short,fill
iter7_cv_split2,stop,incom,die,revers,greed,becaus,alreadi,bitcoin,profit,expect
iter7_cv_split3,incom,profit,dump,die,revers,stop,welcom,got,fill,alreadi
iter7_cv_split4,stop,incom,die,profit,alreadi,revers,let,becaus,greed,bitcoin
iter7_cv_split5,stop,profit,die,bitcoin,start,got,becaus,greed,alreadi,fill
iter8_cv_split1,incom,profit,got,die,revers,stop,alreadi,greed,becaus,dump
iter8_cv_split2,stop,incom,profit,revers,let,greed,becaus,welcom,start,fill
iter8_cv_split3,stop,revers,incom,die,greed,becaus,short,profit,got,runat
iter8_cv_split4,stop,profit,die,alreadi,let,short,bitcoin,greed,becaus,welcom
iter8_cv_split5,stop,incom,die,welcom,profit,revers,bitcoin,alreadi,market,gainzz
iter9_cv_split1,stop,die,bitcoin,profit,welcom,greed,becaus,alreadi,market,start
iter9_cv_split2,stop,incom,revers,die,profit,got,alreadi,bitcoin,greed,becaus
iter9_cv_split3,incom,profit,dump,stop,die,revers,got,fill,alreadi,greed
iter9_cv_split4,stop,incom,profit,revers,let,becaus,greed,short,gainzz,welcom
iter9_cv_split5,stop,incom,die,revers,alreadi,profit,let,bitcoin,bull,runat
iter10_cv_split1,stop,incom,die,welcom,revers,let,short,greed,becaus,profit
iter10_cv_split2,stop,die,incom,revers,alreadi,bitcoin,let,profit,runat,bull
iter10_cv_split3,stop,incom,profit,revers,becaus,greed,welcom,short,bull,runat
iter10_cv_split4,incom,profit,die,revers,alreadi,fill,greed,becaus,loss,bitcoin
iter10_cv_split5,stop,profit,die,bitcoin,got,let,becaus,greed,alreadi,welcom
iter11_cv_split1,stop,incom,die,revers,becaus,greed,let,bitcoin,alreadi,short
iter11_cv_split2,stop,die,incom,revers,profit,bitcoin,alreadi,becaus,greed,short
iter11_cv_split3,stop,profit,start,let,becaus,greed,welcom,fill,expect,bull
iter11_cv_split4,stop,incom,profit,die,revers,welcom,alreadi,got,let,bitcoin
iter11_cv_split5,incom,profit,die,got,alreadi,revers,dump,stop,bitcoin,becaus
iter12_cv_split1,stop,incom,die,alreadi,profit,revers,welcom,let,bitcoin,greed
iter12_cv_split2,revers,incom,die,stop,profit,alreadi,dump,got,bitcoin,becaus
iter12_cv_split3,stop,profit,let,start,greed,becaus,got,fill,welcom,bull
iter12_cv_split4,stop,incom,bitcoin,die,revers,profit,let,bull,expect,runat
iter12_cv_split5,stop,incom,profit,die,revers,got,welcom,becaus,greed,short
iter13_cv_split1,incom,die,revers,fill,greed,becaus,short,alreadi,let,bull
iter13_cv_split2,stop,incom,profit,die,alreadi,revers,becaus,short,greed,dump
iter13_cv_split3,stop,incom,bitcoin,die,profit,revers,welcom,alreadi,greed,becaus
iter13_cv_split4,stop,incom,profit,revers,got,let,welcom,gainzz,fill,runat
iter13_cv_split5,stop,die,profit,alreadi,let,bitcoin,becaus,greed,welcom,start
iter14_cv_split1,stop,die,profit,alreadi,let,start,welcom,bitcoin,greed,becaus
iter14_cv_split2,incom,profit,die,revers,fill,becaus,greed,bitcoin,alreadi,loss
iter14_cv_split3,stop,incom,profit,bitcoin,die,revers,alreadi,welcom,got,runat
iter14_cv_split4,stop,incom,profit,revers,let,short,becaus,greed,welcom,start
iter14_cv_split5,stop,revers,incom,die,alreadi,becaus,greed,profit,let,bitcoin
iter15_cv_split1,stop,incom,die,got,revers,profit,alreadi,welcom,bitcoin,greed
iter15_cv_split2,incom,profit,die,revers,stop,alreadi,bitcoin,loss,short,becaus
iter15_cv_split3,stop,incom,die,revers,alreadi,profit,let,bitcoin,got,runat
iter15_cv_split4,stop,incom,revers,profit,let,greed,becaus,welcom,short,start
iter15_cv_split5,stop,die,bitcoin,profit,alreadi,let,greed,becaus,start,welcom
iter16_cv_split1,stop,incom,die,profit,alreadi,revers,let,bitcoin,welcom,greed
iter16_cv_split2,stop,incom,revers,becaus,greed,profit,short,bull,runat,expect
iter16_cv_split3,incom,revers,profit,stop,got,dump,die,fill,short,time
iter16_cv_split4,stop,incom,die,profit,revers,welcom,alreadi,bitcoin,let,fill
iter16_cv_split5,stop,die,profit,alreadi,bitcoin,greed,becaus,got,let,short
iter17_cv_split1,stop,incom,profit,revers,greed,becaus,let,welcom,fill,short
iter17_cv_split2,incom,die,alreadi,stop,profit,revers,welcom,dump,got,bitcoin
iter17_cv_split3,stop,die,profit,let,start,welcom,short,greed,becaus,bitcoin
iter17_cv_split4,stop,incom,die,revers,profit,becaus,greed,alreadi,got,bitcoin
iter17_cv_split5,stop,revers,incom,bitcoin,die,profit,start,got,alreadi,becaus
iter18_cv_split1,stop,incom,die,revers,welcom,profit,let,greed,becaus,market
iter18_cv_split2,stop,incom,profit,die,alreadi,revers,becaus,greed,welcom,bitcoin
iter18_cv_split3,incom,die,profit,stop,got,revers,dump,bitcoin,alreadi,greed
iter18_cv_split4,stop,profit,becaus,greed,let,got,bull,runat,expect,short
iter18_cv_split5,stop,incom,profit,die,bitcoin,revers,welcom,alreadi,got,expect
iter19_cv_split1,stop,incom,profit,revers,die,greed,becaus,time,welcom,dump
iter19_cv_split2,stop,incom,die,revers,got,alreadi,profit,bitcoin,expect,bull
iter19_cv_split3,stop,die,profit,alreadi,let,greed,becaus,bitcoin,got,start
iter19_cv_split4,incom,profit,stop,got,revers,dump,short,greed,becaus,fill
iter19_cv_split5,stop,incom,bitcoin,die,profit,revers,let,becaus,greed,alreadi
iter20_cv_split1,incom,profit,stop,bitcoin,die,revers,got,becaus,greed,fill
iter20_cv_split2,stop,profit,welcom,let,got,fill,bull,runat,cloud,expect
iter20_cv_split3,stop,incom,die,alreadi,revers,becaus,greed,profit,bitcoin,let
iter20_cv_split4,stop,incom,die,profit,revers,bitcoin,alreadi,short,greed,becaus
iter20_cv_split5,stop,die,incom,revers,profit,alreadi,bitcoin,let,welcom,becaus
iter21_cv_split1,incom,revers,die,stop,got,alreadi,becaus,greed,dump,bitcoin
iter21_cv_split2,stop,die,profit,alreadi,bitcoin,greed,becaus,welcom,short,start
iter21_cv_split3,stop,incom,profit,revers,let,short,becaus,greed,fill,gainzz
iter21_cv_split4,stop,incom,profit,revers,die,bitcoin,let,welcom,greed,becaus
iter21_cv_split5,stop,profit,incom,die,revers,let,alreadi,welcom,bitcoin,got
iter22_cv_split1,stop,incom,profit,die,alreadi,revers,let,bitcoin,greed,becaus
iter22_cv_split2,stop,incom,profit,revers,greed,becaus,got,gainzz,welcom,fill
iter22_cv_split3,stop,incom,die,revers,bitcoin,profit,alreadi,runat,bull,expect
iter22_cv_split4,stop,profit,die,alreadi,start,let,bitcoin,becaus,greed,got
iter22_cv_split5,incom,got,profit,die,bitcoin,dump,stop,revers,welcom,greed
iter23_cv_split1,stop,incom,revers,short,greed,becaus,let,fill,bounc,ok
iter23_cv_split2,stop,incom,die,profit,alreadi,revers,greed,becaus,bitcoin,welcom
iter23_cv_split3,incom,profit,die,got,stop,dump,revers,becaus,greed,fill
iter23_cv_split4,stop,die,revers,incom,profit,got,bitcoin,alreadi,fill,bull
iter23_cv_split5,stop,profit,bitcoin,die,let,becaus,greed,alreadi,welcom,got
iter24_cv_split1,stop,profit,incom,die,revers,alreadi,dump,bitcoin,welcom,demon
iter24_cv_split2,incom,stop,die,got,revers,alreadi,greed,becaus,bitcoin,short
iter24_cv_split3,stop,die,incom,revers,profit,alreadi,bitcoin,let,start,got
iter24_cv_split4,stop,incom,profit,revers,let,greed,becaus,short,welcom,got
iter24_cv_split5,stop,die,profit,welcom,let,greed,becaus,bull,runat,expect
iter25_cv_split1,stop,incom,die,revers,greed,becaus,short,got,alreadi,bitcoin
iter25_cv_split2,stop,incom,profit,alreadi,bitcoin,die,revers,welcom,let,fill
iter25_cv_split3,stop,incom,profit,revers,greed,becaus,let,got,welcom,short
iter25_cv_split4,revers,incom,profit,stop,die,dump,start,becaus,greed,got
iter25_cv_split5,stop,profit,die,let,alreadi,greed,becaus,bitcoin,got,start
iter26_cv_split1,stop,incom,profit,revers,let,greed,becaus,welcom,gainzz,short
iter26_cv_split2,stop,incom,die,revers,let,bitcoin,alreadi,runat,bull,expect
iter26_cv_split3,stop,profit,die,time,greed,becaus,let,got,welcom,market
iter26_cv_split4,stop,incom,profit,alreadi,die,revers,greed,becaus,short,bitcoin
iter26_cv_split5,incom,revers,bitcoin,die,profit,got,stop,dump,greed,becaus
iter27_cv_split1,profit,bitcoin,die,fill,becaus,greed,got,loss,alreadi,stop
iter27_cv_split2,stop,incom,die,profit,revers,short,bitcoin,alreadi,greed,becaus
iter27_cv_split3,stop,revers,incom,die,profit,got,alreadi,bitcoin,let,market
iter27_cv_split4,stop,incom,profit,revers,let,greed,becaus,welcom,got,start
iter27_cv_split5,stop,incom,die,welcom,revers,let,becaus,greed,profit,short
iter28_cv_split1,stop,incom,revers,die,alreadi,profit,let,bitcoin,bull,runat
iter28_cv_split2,die,profit,got,stop,alreadi,dump,start,bitcoin,fill,greed
