,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,buy,befor,bought,line,bullish,target,tight,chart,coin,level
iter1_cv_split2,buy,befor,bought,line,support,time,level,daili,amp,everi
iter1_cv_split3,buy,bought,bullish,target,line,chart,befor,level,look,tight
iter1_cv_split4,buy,target,befor,bought,break,day,line,rebuy,tight,chart
iter1_cv_split5,buy,bought,target,befor,bullish,level,look,tight,amp,support
iter2_cv_split1,buy,bought,befor,bullish,line,look,tight,level,breakout,amp
iter2_cv_split2,buy,bought,target,look,line,befor,everi,prepar,chart,alt
iter2_cv_split3,buy,target,befor,line,bullish,bought,support,tight,breakout,level
iter2_cv_split4,buy,befor,bought,break,target,level,amp,wait,breakout,prepar
iter2_cv_split5,buy,bought,target,bullish,line,befor,amp,level,support,tight
iter3_cv_split1,buy,bought,target,level,amp,tight,look,befor,chart,line
iter3_cv_split2,buy,bought,bullish,line,amp,support,level,target,breakout,time
iter3_cv_split3,buy,befor,target,bought,level,amp,tight,look,breakout,break
iter3_cv_split4,buy,befor,bought,target,line,bullish,support,tight,chart,level
iter3_cv_split5,buy,befor,line,bought,bullish,look,support,target,day,rebuy
iter4_cv_split1,buy,bought,befor,target,line,amp,support,tight,look,breakout
iter4_cv_split2,buy,bought,befor,line,level,tight,support,look,amp,rebuy
iter4_cv_split3,buy,bought,target,bullish,befor,break,level,day,chart,breakout
iter4_cv_split4,buy,bought,bullish,line,target,befor,tight,chart,level,breakout
iter4_cv_split5,buy,befor,bought,bullish,target,look,rebuy,line,break,level
iter5_cv_split1,buy,target,befor,bullish,look,rebuy,line,level,prepar,coin
iter5_cv_split2,buy,bought,befor,level,target,amp,look,tight,chart,anticip
iter5_cv_split3,buy,bought,bullish,line,break,befor,target,look,amp,tight
iter5_cv_split4,buy,bought,befor,target,line,support,chart,level,amp,breakout
iter5_cv_split5,buy,bought,befor,bullish,line,tight,level,support,target,rebuy
iter6_cv_split1,buy,bought,befor,target,line,level,chart,support,breakout,rebuy
iter6_cv_split2,buy,line,bullish,breakout,level,support,amp,tight,look,day
iter6_cv_split3,buy,befor,target,time,bullish,bought,look,chart,everi,amp
iter6_cv_split4,buy,bought,target,befor,break,look,line,level,tight,chart
iter6_cv_split5,buy,bought,line,befor,bullish,level,look,support,wait,tight
iter7_cv_split1,buy,bought,time,bullish,line,target,support,befor,look,coin
iter7_cv_split2,buy,bought,bullish,befor,line,target,tight,level,support,chart
