,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,stop,got,profit,incom,fill,die,welcom,loss,cloud,revers
iter1_cv_split2,stop,profit,incom,dump,loss,becaus,greed,short,welcom,gainzz
iter1_cv_split3,profit,got,stop,incom,dump,fill,loss,let,die,start
iter1_cv_split4,profit,stop,fill,let,incom,revers,die,alreadi,price,becaus
iter1_cv_split5,stop,got,profit,let,loss,dump,die,bitcoin,becaus,greed
iter2_cv_split1,stop,profit,got,incom,fill,let,dump,loss,revers,welcom
iter2_cv_split2,stop,profit,got,let,incom,die,loss,greed,becaus,bull
iter2_cv_split3,stop,got,loss,profit,dump,fill,let,alreadi,die,price
iter2_cv_split4,stop,profit,fill,incom,revers,die,bitcoin,got,greed,becaus
iter2_cv_split5,stop,profit,dump,incom,die,becaus,greed,market,got,cloud
iter3_cv_split1,stop,dump,profit,loss,got,die,becaus,greed,market,short
iter3_cv_split2,stop,profit,let,incom,fill,loss,short,greed,becaus,got
iter3_cv_split3,profit,stop,got,loss,dump,fill,incom,revers,let,bitcoin
iter3_cv_split4,stop,profit,dump,fill,incom,let,die,got,becaus,greed
iter3_cv_split5,stop,got,incom,fill,die,short,profit,welcom,cloud,becaus
iter4_cv_split1,stop,profit,got,incom,fill,greed,becaus,loss,welcom,revers
iter4_cv_split2,stop,dump,incom,loss,die,got,welcom,short,greed,becaus
iter4_cv_split3,stop,profit,dump,fill,let,start,die,bitcoin,got,cloud
iter4_cv_split4,stop,profit,loss,let,fill,incom,die,cloud,price,welcom
iter4_cv_split5,profit,got,stop,loss,dump,let,incom,revers,die,becaus
iter5_cv_split1,stop,profit,got,let,dump,fill,start,die,loss,greed
iter5_cv_split2,stop,profit,loss,dump,got,incom,die,bitcoin,welcom,market
iter5_cv_split3,profit,stop,fill,let,incom,price,greed,becaus,short,welcom
iter5_cv_split4,stop,profit,got,incom,die,cloud,greed,becaus,loss,welcom
iter5_cv_split5,stop,got,short,incom,fill,die,dump,let,greed,becaus
