,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,buy,level,coin,befor,rsi,amp,bought,stoch,breakout,break
iter1_cv_split2,buy,level,daili,stoch,rsi,bought,good,start,befor,line
iter1_cv_split3,buy,coin,level,wait,amp,target,chart,rsi,bought,good
iter1_cv_split4,buy,level,coin,befor,bought,start,good,amp,daili,wait
iter1_cv_split5,buy,level,daili,befor,stoch,rsi,target,time,bought,fib
iter2_cv_split1,buy,bought,level,coin,start,wait,daili,amp,target,masternod
iter2_cv_split2,buy,level,befor,start,amp,bought,sat,stoch,breakout,break
iter2_cv_split3,buy,daili,level,coin,stoch,rsi,target,breakout,profit,good
iter2_cv_split4,buy,level,befor,coin,bought,amp,stoch,time,rsi,good
iter2_cv_split5,buy,daili,befor,level,rsi,stoch,start,bought,coin,target
iter3_cv_split1,buy,level,befor,coin,stoch,rsi,daili,breakout,bought,masternod
iter3_cv_split2,buy,level,rsi,coin,stoch,befor,wait,bought,daili,time
iter3_cv_split3,buy,bought,good,start,amp,daili,target,time,break,chart
iter3_cv_split4,buy,level,rsi,coin,stoch,daili,befor,bought,target,amp
iter3_cv_split5,buy,level,daili,good,time,bought,start,rsi,befor,line
iter4_cv_split1,buy,level,befor,bought,stoch,time,rsi,coin,target,wait
iter4_cv_split2,buy,level,daili,target,befor,bought,time,amp,good,fomo
iter4_cv_split3,buy,level,befor,rsi,start,stoch,bought,wait,fib,entri
iter4_cv_split4,buy,level,bought,rsi,coin,daili,stoch,amp,time,entri
iter4_cv_split5,buy,level,coin,daili,target,stoch,rsi,good,profit,look
iter5_cv_split1,buy,level,daili,time,target,stoch,rsi,order,masternod,everi
iter5_cv_split2,buy,level,befor,coin,daili,start,bought,abov,entri,good
iter5_cv_split3,buy,level,bought,befor,wait,target,amp,stoch,daili,start
iter5_cv_split4,buy,level,daili,rsi,stoch,time,bought,amp,coin,look
iter5_cv_split5,buy,level,coin,good,rsi,wait,bought,stoch,befor,line
iter6_cv_split1,buy,level,daili,befor,coin,stoch,start,rsi,bought,support
iter6_cv_split2,buy,level,rsi,stoch,bought,befor,start,daili,amp,good
iter6_cv_split3,buy,level,befor,coin,wait,time,amp,stoch,rsi,break
iter6_cv_split4,buy,level,bought,wait,daili,good,abov,profit,coin,day
iter6_cv_split5,buy,level,rsi,coin,stoch,target,time,daili,profit,good
iter7_cv_split1,buy,daili,level,time,amp,stoch,good,bought,rsi,coin
iter7_cv_split2,buy,bought,level,coin,befor,target,amp,stoch,rsi,line
iter7_cv_split3,buy,level,coin,daili,target,rsi,stoch,befor,breakout,support
iter7_cv_split4,buy,level,befor,time,start,support,fomo,coin,fall,daili
iter7_cv_split5,buy,level,stoch,daili,bought,befor,rsi,coin,good,start
iter8_cv_split1,buy,level,rsi,coin,stoch,bought,daili,good,amp,target
iter8_cv_split2,buy,level,befor,bought,rsi,wait,target,start,amp,stoch
iter8_cv_split3,buy,coin,befor,level,daili,abov,good,sat,profit,fall
iter8_cv_split4,buy,level,rsi,daili,stoch,bought,befor,abov,everi,fall
iter8_cv_split5,buy,level,daili,rsi,time,bought,amp,good,stoch,start
iter9_cv_split1,buy,level,daili,bought,good,wait,coin,amp,stoch,start
iter9_cv_split2,buy,level,stoch,rsi,daili,time,befor,target,bought,breakout
iter9_cv_split3,buy,coin,bought,befor,level,daili,stoch,rsi,good,fall
iter9_cv_split4,buy,level,coin,befor,bought,amp,start,time,sat,target
iter9_cv_split5,buy,rsi,stoch,level,good,befor,start,daili,support,chart
iter10_cv_split1,buy,level,rsi,daili,stoch,amp,bought,time,befor,fib
iter10_cv_split2,buy,level,coin,daili,stoch,bought,befor,target,start,time
iter10_cv_split3,buy,level,coin,wait,start,order,stoch,fall,line,good
iter10_cv_split4,buy,level,befor,bought,stoch,time,coin,target,rsi,wait
iter10_cv_split5,buy,daili,befor,level,amp,good,stoch,start,bought,coin
iter11_cv_split1,buy,bought,befor,daili,start,stoch,level,coin,amp,rsi
iter11_cv_split2,buy,level,coin,target,amp,stoch,rsi,bought,wait,befor
iter11_cv_split3,buy,daili,level,coin,befor,rsi,bought,start,stoch,good
iter11_cv_split4,buy,level,coin,time,rsi,stoch,daili,masternod,everi,amp
iter11_cv_split5,buy,level,befor,rsi,wait,daili,bought,target,stoch,break
iter12_cv_split1,buy,level,coin,bought,amp,start,wait,befor,fall,support
iter12_cv_split2,buy,level,befor,daili,time,bought,amp,start,coin,stoch
iter12_cv_split3,buy,bought,level,daili,rsi,start,stoch,coin,good,amp
iter12_cv_split4,buy,level,rsi,befor,stoch,time,chart,good,fomo,order
iter12_cv_split5,buy,daili,stoch,level,rsi,wait,coin,target,abov,entri
iter13_cv_split1,buy,level,coin,rsi,time,good,stoch,daili,befor,fomo
iter13_cv_split2,buy,level,bought,daili,good,befor,wait,day,fomo,look
iter13_cv_split3,buy,befor,bought,coin,target,daili,start,stoch,wait,rsi
iter13_cv_split4,buy,level,rsi,stoch,good,daili,time,amp,target,abov
iter13_cv_split5,buy,level,befor,bought,coin,daili,stoch,rsi,entri,breakout
iter14_cv_split1,buy,level,daili,befor,target,good,bought,stoch,amp,rsi
iter14_cv_split2,buy,level,coin,everi,alt,daili,day,line,stoch,start
iter14_cv_split3,buy,stoch,coin,befor,rsi,level,daili,target,bought,start
iter14_cv_split4,buy,level,bought,rsi,wait,time,good,coin,stoch,befor
iter14_cv_split5,buy,level,amp,rsi,stoch,daili,befor,target,coin,bought
iter15_cv_split1,buy,level,stoch,rsi,coin,amp,good,bought,befor,start
iter15_cv_split2,buy,level,rsi,bought,stoch,daili,start,coin,target,wait
iter15_cv_split3,buy,coin,befor,level,bought,daili,break,target,support,stoch
iter15_cv_split4,buy,level,rsi,stoch,befor,target,daili,order,bought,fall
iter15_cv_split5,buy,level,daili,wait,time,amp,good,bought,profit,day
iter16_cv_split1,buy,level,coin,befor,daili,amp,rsi,target,stoch,bought
iter16_cv_split2,buy,level,coin,bought,time,daili,amp,good,stoch,start
iter16_cv_split3,buy,level,daili,target,time,abov,line,support,stoch,bought
iter16_cv_split4,buy,stoch,level,befor,rsi,bought,start,daili,amp,wait
iter16_cv_split5,buy,level,befor,bought,coin,rsi,stoch,daili,look,masternod
iter17_cv_split1,buy,level,bought,amp,start,daili,befor,coin,break,time
iter17_cv_split2,buy,level,rsi,time,target,stoch,befor,masternod,chart,line
iter17_cv_split3,buy,level,coin,daili,wait,time,good,bought,profit,everi
iter17_cv_split4,buy,level,befor,rsi,stoch,bought,wait,good,daili,amp
iter17_cv_split5,buy,rsi,coin,stoch,befor,wait,amp,good,bought,start
iter18_cv_split1,buy,coin,level,bought,rsi,stoch,daili,fomo,order,fall
iter18_cv_split2,buy,daili,bought,coin,level,good,start,befor,day,target
iter18_cv_split3,buy,level,daili,bought,time,stoch,start,befor,rsi,fomo
iter18_cv_split4,buy,level,coin,befor,target,stoch,amp,time,rsi,sat
iter18_cv_split5,buy,level,rsi,befor,stoch,coin,start,wait,good,amp
iter19_cv_split1,buy,level,befor,time,amp,stoch,bought,start,rsi,wait
iter19_cv_split2,buy,level,daili,target,coin,amp,stoch,time,rsi,befor
iter19_cv_split3,buy,coin,level,wait,daili,target,bought,order,chart,day
iter19_cv_split4,buy,level,bought,wait,stoch,start,coin,rsi,daili,befor
iter19_cv_split5,buy,level,stoch,rsi,befor,target,daili,bought,coin,everi
iter20_cv_split1,buy,befor,coin,start,time,bought,target,stoch,good,daili
iter20_cv_split2,buy,level,daili,coin,amp,rsi,stoch,wait,bought,breakout
iter20_cv_split3,buy,befor,daili,rsi,bought,stoch,level,target,good,masternod
iter20_cv_split4,buy,level,coin,befor,time,amp,good,bought,stoch,masternod
iter20_cv_split5,buy,level,daili,wait,time,bought,stoch,rsi,coin,break
iter21_cv_split1,buy,level,stoch,bought,befor,rsi,amp,start,time,target
iter21_cv_split2,buy,level,coin,start,daili,amp,bought,day,look,masternod
iter21_cv_split3,buy,level,rsi,stoch,befor,amp,coin,target,daili,time
iter21_cv_split4,buy,level,daili,rsi,befor,stoch,time,wait,bought,everi
iter21_cv_split5,buy,coin,befor,bought,good,target,level,stoch,rsi,daili
iter22_cv_split1,buy,befor,bought,amp,coin,daili,start,order,breakout,break
iter22_cv_split2,buy,level,stoch,befor,rsi,bought,amp,target,daili,start
iter22_cv_split3,buy,level,coin,befor,rsi,stoch,time,good,look,amp
iter22_cv_split4,buy,level,daili,rsi,stoch,wait,time,bought,day,entri
iter22_cv_split5,buy,level,bought,coin,target,daili,time,fall,wait,line
iter23_cv_split1,buy,level,rsi,stoch,befor,daili,break,bought,breakout,masternod
iter23_cv_split2,buy,level,bought,befor,wait,coin,daili,amp,good,start
iter23_cv_split3,buy,level,coin,befor,daili,target,stoch,rsi,bought,look
iter23_cv_split4,buy,level,stoch,befor,bought,rsi,coin,start,daili,good
iter23_cv_split5,buy,target,coin,good,level,daili,time,start,fall,look
iter24_cv_split1,buy,level,rsi,daili,stoch,bought,amp,good,wait,start
iter24_cv_split2,buy,level,befor,coin,stoch,start,rsi,order,daili,chart
iter24_cv_split3,buy,level,bought,target,stoch,time,coin,wait,rsi,support
iter24_cv_split4,buy,bought,coin,befor,daili,stoch,good,start,rsi,target
iter24_cv_split5,buy,level,daili,time,befor,break,stoch,fomo,bought,masternod
iter25_cv_split1,buy,level,befor,daili,amp,start,bought,stoch,rsi,coin
iter25_cv_split2,buy,befor,bought,wait,target,daili,stoch,start,rsi,masternod
iter25_cv_split3,buy,level,wait,time,good,daili,bought,profit,day,fib
iter25_cv_split4,buy,level,coin,stoch,rsi,daili,befor,bought,amp,target
iter25_cv_split5,buy,coin,befor,level,stoch,rsi,target,good,bought,start
iter26_cv_split1,buy,level,bought,wait,start,abov,order,coin,daili,day
iter26_cv_split2,buy,coin,stoch,rsi,befor,good,level,fall,break,order
iter26_cv_split3,buy,level,daili,wait,good,amp,coin,befor,bought,breakout
iter26_cv_split4,buy,level,rsi,coin,good,bought,befor,stoch,daili,abov
iter26_cv_split5,buy,level,befor,rsi,bought,stoch,daili,time,coin,target
iter27_cv_split1,buy,level,befor,daili,amp,coin,start,bought,time,sat
iter27_cv_split2,buy,stoch,level,rsi,wait,amp,good,coin,befor,day
