,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,ichimoku,bull,cash,otherwis,sorri,need,demon,didn,die,dimon
iter1_cv_split2,hour,cash,pls,cut,got,stop,decid,ofc,demon,didn
iter1_cv_split3,sinc,welcom,direct,bull,expect,price,exampl,cash,incom,pls
iter1_cv_split4,die,rektfest,rememb,direct,dimon,differ,ichimoku,didn,demon,decid
iter1_cv_split5,ok,final,resist,rememb,rektfest,fill,maker,hour,didn,ichimoku
iter2_cv_split1,jami,bull,fill,let,cash,sorri,exampl,lock,pls,loss
iter2_cv_split2,hey,fli,fill,ofc,cash,ok,sinc,short,cloud,shill
iter2_cv_split3,hour,sorri,price,pls,cut,otherwis,ok,ofc,need,demon
iter2_cv_split4,die,bull,fli,min,final,sorri,sold,fill,sleep,sinc
iter2_cv_split5,fill,sorri,otherwis,cut,ofc,decid,stop,demon,didn,die
iter3_cv_split1,final,higher,hour,cash,exampl,incom,pls,jami,let,ok
iter3_cv_split2,ichimoku,sleep,sinc,short,cut,decid,runat,die,differ,direct
iter3_cv_split3,differ,enoughsold,rektfest,dump,ride,run,runat,direct,price,dimon
iter3_cv_split4,shill,feel,incom,bull,jami,enoughsold,cash,sold,pls,let
iter3_cv_split5,ichimoku,demon,didn,differ,dimon,dump,exampl,fill,final,foreverif
iter4_cv_split1,direct,rektfest,ofc,ok,final,fill,sinc,feel,cut,pls
iter4_cv_split2,didn,sleep,cash,sinc,shill,runat,run,demon,die,dimon
iter4_cv_split3,hey,min,bull,price,sorri,cash,sold,ofc,ok,sleep
iter4_cv_split4,hour,pls,cut,otherwis,ok,decid,got,demon,didn,die
iter4_cv_split5,ichimoku,incom,hour,higher,greed,foreverif,final,fill,exampl,enoughsold
iter5_cv_split1,ofc,hour,direct,ichimoku,incom,cash,exampl,jami,pls,sorri
iter5_cv_split2,ichimoku,didn,die,dimon,dump,expect,feel,fill,final,fli
iter5_cv_split3,ichimoku,rektfest,enoughsold,dump,ride,run,direct,price,dimon,didn
iter5_cv_split4,incom,didn,die,differ,direct,dump,enoughsold,exampl,sinc,final
iter5_cv_split5,hey,decid,demon,die,differ,dimon,direct,dump,enoughsold,exampl
iter6_cv_split1,die,sleep,sinc,safe,decid,runat,run,didn,hour,direct
iter6_cv_split2,ichimoku,dump,ride,direct,dimon,differ,didn,rememb,demon,decid
iter6_cv_split3,fli,jami,incom,ichimoku,higher,hey,greed,foreverif,final,fill
iter6_cv_split4,cut,sorri,exampl,hour,pls,cash,ichimoku,incom,otherwis,ok
iter6_cv_split5,die,shill,set,runat,cut,run,decid,ride,demon,differ
iter7_cv_split1,hour,ichimoku,hey,greed,got,foreverif,shill,incom,final,enoughsold
iter7_cv_split2,didn,sleep,cut,runat,run,decid,ride,higher,die,differ
iter7_cv_split3,differ,enoughsold,dump,ride,run,safe,direct,dimon,die,didn
iter7_cv_split4,higher,shill,set,cut,runat,run,decid,demon,differ,dimon
iter7_cv_split5,sold,bounc,rektfest,fill,welcom,jami,let,cash,exampl,pls
iter8_cv_split1,hey,welcom,bull,dump,like,rememb,cash,lock,loss,exampl
iter8_cv_split2,hour,fli,maker,rektfest,sorri,cash,sold,otherwis,sleep,sinc
iter8_cv_split3,ichimoku,exampl,rektfest,rememb,enoughsold,revers,dump,ride,expect,run
iter8_cv_split4,hey,pls,cut,ok,ofc,demon,die,differ,dimon,direct
iter8_cv_split5,short,cash,cut,sorri,ok,ofc,need,demon,didn,die
iter9_cv_split1,rememb,fli,let,min,cash,rektfest,final,fill,like,feel
iter9_cv_split2,ichimoku,ofc,dump,cash,sorri,sold,sleep,sinc,pls,shill
iter9_cv_split3,loss,rektfest,bounc,decid,sinc,welcom,direct,bull,higher,exampl
iter9_cv_split4,ichimoku,fli,otherwis,sold,cash,final,sleep,sinc,fill,shill
iter9_cv_split5,hour,ichimoku,higher,hey,greed,short,final,incom,fill,enoughsold
iter10_cv_split1,higher,hour,hey,greed,got,fli,final,fill,exampl,enoughsold
iter10_cv_split2,incom,stop,sinc,cut,shill,set,die,differ,dimon,runat
iter10_cv_split3,higher,rektfest,rememb,ride,direct,dimon,differ,didn,demon,run
iter10_cv_split4,exampl,bull,need,ofc,ok,otherwis,rektfest,foreverif,let,sorri
iter10_cv_split5,lock,sorri,greed,bounc,let,sleep,price,bull,decid,dump
iter11_cv_split1,direct,sold,sleep,shill,decid,demon,didn,die,dimon,run
iter11_cv_split2,demon,sinc,shill,cut,runat,decid,ride,let,die,differ
iter11_cv_split3,higher,sleep,cash,sold,otherwis,ofc,sorri,foreverif,min,demon
iter11_cv_split4,differ,enoughsold,dump,rektfest,rememb,resist,direct,incom,didn,ride
iter11_cv_split5,ofc,fill,loss,hour,cash,sorri,price,ichimoku,incom,pls
iter12_cv_split1,incom,rektfest,rememb,dump,ride,run,runat,exampl,differ,didn
iter12_cv_split2,didn,sleep,sinc,shill,safe,cut,runat,decid,ride,demon
iter12_cv_split3,hour,demon,didn,die,dimon,direct,dump,enoughsold,fill,shill
iter12_cv_split4,run,sinc,short,cut,set,decid,die,differ,direct,ride
iter12_cv_split5,final,ichimoku,hour,higher,hey,foreverif,fli,sinc,fill,exampl
iter13_cv_split1,sold,cash,pls,cut,otherwis,greed,ok,ofc,demon,didn
iter13_cv_split2,sinc,cash,pls,ofc,demon,die,differ,dimon,maker,loss
iter13_cv_split3,ichimoku,sleep,sinc,shill,run,decid,demon,didn,hour,dimon
iter13_cv_split4,hour,ichimoku,higher,hey,greed,foreverif,final,fill,incom,exampl
iter13_cv_split5,sinc,otherwis,ok,ofc,cut,good,decid,didn,die,differ
iter14_cv_split1,didn,sleep,cut,decid,runat,differ,run,direct,ride,rememb
iter14_cv_split2,fill,demon,didn,die,differ,dimon,exampl,sinc,final,foreverif
iter14_cv_split3,ok,pls,cut,decid,otherwis,hey,demon,didn,die,differ
iter14_cv_split4,incom,didn,die,dimon,direct,dump,enoughsold,fill,fli,foreverif
iter14_cv_split5,fli,pls,ok,ofc,decid,demon,die,differ,dimon,direct
iter15_cv_split1,ichimoku,sleep,short,shill,decid,run,demon,didn,die,dimon
iter15_cv_split2,demon,cut,shill,decid,die,differ,dimon,direct,runat,ride
iter15_cv_split3,differ,rememb,ofc,ok,fli,otherwis,final,sorri,fill,sold
iter15_cv_split4,otherwis,final,fill,bull,maker,hour,ichimoku,cash,incom,exampl
iter15_cv_split5,need,higher,sold,bull,cash,hour,exampl,ichimoku,sorri,jami
iter16_cv_split1,direct,rememb,resist,enoughsold,revers,ride,dump,run,exampl,runat
iter16_cv_split2,ofc,rektfest,sold,higher,ichimoku,incom,cash,exampl,jami,sorri
iter16_cv_split3,hour,fill,rektfest,ofc,sold,ok,otherwis,cash,sleep,sinc
iter16_cv_split4,hour,bull,cash,pls,decid,demon,die,dimon,direct,maker
iter16_cv_split5,ofc,higher,rememb,rektfest,maker,hour,ichimoku,incom,price,exampl
