,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,crash,trigger,look,market,upsid,preceed,zone,trendlin,dow,mainstream
iter1_cv_split2,market,look,trigger,trend,fractal,outcom,upside,heaven,upsid,sharpli
iter1_cv_split3,trigger,crash,look,upsid,break,strong,retest,way,entri,level
iter1_cv_split4,trigger,crash,mind,rebound,instead,altitud,outcom,stay,market,liquid
iter1_cv_split5,friday,trigger,look,upsid,break,lower,mind,drop,retest,recenc
iter2_cv_split1,crash,trigger,major,exchang,look,ain,similiar,eventu,stay,lower
iter2_cv_split2,trigger,crash,look,upsid,drop,strong,dure,current,rebound,preceed
iter2_cv_split3,friday,look,trigger,liquid,upsid,upside,hit,characeteris,ain,late
iter2_cv_split4,trigger,crash,look,trend,upsid,similiar,invit,mind,room,brutal
iter2_cv_split5,trigger,look,crash,zone,fork,liquid,stockmarket,ain,preceed,think
iter3_cv_split1,look,trigger,upsid,friday,liquid,trendlin,preceed,way,trend,view
iter3_cv_split2,trigger,crash,look,brutal,liquid,red,outcom,safe,fiat,similiar
iter3_cv_split3,trigger,strong,upsid,crash,break,look,retest,level,way,alt
iter3_cv_split4,immin,look,trigger,upsid,view,damag,drop,brutal,lower,dow
iter3_cv_split5,trigger,crash,look,altitud,stockmarket,similiar,state,heaven,expect,upsid
iter4_cv_split1,trigger,look,crash,liquid,upsid,shutdown,instead,stick,mainstream,ain
iter4_cv_split2,trigger,crash,upsid,liquid,look,major,sunday,brutal,break,current
iter4_cv_split3,trigger,crash,look,revers,upsid,ain,instead,huge,heaven,stockmarket
iter4_cv_split4,trigger,crash,look,damag,preceed,unsatisfi,stockmarket,scale,riski,current
iter4_cv_split5,trigger,crash,look,strong,altitud,current,liquid,rebound,stockmarket,potenti
iter5_cv_split1,trigger,look,crash,view,eventu,liquid,money,media,similiar,upsid
iter5_cv_split2,trigger,crash,look,lower,preceed,instead,drop,mistak,unsatisfi,leg
iter5_cv_split3,trigger,look,crash,upsid,volatil,drop,preceed,view,safe,sharpli
iter5_cv_split4,friday,trigger,look,upsid,think,stay,similiar,larger,descend,crash
iter5_cv_split5,trigger,crash,look,like,huge,zone,room,liquid,rebound,ain
iter6_cv_split1,trigger,crash,look,ain,leg,bubbl,similiar,mind,lower,scale
iter6_cv_split2,trigger,crash,strong,break,mistak,upsid,major,like,characeteris,stockmarket
iter6_cv_split3,trigger,crash,look,drop,brutal,lower,expect,media,outcom,major
iter6_cv_split4,trigger,think,look,crash,volatil,liquid,mainstream,zone,like,ain
iter6_cv_split5,trigger,look,friday,upsid,fractal,hack,ain,drop,eventu,upside
iter7_cv_split1,trigger,crash,look,damag,upsid,market,heaven,instead,media,preceed
iter7_cv_split2,trigger,crash,look,massiv,view,stay,characeteris,collaps,think,ain
iter7_cv_split3,crash,trigger,look,upsid,trader,break,sharpli,experienc,pattern,mind
iter7_cv_split4,trigger,crash,mind,like,look,current,volatil,ani,liquid,mainstream
iter7_cv_split5,trigger,friday,look,upsid,major,break,fractal,trendlin,ain,expect
iter8_cv_split1,trigger,friday,look,lower,unsatisfi,heaven,think,fractal,leg,volatil
iter8_cv_split2,trigger,look,upsid,characeteris,crash,brutal,like,mainstream,heaven,strong
iter8_cv_split3,trigger,crash,look,upsid,liquid,drop,similiar,current,ain,instead
iter8_cv_split4,trigger,crash,look,instead,leg,mind,brutal,mistak,rebound,heaven
iter8_cv_split5,immin,look,trigger,upsid,volatil,liquid,like,media,ain,potenti
iter9_cv_split1,trigger,crash,look,mind,liquid,hack,damag,hold,huge,fractal
iter9_cv_split2,friday,trigger,look,upsid,dow,mainstream,heaven,current,lower,liquid
iter9_cv_split3,trigger,crash,brutal,drop,look,hack,room,major,unsatisfi,riski
iter9_cv_split4,trigger,look,crash,upsid,break,mind,major,instead,start,level
iter9_cv_split5,trigger,crash,look,upsid,preceed,brutal,media,sunday,think,safe
iter10_cv_split1,trigger,crash,look,mind,major,fractal,massiv,price,rebound,brace
iter10_cv_split2,friday,trigger,look,volatil,like,instead,think,zone,sharpli,heaven
iter10_cv_split3,crash,look,trigger,upsid,liquid,trend,preceed,stay,trendlin,mainstream
iter10_cv_split4,signal,look,upsid,trigger,outcom,break,trend,riski,previous,bull
iter10_cv_split5,trigger,look,crash,stay,collaps,brutal,unsatisfi,current,leg,mainstream
iter11_cv_split1,trigger,crash,mainstream,look,zone,upsid,liquid,ain,heaven,instead
iter11_cv_split2,trigger,crash,think,look,zone,upsid,major,rebound,media,potenti
iter11_cv_split3,crash,trigger,look,stockmarket,fork,upsid,like,withdraw,ain,dow
iter11_cv_split4,trigger,crash,look,ain,rebound,preceed,stay,leg,fiat,outcom
iter11_cv_split5,trigger,crash,look,upsid,leg,unsatisfi,market,shutdown,potenti,mind
iter12_cv_split1,friday,look,trigger,brutal,upsid,potenti,safe,mistak,similiar,liquid
iter12_cv_split2,trigger,crash,look,upsid,instead,view,sharpli,drop,mind,eventu
iter12_cv_split3,trigger,look,friday,brutal,trend,like,mind,exchang,upside,preceed
iter12_cv_split4,trigger,crash,look,major,liquid,think,fractal,heaven,upsid,stick
iter12_cv_split5,trigger,crash,look,ain,mind,upsid,state,stockmarket,mani,lower
iter13_cv_split1,trigger,crash,look,major,ain,upsid,damag,preceed,huge,altitud
iter13_cv_split2,trigger,look,crash,upsid,brutal,preceed,scale,drop,strong,view
iter13_cv_split3,trigger,crash,mind,altitud,instead,ain,view,similiar,stay,market
iter13_cv_split4,trigger,crash,look,drop,similiar,riski,parabola,fiat,wind,lower
iter13_cv_split5,trigger,crash,think,look,unsatisfi,liquid,collaps,brutal,heaven,zone
iter14_cv_split1,signal,trigger,look,upsid,start,mind,way,long,level,bull
iter14_cv_split2,trigger,crash,look,mind,instead,major,altitud,room,stay,sunday
iter14_cv_split3,trigger,crash,look,upsid,start,break,trend,mind,instead,price
iter14_cv_split4,trigger,crash,leg,brutal,think,mainstream,outcom,view,larger,lower
iter14_cv_split5,trigger,crash,look,preceed,think,outcom,heaven,huge,current,recenc
iter15_cv_split1,trigger,crash,riski,brutal,look,potenti,mainstream,huge,like,break
iter15_cv_split2,trigger,crash,withdraw,drop,look,instead,amp,similiar,ain,potenti
