,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,perspect,uptrend,start,retest,readi,bull,close,entri,broken,emerg
iter1_cv_split2,start,uptrend,readi,look,level,retest,emerg,anoth,technic,entri
iter1_cv_split3,perspect,readi,level,close,upsid,bull,emerg,look,start,trigger
iter1_cv_split4,start,uptrend,perspect,level,trigger,close,probabl,break,bull,sinc
iter1_cv_split5,uptrend,start,perspect,readi,retest,broken,level,good,googl,ride
iter2_cv_split1,start,perspect,uptrend,readi,close,bull,soon,retest,googl,good
iter2_cv_split2,perspect,start,uptrend,close,readi,retest,level,emerg,broken,ride
iter2_cv_split3,start,uptrend,perspect,close,level,anoth,look,bull,sinc,ride
iter2_cv_split4,uptrend,readi,start,level,trigger,close,look,sinc,googl,good
iter2_cv_split5,perspect,bull,retest,emerg,level,readi,look,correct,broken,alt
iter3_cv_split1,uptrend,start,readi,look,ride,sinc,anoth,bull,trigger,retest
iter3_cv_split2,perspect,start,uptrend,readi,close,level,broken,retest,emerg,look
iter3_cv_split3,perspect,readi,retest,correct,broken,level,look,upsid,doubl,trap
iter3_cv_split4,perspect,uptrend,start,readi,level,broken,retest,entri,close,selloff
iter3_cv_split5,start,perspect,uptrend,close,level,bull,emerg,good,googl,technic
iter4_cv_split1,start,uptrend,level,emerg,readi,close,look,technic,project,anoth
iter4_cv_split2,start,perspect,uptrend,readi,close,googl,good,retest,look,level
iter4_cv_split3,perspect,bull,break,close,level,emerg,entri,doubl,soon,high
iter4_cv_split4,uptrend,start,perspect,readi,close,level,retest,emerg,broken,googl
iter4_cv_split5,perspect,start,readi,uptrend,retest,broken,level,bull,sinc,ride
iter5_cv_split1,uptrend,perspect,start,readi,close,retest,good,googl,level,bull
iter5_cv_split2,bull,level,emerg,look,close,break,readi,start,high,technic
iter5_cv_split3,uptrend,perspect,start,soon,look,entri,trigger,close,good,emerg
iter5_cv_split4,perspect,start,uptrend,readi,level,retest,sinc,ride,look,broken
iter5_cv_split5,start,perspect,uptrend,close,readi,retest,level,emerg,bull,broken
iter6_cv_split1,perspect,uptrend,start,readi,retest,broken,emerg,good,googl,ride
iter6_cv_split2,perspect,start,uptrend,readi,close,level,broken,emerg,bull,ride
iter6_cv_split3,start,uptrend,perspect,readi,level,retest,close,good,googl,trigger
iter6_cv_split4,level,close,look,start,high,trigger,anoth,emerg,technic,alt
iter6_cv_split5,perspect,uptrend,level,start,readi,bull,retest,close,selloff,entri
iter7_cv_split1,perspect,close,readi,broken,retest,anoth,level,googl,good,ride
iter7_cv_split2,perspect,start,uptrend,level,readi,emerg,retest,close,look,bull
iter7_cv_split3,uptrend,start,perspect,level,entri,bull,upsid,high,look,close
iter7_cv_split4,start,uptrend,readi,level,retest,look,ride,emerg,soon,upsid
iter7_cv_split5,start,perspect,readi,uptrend,close,retest,level,broken,upsid,emerg
iter8_cv_split1,uptrend,start,readi,look,retest,trigger,billion,emerg,break,sinc
iter8_cv_split2,start,perspect,uptrend,close,readi,level,retest,good,googl,ride
iter8_cv_split3,uptrend,start,perspect,close,level,entri,look,emerg,retest,googl
iter8_cv_split4,perspect,level,readi,start,uptrend,upsid,close,bull,look,emerg
iter8_cv_split5,perspect,readi,retest,broken,project,bull,selloff,level,correct,look
iter9_cv_split1,start,perspect,readi,uptrend,level,emerg,retest,bull,broken,look
iter9_cv_split2,uptrend,perspect,start,readi,ride,sinc,entri,broken,retest,bull
iter9_cv_split3,perspect,broken,retest,close,level,readi,entri,correct,look,selloff
iter9_cv_split4,start,uptrend,level,readi,look,good,googl,close,trigger,upsid
iter9_cv_split5,uptrend,start,perspect,close,bull,emerg,trigger,alt,soon,anoth
iter10_cv_split1,perspect,close,anoth,level,look,correct,upsid,entri,good,googl
iter10_cv_split2,perspect,uptrend,start,close,level,readi,emerg,good,googl,look
iter10_cv_split3,uptrend,start,level,readi,look,bull,sinc,ride,upsid,retest
iter10_cv_split4,perspect,uptrend,start,readi,retest,broken,high,entri,emerg,break
iter10_cv_split5,perspect,start,uptrend,soon,close,readi,retest,level,bull,upsid
iter11_cv_split1,uptrend,start,perspect,readi,retest,entri,close,broken,good,googl
iter11_cv_split2,perspect,start,uptrend,close,level,readi,retest,look,emerg,googl
iter11_cv_split3,start,perspect,retest,uptrend,readi,broken,emerg,level,bull,trap
iter11_cv_split4,bull,start,uptrend,selloff,level,readi,look,break,emerg,project
iter11_cv_split5,perspect,close,level,start,soon,emerg,look,anoth,alt,correct
iter12_cv_split1,level,start,perspect,uptrend,close,upsid,trigger,look,googl,good
iter12_cv_split2,start,uptrend,readi,bull,ride,sinc,close,emerg,broken,look
iter12_cv_split3,uptrend,start,perspect,readi,level,retest,bull,broken,look,upsid
iter12_cv_split4,perspect,level,close,readi,retest,emerg,broken,look,start,break
iter12_cv_split5,uptrend,perspect,start,readi,emerg,good,googl,level,look,entri
