,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,look,trigger,upsid,start,bull,retest,level,readi,alt,break
iter1_cv_split2,look,trigger,readi,upsid,bull,break,way,retest,alt,level
iter1_cv_split3,trigger,look,start,bull,upsid,break,level,retest,close,readi
iter1_cv_split4,trigger,start,look,upsid,retest,break,alt,readi,bull,level
iter1_cv_split5,trigger,look,start,bull,upsid,level,break,close,soon,retest
iter2_cv_split1,trigger,look,start,upsid,retest,readi,level,break,high,alt
iter2_cv_split2,look,upsid,trigger,start,bull,readi,level,break,retest,way
iter2_cv_split3,trigger,start,look,break,upsid,bull,readi,close,retest,way
iter2_cv_split4,look,trigger,upsid,bull,start,level,close,retest,break,soon
iter2_cv_split5,trigger,look,bull,readi,alt,break,level,upsid,start,retest
iter3_cv_split1,trigger,look,start,upsid,readi,break,retest,alt,bull,high
iter3_cv_split2,look,trigger,bull,retest,readi,upsid,start,close,level,entri
iter3_cv_split3,trigger,upsid,look,start,bull,break,way,level,close,higher
iter3_cv_split4,look,trigger,break,start,level,bull,alt,retest,upsid,way
iter3_cv_split5,trigger,look,upsid,level,readi,start,bull,break,alt,retest
iter4_cv_split1,look,trigger,bull,start,upsid,close,retest,break,alt,way
iter4_cv_split2,trigger,look,bull,level,retest,start,readi,break,upsid,alt
iter4_cv_split3,trigger,upsid,look,start,readi,alt,level,retest,entri,break
iter4_cv_split4,trigger,look,upsid,bull,readi,break,start,level,way,retest
iter4_cv_split5,look,trigger,start,upsid,break,bull,level,retest,readi,close
iter5_cv_split1,trigger,look,start,upsid,bull,retest,alt,readi,close,entri
iter5_cv_split2,trigger,start,look,bull,upsid,level,readi,retest,close,break
iter5_cv_split3,look,trigger,upsid,break,bull,start,way,attempt,correct,alt
iter5_cv_split4,trigger,look,start,upsid,readi,level,bull,retest,break,alt
iter5_cv_split5,trigger,look,break,retest,level,readi,upsid,bull,entri,start
iter6_cv_split1,trigger,look,upsid,retest,level,break,readi,bull,way,start
iter6_cv_split2,trigger,look,bull,upsid,close,break,alt,level,higher,start
iter6_cv_split3,look,start,trigger,upsid,readi,bull,break,retest,alt,level
iter6_cv_split4,trigger,look,start,bull,upsid,break,readi,way,level,alt
iter6_cv_split5,trigger,look,start,retest,readi,bull,level,upsid,higher,break
iter7_cv_split1,trigger,look,retest,bull,level,start,break,upsid,close,readi
iter7_cv_split2,look,trigger,level,readi,retest,start,break,close,upsid,bull
iter7_cv_split3,trigger,look,bull,upsid,start,break,readi,level,alt,high
iter7_cv_split4,trigger,start,upsid,break,alt,look,bull,soon,way,retest
iter7_cv_split5,look,trigger,start,upsid,bull,retest,close,readi,higher,alt
iter8_cv_split1,trigger,look,upsid,retest,start,bull,level,break,readi,way
iter8_cv_split2,trigger,look,start,readi,bull,upsid,break,level,retest,way
iter8_cv_split3,look,trigger,start,break,upsid,level,bull,close,higher,entri
iter8_cv_split4,look,upsid,bull,trigger,readi,retest,alt,break,start,close
iter8_cv_split5,trigger,look,start,upsid,readi,level,bull,break,alt,way
iter9_cv_split1,trigger,look,upsid,break,readi,start,retest,way,level,close
iter9_cv_split2,trigger,look,bull,start,upsid,retest,readi,close,break,alt
iter9_cv_split3,trigger,look,upsid,start,level,readi,revers,way,break,retest
iter9_cv_split4,trigger,look,start,upsid,bull,break,level,retest,close,soon
iter9_cv_split5,trigger,look,bull,retest,level,break,start,close,alt,readi
iter10_cv_split1,trigger,look,start,upsid,readi,break,bull,alt,retest,close
iter10_cv_split2,trigger,look,bull,level,start,retest,readi,entri,upsid,higher
iter10_cv_split3,look,upsid,start,trigger,level,bull,close,way,alt,readi
iter10_cv_split4,trigger,look,upsid,break,retest,start,readi,alt,soon,higher
iter10_cv_split5,trigger,look,start,bull,break,upsid,retest,close,level,readi
iter11_cv_split1,trigger,look,start,upsid,bull,break,level,retest,way,readi
iter11_cv_split2,trigger,look,upsid,break,start,readi,retest,close,bull,entri
iter11_cv_split3,look,trigger,level,upsid,close,bull,retest,start,readi,break
iter11_cv_split4,look,trigger,start,readi,upsid,bull,retest,break,level,higher
iter11_cv_split5,trigger,bull,look,start,upsid,level,alt,retest,way,break
iter12_cv_split1,trigger,start,look,upsid,bull,retest,alt,readi,break,level
iter12_cv_split2,trigger,look,start,upsid,readi,retest,higher,close,way,break
iter12_cv_split3,trigger,look,break,bull,start,upsid,level,higher,day,retest
iter12_cv_split4,look,trigger,bull,readi,retest,level,break,upsid,start,close
iter12_cv_split5,trigger,look,upsid,start,break,level,bull,readi,retest,way
