,full_test_accs,full_test_aucs,full_test_fns,full_test_fps,full_test_null_accs,full_test_tns,full_test_tps,full_train_accs,full_train_aucs,full_train_fns,full_train_fps,full_train_null_accs,full_train_tns,full_train_tps
iter1_cv_split1,0.9324324324324325,0.9919649379108838,5,0,0.5,37,32,0.9863945578231292,0.9997223379147577,4,0,0.5,147,143
iter1_cv_split2,1.0,1.0,0,0,0.5,37,37,0.9863945578231292,0.9993983988153085,4,0,0.5,147,143
iter1_cv_split3,0.9324324324324325,0.9912344777209642,5,0,0.5,37,32,0.9863945578231292,0.9996297838863437,4,0,0.5,147,143
iter1_cv_split4,0.9054054054054054,0.9912344777209643,7,0,0.5,37,30,0.9931972789115646,1.0,2,0,0.5,147,145
iter1_cv_split5,0.9305555555555556,0.9953703703703702,5,0,0.5,36,31,0.9898648648648649,0.9994978086194303,3,0,0.5,148,145
iter2_cv_split1,0.9864864864864865,1.0,1,0,0.5,37,36,0.9829931972789115,0.9997223379147577,5,0,0.5,147,142
iter2_cv_split2,0.9324324324324325,0.9978086194302411,5,0,0.5,37,32,0.9863945578231292,0.9997223379147577,4,0,0.5,147,143
iter2_cv_split3,0.8918918918918919,0.9598246895544194,5,3,0.5,34,32,0.9897959183673469,0.9996760609005507,3,0,0.5,147,144
iter2_cv_split4,0.918918918918919,0.9831994156318481,5,1,0.5,36,32,0.9727891156462585,0.9987505206164098,5,3,0.5,144,142
iter2_cv_split5,0.9027777777777778,1.0,7,0,0.5,36,29,0.9864864864864865,1.0,4,0,0.5,148,144
iter3_cv_split1,0.9324324324324325,0.9883126369612856,3,2,0.5,35,34,0.9829931972789115,0.9996297838863436,3,2,0.5,145,144
iter3_cv_split2,0.918918918918919,0.995617238860482,6,0,0.5,37,31,0.9897959183673469,1.0,3,0,0.5,147,144
iter3_cv_split3,0.972972972972973,0.9978086194302411,2,0,0.5,37,35,0.9897959183673469,0.999907445971586,3,0,0.5,147,144
iter3_cv_split4,0.9594594594594594,0.9992695398100803,3,0,0.5,37,34,0.9863945578231292,0.9996297838863436,4,0,0.5,147,143
iter3_cv_split5,0.9305555555555556,0.9992283950617283,5,0,0.5,36,31,0.9831081081081081,0.9996347699050402,5,0,0.5,148,143
iter4_cv_split1,0.9594594594594594,0.9948867786705624,3,0,0.5,37,34,0.9897959183673469,0.9994909528437225,3,0,0.5,147,144
iter4_cv_split2,0.9459459459459459,1.0,4,0,0.5,37,33,0.9829931972789115,1.0,5,0,0.5,147,142
iter4_cv_split3,0.9324324324324325,0.9839298758217676,5,0,0.5,37,32,0.9897959183673469,0.9997223379147576,3,0,0.5,147,144
iter4_cv_split4,0.9324324324324325,0.9810080350620891,3,2,0.5,35,34,0.9795918367346939,0.9986116895737887,4,2,0.5,145,143
iter4_cv_split5,0.9305555555555556,1.0,5,0,0.5,36,31,0.9898648648648649,0.9998173849525201,3,0,0.5,148,145
iter5_cv_split1,0.9054054054054054,0.9992695398100804,7,0,0.5,37,30,0.9931972789115646,0.9996760609005507,2,0,0.5,147,145
iter5_cv_split2,0.8648648648648649,0.9218407596785975,4,6,0.5,31,33,0.9863945578231292,0.9990744597158592,2,2,0.5,145,145
iter5_cv_split3,0.9594594594594594,1.0,3,0,0.5,37,34,0.9829931972789115,1.0,5,0,0.5,147,142
iter5_cv_split4,0.9324324324324325,0.9905040175310446,5,0,0.5,37,32,0.9829931972789115,1.0,5,0,0.5,147,142
iter5_cv_split5,0.9583333333333334,0.996141975308642,3,0,0.5,36,33,0.9864864864864865,0.9995891161431703,4,0,0.5,148,144
iter6_cv_split1,0.9324324324324325,0.9963476990504018,4,1,0.5,36,33,0.9829931972789115,0.9987042436022029,2,3,0.5,144,145
iter6_cv_split2,0.9594594594594594,1.0,3,0,0.5,37,34,0.9897959183673469,0.9998148919431719,3,0,0.5,147,144
iter6_cv_split3,0.9594594594594594,0.9963476990504017,3,0,0.5,37,34,0.9863945578231292,0.9999999999999999,4,0,0.5,147,143
