,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,deutsch,domin,wall,dow,dramat,dure,parti,econom,outjust,outcom
iter1_cv_split2,investor,fomobuy,fool,similiar,sit,crisi,order,crash,correl,convinc
iter1_cv_split3,damag,order,onli,descend,deutsch,digit,diversifi,domin,dow,nice
iter1_cv_split4,upside,deutsch,digit,diversifi,domin,principl,dow,preceed,psycholog,dramat
iter1_cv_split5,structur,dramat,state,stay,stick,stockmarket,fool,street,room,riski
iter2_cv_split1,descend,digit,parti,diversifi,domin,dow,outjust,dramat,outcom,otherwis
iter2_cv_split2,huge,digit,diversifi,domin,dow,parti,dramat,outjust,outcom,otherwis
iter2_cv_split3,deutsch,preceed,descend,digit,diversifi,dow,dramat,econom,parabola,outjust
iter2_cv_split4,lose,dramat,dure,room,riski,econom,resistancenecklin,red,recenc,rebound
iter2_cv_split5,immin,correl,principl,convinc,fiat,media,measur,psycholog,collaps,rebound
iter3_cv_split1,liquid,domin,dow,dramat,red,recenc,dure,rebound,diversifi,econom
iter3_cv_split2,dow,diversifi,domin,room,riski,dramat,resistancenecklin,econom,scale,red
iter3_cv_split3,econom,characeteris,outcom,outjust,vix,fiat,invit,liquid,parti,deutsch
iter3_cv_split4,jun,free,sit,crisi,crash,correl,friday,convinc,outjust,outcom
iter3_cv_split5,principl,met,rebound,recenc,red,fomobuy,collaps,fool,wind,media
iter4_cv_split1,love,diversifi,domin,resistancenecklin,dow,dramat,econom,red,riski,recenc
iter4_cv_split2,inevit,secut,crisi,crash,correl,convinc,nice,sharpli,shutdown,fomobuy
iter4_cv_split3,descend,preceed,crisi,crash,correl,volatil,convinc,unsatisfi,principl,mani
iter4_cv_split4,liquid,domin,scale,invit,room,riski,dramat,resistancenecklin,econom,red
iter4_cv_split5,liquid,sit,deutsch,mistak,digit,mind,diversifi,domin,descend,metal
iter5_cv_split1,immin,crisi,tradit,crash,correl,principl,convinc,valid,fomobuy,psycholog
iter5_cv_split2,friday,convinc,need,shutdown,eventu,collaps,late,larger,exchang,vix
iter5_cv_split3,descend,principl,correl,convinc,media,vix,measur,psycholog,fomobuy,fool
iter5_cv_split4,immedi,play,diversifi,domin,wall,dow,dramat,dure,digit,econom
iter5_cv_split5,deutsch,dramat,outjust,outcom,otherwis,order,econom,volatil,onli,vix
iter6_cv_split1,domin,diversifi,dow,resistancenecklin,dramat,econom,red,recenc,riski,rebound
iter6_cv_split2,immin,wall,digit,diversifi,domin,dow,dramat,econom,parti,volatil
iter6_cv_split3,deutsch,digit,diversifi,unsatisfi,domin,dow,dramat,econom,parti,outjust
iter6_cv_split4,index,correl,fomobuy,convinc,fool,psycholog,measur,fork,treat,collaps
iter6_cv_split5,liquid,fool,parabola,characeteris,rebound,recenc,red,diversifi,treat,nice
iter7_cv_split1,immin,trader,mani,tradit,crisi,preceed,crash,mainstream,correl,convinc
iter7_cv_split2,liquid,fool,free,friday,game,generat,twilight,hack,state,heaven
