,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,trade,hypothesi,dipbuy,bitstamp,shkreli,markup,spot,way,inevit,close
iter1_cv_split2,amp,breakout,dipbuy,bitstamp,bulljuic,trade,markup,technic,day,moar
iter1_cv_split3,amp,markup,hypothesi,bitstamp,bulljuic,shkreli,dipbuy,close,breakout,spot
iter1_cv_split4,amp,trade,shkreli,bulljuic,hypothesi,breakout,eye,brb,technic,moar
iter1_cv_split5,amp,trade,inevit,dipbuy,bitstamp,shkreli,bulljuic,hypothesi,eye,spot
iter2_cv_split1,trade,bitstamp,bulljuic,shkreli,technic,hypothesi,markup,brb,begun,year
iter2_cv_split2,trade,amp,markup,dipbuy,shkreli,bitstamp,hypothesi,eye,breakout,way
iter2_cv_split3,amp,trade,markup,shkreli,dipbuy,bulljuic,bitstamp,eye,spot,breakout
iter2_cv_split4,amp,markup,bitstamp,dipbuy,bulljuic,hypothesi,eye,close,inevit,technic
iter2_cv_split5,amp,dipbuy,bulljuic,shkreli,hypothesi,trade,breakout,eye,spot,close
iter3_cv_split1,trade,hypothesi,shkreli,bitstamp,dipbuy,breakout,eye,technic,moar,way
iter3_cv_split2,amp,trade,markup,dipbuy,bitstamp,bulljuic,hypothesi,day,close,inevit
iter3_cv_split3,amp,trade,markup,dipbuy,shkreli,bulljuic,hypothesi,breakout,spot,technic
iter3_cv_split4,amp,markup,hypothesi,bitstamp,shkreli,bulljuic,close,breakout,inevit,eye
iter3_cv_split5,amp,inevit,bulljuic,dipbuy,bitstamp,shkreli,trade,technic,eye,spot
iter4_cv_split1,amp,markup,bitstamp,dipbuy,hypothesi,eye,spot,breakout,technic,day
iter4_cv_split2,trade,amp,bulljuic,shkreli,dipbuy,bitstamp,breakout,hypothesi,close,day
iter4_cv_split3,amp,trade,bulljuic,dipbuy,bitstamp,shkreli,markup,technic,begun,journey
iter4_cv_split4,markup,trade,hypothesi,breakout,dipbuy,bitstamp,bulljuic,shkreli,inevit,spot
iter4_cv_split5,amp,trade,inevit,shkreli,bulljuic,hypothesi,close,way,spot,moar
iter5_cv_split1,amp,trade,shkreli,dipbuy,markup,hypothesi,day,eye,close,breakout
iter5_cv_split2,amp,trade,breakout,hypothesi,shkreli,dipbuy,bulljuic,bitstamp,day,technic
iter5_cv_split3,amp,markup,breakout,shkreli,bitstamp,dipbuy,bulljuic,close,spot,eye
iter5_cv_split4,amp,trade,hypothesi,bulljuic,bitstamp,close,markup,brb,spot,inevit
iter5_cv_split5,trade,markup,shkreli,bitstamp,dipbuy,bulljuic,hypothesi,eye,technic,inevit
iter6_cv_split1,trade,amp,shkreli,bulljuic,bitstamp,breakout,close,eye,brb,spot
iter6_cv_split2,markup,hypothesi,dipbuy,bulljuic,shkreli,bitstamp,breakout,technic,inevit,trade
iter6_cv_split3,trade,amp,markup,bulljuic,dipbuy,shkreli,hypothesi,close,day,spot
iter6_cv_split4,amp,inevit,shkreli,bulljuic,bitstamp,dipbuy,eye,hypothesi,trade,spot
iter6_cv_split5,amp,trade,dipbuy,bitstamp,markup,hypothesi,eye,spot,close,day
iter7_cv_split1,markup,trade,hypothesi,bitstamp,bulljuic,dipbuy,eye,spot,technic,close
