,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,denial,holder,mustread,abc,sold,calm,doe,hepat,credibl,sourc
iter1_cv_split2,denial,holder,mustread,abc,sold,calm,doe,current,cure,sourc
iter1_cv_split3,denial,holder,mustread,doe,valu,sell,abc,kind,reach,sold
iter1_cv_split4,denial,holder,mustread,doe,abc,sold,calm,current,credibl,sourc
iter1_cv_split5,holder,mustread,denial,doe,abc,sold,calm,cure,hepat,credibl
iter2_cv_split1,denial,holder,mustread,doe,abc,sold,calm,sell,current,valu
iter2_cv_split2,denial,holder,mustread,doe,abc,sold,calm,credibl,cure,sourc
iter2_cv_split3,denial,holder,mustread,doe,credibl,cure,hepat,sourc,valu,current
iter2_cv_split4,denial,holder,mustread,doe,abc,sold,calm,credibl,sourc,hepat
iter2_cv_split5,denial,holder,mustread,abc,sold,calm,doe,current,price,credibl
iter3_cv_split1,denial,holder,mustread,doe,abc,sold,calm,credibl,cure,hepat
iter3_cv_split2,denial,holder,mustread,doe,abc,sold,calm,current,credibl,cure
iter3_cv_split3,denial,holder,mustread,doe,abc,sold,calm,credibl,sourc,hepat
iter3_cv_split4,denial,holder,mustread,doe,credibl,cure,hepat,sourc,valu,abc
iter3_cv_split5,mustread,denial,holder,sell,current,sold,abc,calm,doe,valu
iter4_cv_split1,denial,holder,mustread,abc,sold,calm,doe,valu,kind,hepat
iter4_cv_split2,denial,holder,mustread,doe,abc,sold,calm,sell,current,valu
iter4_cv_split3,denial,holder,mustread,current,doe,abc,sold,calm,credibl,sourc
iter4_cv_split4,denial,holder,mustread,doe,abc,kind,sold,calm,hepat,credibl
iter4_cv_split5,mustread,denial,holder,doe,credibl,cure,hepat,sourc,reach,abc
iter5_cv_split1,denial,holder,mustread,doe,abc,sold,calm,current,credibl,cure
iter5_cv_split2,denial,holder,mustread,doe,abc,sold,calm,sell,price,valu
iter5_cv_split3,mustread,holder,denial,doe,valu,sourc,hepat,cure,credibl,abc
iter5_cv_split4,denial,holder,mustread,abc,sold,calm,doe,hepat,credibl,sourc
