,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,trade,close,amp,day,huge,bull,breakout,soon,time,best
iter1_cv_split2,amp,close,trade,dip,breakout,eye,look,soon,div,day
iter1_cv_split3,trade,close,amp,dip,breakout,cloud,day,huge,eye,bull
iter1_cv_split4,trade,close,amp,dip,cloud,break,time,bullish,rsi,run
iter1_cv_split5,amp,look,close,dip,breakout,div,cloud,trade,break,eye
iter2_cv_split1,close,dip,trade,amp,look,day,break,soon,love,bullish
iter2_cv_split2,amp,close,trade,huge,cloud,breakout,day,eye,soon,bull
iter2_cv_split3,trade,dip,breakout,amp,close,bullish,huge,look,run,rsi
iter2_cv_split4,trade,amp,close,look,breakout,dip,cloud,break,div,cap
iter2_cv_split5,amp,close,trade,div,day,time,breakout,cloud,dip,look
iter3_cv_split1,trade,amp,breakout,close,dip,look,break,huge,best,way
iter3_cv_split2,trade,amp,dip,close,day,cloud,bullish,breakout,run,rsi
iter3_cv_split3,amp,close,trade,dip,time,breakout,huge,day,look,usc
iter3_cv_split4,trade,breakout,amp,close,dip,look,cloud,huge,div,soon
iter3_cv_split5,close,trade,amp,day,div,cloud,break,bullish,rsi,look
iter4_cv_split1,trade,close,amp,huge,breakout,cloud,look,bullish,div,best
iter4_cv_split2,trade,amp,close,breakout,dip,look,soon,break,cap,way
iter4_cv_split3,amp,trade,dip,close,breakout,cloud,time,look,div,day
iter4_cv_split4,close,trade,amp,dip,look,breakout,eye,day,love,usc
iter4_cv_split5,close,amp,trade,cloud,dip,huge,breakout,day,eye,soon
iter5_cv_split1,amp,trade,dip,breakout,div,cloud,soon,best,day,spot
iter5_cv_split2,close,trade,breakout,amp,dip,huge,eye,best,cap,run
iter5_cv_split3,close,amp,dip,trade,div,day,break,bullish,way,cloud
iter5_cv_split4,amp,trade,close,look,breakout,cloud,dip,huge,break,eye
iter5_cv_split5,trade,close,amp,dip,breakout,day,soon,rsi,bullish,div
iter6_cv_split1,trade,close,amp,dip,breakout,day,div,time,bull,look
iter6_cv_split2,amp,trade,breakout,close,cloud,time,best,rsi,dip,updat
iter6_cv_split3,amp,trade,dip,close,look,div,bullish,break,huge,way
iter6_cv_split4,amp,trade,close,look,huge,breakout,day,cloud,break,eye
iter6_cv_split5,close,trade,dip,breakout,day,eye,cloud,rsi,best,look
iter7_cv_split1,trade,close,breakout,break,dip,huge,day,best,eye,cloud
iter7_cv_split2,amp,trade,close,dip,cloud,look,bullish,div,best,way
iter7_cv_split3,amp,trade,close,dip,cloud,look,breakout,div,time,soon
iter7_cv_split4,amp,close,trade,dip,day,breakout,huge,break,look,bullish
iter7_cv_split5,amp,trade,close,breakout,dip,look,day,eye,rsi,love
iter8_cv_split1,amp,trade,close,dip,cloud,look,bull,div,best,rsi
iter8_cv_split2,trade,close,breakout,amp,look,cloud,dip,break,bullish,day
iter8_cv_split3,trade,amp,close,dip,breakout,huge,time,eye,best,way
iter8_cv_split4,amp,close,trade,dip,breakout,cloud,div,day,look,rsi
iter8_cv_split5,trade,amp,close,time,break,day,huge,dip,soon,love
iter9_cv_split1,trade,amp,dip,close,huge,soon,breakout,time,wedg,rsi
iter9_cv_split2,amp,close,trade,look,huge,breakout,break,bullish,cloud,soon
iter9_cv_split3,close,amp,trade,dip,breakout,cloud,look,div,eye,best
iter9_cv_split4,trade,close,breakout,dip,amp,div,time,huge,best,eye
iter9_cv_split5,close,amp,trade,dip,breakout,look,cloud,break,rsi,way
iter10_cv_split1,trade,close,amp,dip,day,breakout,break,soon,rsi,div
iter10_cv_split2,trade,close,amp,dip,look,huge,break,soon,div,breakout
iter10_cv_split3,amp,close,dip,trade,breakout,huge,div,bullish,bull,eye
iter10_cv_split4,amp,close,trade,dip,look,div,breakout,day,cloud,eye
iter10_cv_split5,close,trade,amp,breakout,look,cloud,huge,bullish,dip,way
iter11_cv_split1,close,amp,trade,look,dip,cloud,soon,breakout,day,rsi
iter11_cv_split2,trade,close,amp,breakout,dip,huge,div,bull,way,cloud
iter11_cv_split3,amp,trade,close,breakout,cloud,day,div,eye,bullish,bull
iter11_cv_split4,trade,amp,dip,breakout,close,huge,div,time,bullish,eye
iter11_cv_split5,close,trade,dip,amp,huge,time,look,break,soon,best
iter12_cv_split1,close,trade,dip,amp,break,way,best,cloud,look,rsi
iter12_cv_split2,trade,amp,close,look,dip,cloud,div,usc,soon,eye
iter12_cv_split3,trade,amp,breakout,dip,cloud,day,break,love,soon,close
iter12_cv_split4,amp,trade,close,breakout,day,time,dip,bull,eye,bullish
iter12_cv_split5,trade,amp,close,breakout,dip,huge,div,bull,look,day
iter13_cv_split1,amp,dip,trade,close,cloud,look,huge,day,breakout,break
iter13_cv_split2,trade,amp,close,breakout,cloud,huge,div,dip,bull,eye
iter13_cv_split3,close,trade,dip,breakout,amp,huge,bull,way,div,best
iter13_cv_split4,amp,close,trade,cloud,dip,look,best,updat,technic,markup
iter13_cv_split5,trade,close,amp,breakout,look,dip,time,soon,day,div
iter14_cv_split1,trade,amp,breakout,close,dip,look,soon,time,way,rsi
iter14_cv_split2,close,trade,dip,amp,cloud,break,day,soon,look,best
iter14_cv_split3,amp,trade,close,dip,breakout,day,bullish,div,eye,huge
iter14_cv_split4,close,amp,trade,breakout,look,dip,cloud,day,bullish,rsi
iter14_cv_split5,trade,amp,close,breakout,dip,cloud,huge,look,div,time
iter15_cv_split1,trade,close,dip,amp,bullish,div,love,run,cap,wedg
iter15_cv_split2,trade,close,look,amp,cloud,breakout,eye,break,bullish,best
iter15_cv_split3,amp,trade,close,breakout,dip,day,huge,eye,way,div
iter15_cv_split4,close,amp,breakout,cloud,huge,dip,trade,time,div,rsi
iter15_cv_split5,trade,amp,dip,breakout,close,look,cloud,break,soon,day
iter16_cv_split1,trade,close,breakout,amp,dip,look,eye,rsi,way,cap
iter16_cv_split2,close,trade,amp,huge,cloud,look,rsi,day,best,div
iter16_cv_split3,amp,close,trade,dip,breakout,break,look,cloud,div,bull
iter16_cv_split4,close,amp,trade,dip,div,breakout,break,day,soon,huge
iter16_cv_split5,amp,dip,trade,cloud,time,huge,eye,break,bullish,soon
iter17_cv_split1,trade,amp,close,huge,cloud,day,dip,bullish,love,cap
iter17_cv_split2,amp,trade,dip,close,breakout,div,bullish,break,look,usc
iter17_cv_split3,close,amp,dip,look,trade,breakout,eye,soon,break,bullish
iter17_cv_split4,close,trade,amp,dip,cloud,huge,break,eye,breakout,bull
iter17_cv_split5,trade,close,breakout,dip,look,cloud,amp,huge,day,eye
iter18_cv_split1,trade,amp,close,dip,breakout,cloud,look,break,div,day
iter18_cv_split2,amp,trade,dip,close,break,div,breakout,huge,look,bullish
iter18_cv_split3,amp,trade,close,look,day,breakout,soon,break,time,way
iter18_cv_split4,close,dip,trade,amp,breakout,cloud,huge,div,eye,best
iter18_cv_split5,close,trade,amp,time,breakout,day,dip,rsi,eye,cloud
iter19_cv_split1,trade,amp,close,dip,breakout,bull,look,div,break,day
iter19_cv_split2,close,amp,breakout,dip,cloud,trade,break,eye,time,huge
iter19_cv_split3,close,trade,amp,look,cloud,dip,day,div,break,bullish
iter19_cv_split4,trade,amp,breakout,close,dip,huge,cloud,div,soon,best
iter19_cv_split5,trade,amp,close,breakout,look,dip,soon,way,usc,div
iter20_cv_split1,amp,trade,breakout,close,dip,div,huge,bull,day,soon
iter20_cv_split2,trade,amp,close,look,dip,break,soon,bullish,breakout,best
iter20_cv_split3,trade,close,dip,amp,cloud,time,breakout,day,way,rsi
iter20_cv_split4,amp,close,breakout,dip,trade,huge,div,day,look,soon
iter20_cv_split5,close,look,trade,amp,dip,break,cloud,way,usc,best
iter21_cv_split1,amp,close,breakout,cloud,break,trade,soon,eye,rsi,bullish
iter21_cv_split2,close,amp,trade,dip,breakout,look,bull,div,way,eye
iter21_cv_split3,trade,dip,close,amp,div,huge,soon,rsi,day,love
iter21_cv_split4,trade,amp,close,breakout,day,time,bullish,way,dip,huge
iter21_cv_split5,close,trade,dip,amp,look,breakout,huge,cloud,break,run
iter22_cv_split1,amp,trade,dip,close,break,day,div,cloud,bull,way
iter22_cv_split2,trade,close,amp,breakout,cloud,bullish,soon,rsi,way,look
iter22_cv_split3,close,amp,breakout,div,dip,huge,cloud,look,rsi,best
iter22_cv_split4,trade,dip,amp,close,look,time,breakout,break,eye,soon
iter22_cv_split5,trade,amp,close,breakout,dip,break,day,cloud,time,eye
iter23_cv_split1,amp,trade,dip,breakout,close,huge,cloud,soon,eye,love
iter23_cv_split2,close,trade,amp,breakout,look,eye,rsi,dip,best,way
iter23_cv_split3,trade,close,amp,breakout,dip,cloud,break,day,best,bullish
iter23_cv_split4,trade,dip,close,amp,look,time,break,bullish,soon,best
iter23_cv_split5,amp,trade,close,dip,bull,div,day,eye,cloud,soon
iter24_cv_split1,amp,close,trade,dip,bull,breakout,break,div,best,look
iter24_cv_split2,close,amp,trade,look,cloud,day,dip,love,breakout,rsi
iter24_cv_split3,trade,breakout,close,cloud,dip,amp,time,bullish,soon,eye
iter24_cv_split4,amp,close,trade,dip,breakout,div,cloud,huge,eye,look
iter24_cv_split5,trade,amp,close,dip,breakout,cloud,look,break,day,huge
iter25_cv_split1,close,amp,trade,dip,cloud,div,break,huge,soon,breakout
iter25_cv_split2,close,amp,breakout,trade,dip,cloud,bull,huge,div,best
iter25_cv_split3,trade,amp,dip,breakout,look,close,soon,eye,div,cloud
iter25_cv_split4,trade,close,look,amp,dip,breakout,break,best,love,spot
iter25_cv_split5,amp,close,trade,dip,day,huge,cloud,time,soon,bullish
iter26_cv_split1,close,trade,dip,amp,cloud,huge,day,breakout,bull,best
iter26_cv_split2,close,amp,trade,dip,breakout,huge,look,day,eye,cloud
iter26_cv_split3,amp,trade,close,look,dip,cloud,soon,break,bullish,love
iter26_cv_split4,amp,trade,look,breakout,div,cloud,break,day,close,soon
iter26_cv_split5,close,trade,dip,amp,breakout,break,day,time,huge,best
iter27_cv_split1,trade,close,breakout,amp,look,dip,huge,soon,rsi,eye
