,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,holder,mustread,denial,doe,current,valu,lose,sell,transfer,scale
iter1_cv_split2,denial,holder,mustread,doe,valu,lose,abc,kind,calm,sold
iter1_cv_split3,denial,holder,mustread,doe,lose,abc,sold,calm,sourc,hepat
iter1_cv_split4,denial,holder,mustread,doe,valu,abc,sold,calm,current,lose
iter1_cv_split5,denial,holder,mustread,doe,lose,current,abc,sold,calm,valu
iter2_cv_split1,mustread,denial,holder,doe,valu,lose,kind,calm,abc,sold
iter2_cv_split2,denial,holder,mustread,doe,lose,transfer,credibl,cure,hepat,sourc
iter2_cv_split3,denial,holder,mustread,doe,valu,lose,scale,price,current,transfer
iter2_cv_split4,denial,holder,mustread,doe,valu,lose,abc,sold,calm,transfer
iter2_cv_split5,denial,holder,mustread,doe,sell,current,valu,lose,abc,calm
iter3_cv_split1,mustread,holder,denial,doe,valu,lose,abc,calm,sold,cure
iter3_cv_split2,denial,holder,mustread,doe,current,valu,credibl,cure,sourc,hepat
iter3_cv_split3,denial,holder,mustread,doe,current,valu,lose,calm,abc,sold
iter3_cv_split4,mustread,holder,denial,doe,valu,lose,transfer,current,hepat,sourc
iter3_cv_split5,doe,denial,holder,mustread,sell,lose,transfer,abc,kind,calm
iter4_cv_split1,denial,holder,mustread,doe,lose,valu,transfer,credibl,cure,sourc
iter4_cv_split2,denial,mustread,holder,doe,sell,valu,lose,current,transfer,abc
iter4_cv_split3,doe,denial,holder,mustread,valu,lose,abc,sold,calm,current
iter4_cv_split4,denial,mustread,holder,doe,lose,credibl,cure,sourc,hepat,valu
iter4_cv_split5,denial,holder,mustread,doe,current,valu,lose,abc,sold,calm
iter5_cv_split1,denial,holder,mustread,doe,valu,lose,transfer,abc,kind,calm
iter5_cv_split2,denial,holder,mustread,doe,valu,lose,abc,sold,calm,current
iter5_cv_split3,denial,holder,mustread,doe,current,valu,lose,abc,calm,sold
iter5_cv_split4,denial,holder,mustread,doe,sell,lose,current,valu,transfer,credibl
iter5_cv_split5,doe,denial,holder,mustread,lose,valu,transfer,credibl,cure,sourc
iter6_cv_split1,denial,holder,mustread,doe,current,valu,abc,sold,calm,sourc
iter6_cv_split2,denial,holder,mustread,doe,valu,lose,abc,sold,calm,credibl
iter6_cv_split3,doe,denial,holder,mustread,current,lose,valu,transfer,everi,human
iter6_cv_split4,denial,holder,mustread,doe,lose,credibl,cure,hepat,sourc,valu
iter6_cv_split5,denial,holder,mustread,doe,lose,valu,sell,transfer,kind,calm
iter7_cv_split1,denial,holder,mustread,doe,valu,calm,sold,abc,lose,current
iter7_cv_split2,denial,mustread,holder,doe,current,valu,lose,sourc,credibl,hepat
iter7_cv_split3,doe,denial,holder,mustread,valu,lose,credibl,cure,hepat,sourc
iter7_cv_split4,doe,denial,holder,mustread,current,valu,lose,abc,calm,sold
iter7_cv_split5,denial,holder,mustread,doe,lose,sell,transfer,reach,sold,abc
iter8_cv_split1,denial,holder,mustread,doe,valu,sell,current,lose,transfer,credibl
iter8_cv_split2,denial,holder,mustread,doe,current,lose,kind,calm,abc,sold
