,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,breakout,hamp,escap,accumul,came,journey,accumulatinggot,paus,fund,exampl
iter1_cv_split2,good,hamp,updat,far,littl,journey,escap,come,expect,spot
iter1_cv_split3,good,hamp,updat,far,profit,overbought,come,exampl,continu,manag
iter1_cv_split4,good,hamp,far,came,journey,exampl,expect,volum,accumulatinggot,price
iter1_cv_split5,hamp,good,far,came,optimist,updat,look,nice,shine,high
iter2_cv_split1,hamp,good,escap,moral,far,updat,came,profit,rsi,fund
iter2_cv_split2,good,hamp,far,updat,came,market,spot,fund,exampl,decent
iter2_cv_split3,good,hamp,far,came,updat,volum,accumulatinggot,nice,bought,strong
iter2_cv_split4,good,hamp,breakout,came,weak,far,look,accumulatinggot,updat,return
iter2_cv_split5,good,updat,hamp,far,came,nice,shine,hodl,scenario,soon
iter3_cv_split1,good,breakout,hamp,updat,far,profit,came,wet,expect,scenario
iter3_cv_split2,good,updat,hamp,exampl,profit,far,accumul,rsi,came,market
iter3_cv_split3,good,updat,hamp,came,far,littl,shine,nice,bought,sale
iter3_cv_split4,good,hamp,far,stori,littl,accumulatinggot,hope,spot,gt,nice
iter3_cv_split5,good,hamp,came,far,scenario,updat,look,nice,soon,exampl
iter4_cv_split1,hamp,good,updat,journey,far,moral,accumulatinggot,exampl,user,came
iter4_cv_split2,good,far,hamp,volum,profit,pant,came,nice,manag,bull
iter4_cv_split3,good,updat,hamp,far,check,accumulatinggot,nice,came,look,soon
iter4_cv_split4,good,hamp,volum,came,far,updat,expect,nice,breakout,accumulatinggot
iter4_cv_split5,hamp,good,far,escap,came,shine,revers,exampl,price,spot
iter5_cv_split1,hamp,good,far,littl,market,updat,came,look,nice,soon
iter5_cv_split2,hope,good,hamp,repeat,exampl,price,came,shine,alway,downtrend
iter5_cv_split3,good,hamp,updat,exampl,volum,journey,far,came,market,return
iter5_cv_split4,good,far,updat,hamp,came,accumulatinggot,optimist,patient,bought,high
iter5_cv_split5,good,hamp,far,pullback,came,updat,exampl,journey,div,optimist
iter6_cv_split1,hamp,good,updat,came,far,exampl,trendinghedg,optimist,escap,pant
iter6_cv_split2,grab,updat,hamp,came,hodl,good,shine,look,optimist,breakout
iter6_cv_split3,good,hamp,far,come,updat,exampl,continu,everi,optimist,overbought
iter6_cv_split4,good,hamp,far,check,came,accumulatinggot,updat,nice,mani,bought
iter6_cv_split5,good,far,hamp,repeat,updat,pullback,optimist,came,escap,accumulatinggot
iter7_cv_split1,price,good,journey,far,mayb,expect,accumul,came,updat,accumulatinggot
iter7_cv_split2,hamp,grab,updat,came,good,check,nice,accumulatinggot,look,high
iter7_cv_split3,grab,good,nice,exampl,journey,escap,high,mayb,came,fund
iter7_cv_split4,hamp,good,accumul,far,journey,decent,paus,win,manag,came
iter7_cv_split5,good,breakout,updat,hamp,moral,far,profit,everi,shine,littl
iter8_cv_split1,good,updat,hamp,came,far,look,soon,patient,nice,ledger
iter8_cv_split2,good,hamp,updat,volum,nice,bought,shine,soon,strong,came
iter8_cv_split3,good,mayb,far,pullback,price,exampl,came,market,expect,accumulatinggot
iter8_cv_split4,good,came,updat,far,decent,hamp,shine,nice,mani,look
iter8_cv_split5,hamp,good,escap,exampl,far,profit,gt,market,triangl,wet
iter9_cv_split1,good,far,hamp,pant,came,come,shine,manag,updat,pullback
iter9_cv_split2,good,hamp,moral,far,journey,updat,came,exampl,pressur,shine
iter9_cv_split3,good,hamp,far,escap,win,profit,repeat,price,spot,market
iter9_cv_split4,hamp,far,win,paus,escap,moon,spot,price,market,decent
iter9_cv_split5,good,hamp,updat,far,breakout,declin,came,patient,continu,look
iter10_cv_split1,good,updat,far,hamp,journey,wet,exampl,expect,came,paus
iter10_cv_split2,good,hamp,far,updat,pant,profit,trendinghedg,downtrend,exampl,scenario
iter10_cv_split3,good,updat,hamp,optimist,far,came,look,nice,shine,soon
iter10_cv_split4,hamp,exampl,scenario,escap,overbought,came,hope,paus,journey,revers
iter10_cv_split5,grab,updat,good,hamp,insid,volum,came,nice,look,low
iter11_cv_split1,good,hamp,far,accumulatinggot,came,volum,nice,updat,look,bought
iter11_cv_split2,good,updat,hamp,far,exampl,trendinghedg,rsi,journey,shine,accumul
iter11_cv_split3,good,came,hamp,far,check,updat,nice,shine,bought,strong
iter11_cv_split4,hamp,soon,updat,came,good,scenario,accumulatinggot,nice,high,bought
iter11_cv_split5,good,hamp,updat,breakout,far,littl,came,rememb,shine,look
iter12_cv_split1,good,optimist,hamp,far,came,updat,nice,insid,look,high
iter12_cv_split2,good,hamp,far,journey,fund,market,overbought,moral,probabl,exampl
iter12_cv_split3,profit,hamp,good,far,return,downtrend,updat,accumul,alway,market
iter12_cv_split4,good,hope,nice,came,updat,soon,hamp,mayb,accumulatinggot,scenario
iter12_cv_split5,hamp,good,updat,far,came,exampl,stori,optimist,pullback,downtrend
iter13_cv_split1,good,hamp,decent,far,updat,came,shine,look,ledger,soon
iter13_cv_split2,good,decent,came,hamp,journey,far,spot,come,probabl,expect
iter13_cv_split3,hamp,volum,updat,good,price,came,return,far,exampl,escap
iter13_cv_split4,good,hamp,far,escap,week,check,moon,came,market,profit
iter13_cv_split5,good,updat,hamp,far,came,nice,bought,decent,insid,high
iter14_cv_split1,good,hamp,profit,far,exampl,moral,updat,fund,volum,came
iter14_cv_split2,hamp,good,far,updat,insid,littl,came,look,nice,soon
iter14_cv_split3,good,hamp,decent,pullback,came,downtrend,journey,exampl,updat,far
iter14_cv_split4,good,updat,far,hamp,came,shine,scenario,nice,bought,strong
iter14_cv_split5,good,far,came,optimist,bull,escap,stori,exampl,updat,hamp
iter15_cv_split1,good,came,hamp,far,volum,updat,nice,like,soon,ledger
iter15_cv_split2,good,mayb,volum,far,continu,market,price,manag,escap,exampl
iter15_cv_split3,hamp,good,far,exampl,pant,came,trendinghedg,probabl,continu,profit
iter15_cv_split4,hamp,downtrend,good,came,far,wet,accumulatinggot,market,scenario,pullback
iter15_cv_split5,updat,good,hope,hamp,came,shine,volum,dip,nice,bought
iter16_cv_split1,good,hamp,updat,fund,far,exampl,bull,journey,pant,came
iter16_cv_split2,good,hamp,far,journey,continu,accumul,updat,shine,day,exampl
iter16_cv_split3,good,hamp,far,overbought,accumulatinggot,div,came,check,profit,market
iter16_cv_split4,good,profit,hamp,expect,exampl,moral,updat,far,div,market
iter16_cv_split5,good,hamp,updat,far,came,volum,nice,accumulatinggot,alreadi,strong
iter17_cv_split1,good,hamp,far,week,stori,scenario,pullback,came,manag,accumul
iter17_cv_split2,good,hamp,updat,decent,far,came,nice,look,accumulatinggot,bought
iter17_cv_split3,good,far,pant,hamp,came,updat,profit,accumulatinggot,return,rsi
iter17_cv_split4,good,came,hamp,far,check,fall,updat,moral,come,trendinghedg
iter17_cv_split5,updat,good,hamp,decent,far,insid,nice,came,alreadi,high
iter18_cv_split1,good,optimist,far,hamp,came,updat,nice,accumulatinggot,alreadi,bought
iter18_cv_split2,hamp,far,price,pls,exampl,total,spot,decent,casino,escap
iter18_cv_split3,decent,good,grab,came,hamp,accumulatinggot,updat,nice,strong,bought
iter18_cv_split4,good,hamp,far,littl,came,updat,nice,look,accumulatinggot,high
iter18_cv_split5,hamp,good,updat,far,probabl,nice,came,optimist,bought,exchang
iter19_cv_split1,grab,good,updat,came,hamp,insid,nice,littl,mani,alreadi
iter19_cv_split2,hamp,good,journey,far,came,trendinghedg,littl,exampl,moral,accumul
iter19_cv_split3,good,wet,hamp,journey,check,far,year,line,alway,exampl
iter19_cv_split4,good,far,hamp,exampl,updat,came,profit,paus,accumul,pant
iter19_cv_split5,hamp,good,pullback,far,escap,year,exampl,enjoy,accumulatinggot,updat
iter20_cv_split1,far,hamp,good,updat,scenario,came,accumulatinggot,nice,patient,look
iter20_cv_split2,good,hamp,far,volum,exampl,journey,came,accumulatinggot,updat,spot
iter20_cv_split3,good,hamp,updat,came,far,journey,pant,optimist,moon,nice
iter20_cv_split4,hamp,far,journey,escap,volum,market,exampl,trendinghedg,paus,hope
iter20_cv_split5,good,hamp,far,journey,everi,updat,wet,exampl,alway,optimist
iter21_cv_split1,good,soon,volum,look,came,nice,high,updat,hamp,accumulatinggot
iter21_cv_split2,updat,good,hamp,came,hope,scenario,nice,right,exchang,strong
iter21_cv_split3,good,far,hamp,updat,trendinghedg,market,profit,exampl,accumulatinggot,moral
iter21_cv_split4,hamp,good,came,far,profit,updat,pullback,shine,everi,scenario
iter21_cv_split5,good,hamp,far,exampl,pullback,escap,start,came,revers,market
iter22_cv_split1,updat,hamp,good,far,start,decent,moral,exampl,spot,line
iter22_cv_split2,good,hamp,came,far,accumulatinggot,div,pullback,downtrend,price,hope
iter22_cv_split3,good,hamp,pant,far,updat,came,shine,line,profit,overbought
iter22_cv_split4,good,far,updat,scenario,nice,hamp,came,bought,shine,alreadi
iter22_cv_split5,good,hamp,came,far,volum,updat,nice,breakout,shine,repeat
iter23_cv_split1,hamp,good,updat,far,came,accumulatinggot,scenario,look,patient,nice
iter23_cv_split2,hamp,far,good,updat,came,pullback,line,profit,downtrend,check
iter23_cv_split3,good,hamp,far,scenario,paus,updat,exampl,shine,came,win
iter23_cv_split4,hope,hamp,good,came,nice,probabl,updat,littl,alreadi,strong
iter23_cv_split5,good,updat,hamp,far,volum,came,accumulatinggot,nice,bought,alreadi
iter24_cv_split1,good,updat,hamp,far,journey,accumul,exampl,volum,stori,expect
iter24_cv_split2,good,updat,hamp,far,scenario,nice,shine,bought,came,alreadi
iter24_cv_split3,good,hamp,far,scenario,accumulatinggot,came,updat,look,rememb,close
iter24_cv_split4,hamp,dip,paus,accumul,everi,market,scenario,overbought,exampl,far
iter24_cv_split5,good,far,journey,price,everi,volum,came,escap,continu,win
