,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,good,high,hold,bought,bounc,need,cheap,nice,imo,final
iter1_cv_split2,good,high,need,nice,bought,cheap,breakout,updat,bounc,hold
iter1_cv_split3,high,good,updat,nice,breakout,need,close,st,hold,bounc
iter1_cv_split4,good,high,nice,bought,need,imo,look,cheap,let,updat
iter1_cv_split5,good,high,breakout,nice,updat,bought,imo,bounc,hold,close
iter2_cv_split1,high,updat,good,need,bought,imo,hold,st,breakout,undervalu
iter2_cv_split2,good,high,nice,hold,bounc,cheap,imo,breakout,final,let
iter2_cv_split3,good,bought,nice,high,updat,hold,cheap,need,breakout,bounc
iter2_cv_split4,good,high,updat,need,bounc,nice,bought,breakout,st,cheap
iter2_cv_split5,good,high,nice,need,bought,imo,look,breakout,close,cheap
iter3_cv_split1,good,high,bought,need,hold,updat,imo,nice,breakout,undervalu
iter3_cv_split2,good,bought,need,high,nice,hold,updat,cheap,bounc,breakout
iter3_cv_split3,high,good,bought,nice,updat,cheap,need,imo,close,look
iter3_cv_split4,high,nice,breakout,good,bounc,cheap,st,hold,final,imo
iter3_cv_split5,good,high,need,bought,nice,breakout,bounc,updat,undervalu,final
iter4_cv_split1,good,high,breakout,need,nice,bounc,cheap,imo,updat,look
iter4_cv_split2,high,good,nice,updat,bought,need,hold,bounc,cheap,st
iter4_cv_split3,good,nice,high,need,bought,cheap,breakout,imo,st,bounc
iter4_cv_split4,good,high,bought,updat,hold,need,bounc,nice,breakout,st
iter4_cv_split5,high,good,imo,nice,bought,breakout,cheap,close,updat,hold
iter5_cv_split1,high,good,updat,nice,breakout,hold,bought,imo,cheap,bounc
iter5_cv_split2,good,high,need,bought,cheap,nice,imo,final,bounc,alreadi
iter5_cv_split3,high,good,nice,bought,need,bounc,updat,hold,imo,st
iter5_cv_split4,good,high,breakout,nice,need,cheap,updat,st,bounc,bought
iter5_cv_split5,good,high,need,updat,breakout,imo,nice,hold,close,bought
iter6_cv_split1,good,high,bought,need,bounc,nice,updat,close,st,breakout
iter6_cv_split2,good,high,nice,need,imo,breakout,st,cheap,ath,hold
iter6_cv_split3,good,high,updat,nice,need,bounc,hold,bought,imo,cheap
iter6_cv_split4,high,good,nice,need,hold,updat,breakout,close,cheap,bounc
iter6_cv_split5,good,high,breakout,bought,nice,updat,cheap,look,close,bounc
iter7_cv_split1,high,good,nice,bought,bounc,need,cheap,breakout,updat,close
iter7_cv_split2,good,need,high,bought,imo,breakout,nice,updat,hold,cheap
iter7_cv_split3,good,high,breakout,need,updat,bounc,nice,hold,cheap,st
iter7_cv_split4,good,high,bought,nice,need,hold,cheap,updat,bounc,imo
iter7_cv_split5,high,good,nice,updat,bought,hold,breakout,imo,bounc,readi
iter8_cv_split1,good,bought,high,nice,hold,need,cheap,breakout,updat,undervalu
iter8_cv_split2,high,good,need,bought,bounc,nice,hold,updat,breakout,imo
iter8_cv_split3,good,high,need,bought,nice,breakout,bounc,look,hold,mil
iter8_cv_split4,high,good,nice,updat,need,hold,cheap,imo,breakout,bounc
iter8_cv_split5,high,good,nice,bounc,bought,updat,breakout,cheap,final,close
iter9_cv_split1,updat,high,good,bounc,nice,hold,cheap,breakout,imo,bought
iter9_cv_split2,high,good,need,updat,bought,nice,look,st,close,hold
iter9_cv_split3,good,high,nice,need,breakout,hold,cheap,imo,look,final
iter9_cv_split4,good,high,bought,need,breakout,nice,imo,cheap,close,st
iter9_cv_split5,good,bought,nice,need,high,updat,bounc,hold,readi,undervalu
iter10_cv_split1,good,high,updat,nice,need,bounc,cheap,breakout,imo,bought
iter10_cv_split2,good,high,updat,bought,bounc,need,cheap,hold,nice,close
iter10_cv_split3,high,good,nice,need,breakout,imo,bought,hold,st,updat
iter10_cv_split4,good,high,need,nice,breakout,bought,bounc,hold,imo,readi
iter10_cv_split5,good,high,nice,bought,updat,cheap,hold,close,st,breakout
iter11_cv_split1,high,good,hold,bounc,need,nice,updat,breakout,imo,close
iter11_cv_split2,good,high,nice,imo,cheap,hold,close,bought,st,undervalu
