,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,updat,breakout,good,support,look,amp,high,nice,imo,volum
iter1_cv_split2,updat,breakout,good,support,high,resist,look,dip,imo,nice
iter1_cv_split3,updat,breakout,good,look,dip,support,nice,imo,resist,expect
iter1_cv_split4,updat,breakout,good,support,imo,amp,dip,resist,volum,look
iter1_cv_split5,updat,good,breakout,look,support,dip,volum,nice,amp,resist
iter2_cv_split1,updat,breakout,good,support,high,volum,dip,look,bought,amp
iter2_cv_split2,updat,good,breakout,support,look,dip,resist,high,strong,amp
iter2_cv_split3,updat,breakout,good,look,imo,high,amp,nice,volum,support
iter2_cv_split4,updat,breakout,good,look,support,nice,amp,dip,volum,resist
iter2_cv_split5,updat,good,breakout,support,dip,look,imo,resist,nice,strong
iter3_cv_split1,updat,breakout,good,support,dip,high,look,nice,amp,volum
iter3_cv_split2,updat,breakout,good,support,dip,look,resist,nice,strong,amp
iter3_cv_split3,updat,breakout,good,support,high,look,resist,volum,imo,nice
iter3_cv_split4,updat,breakout,good,resist,support,look,nice,amp,dip,imo
iter3_cv_split5,updat,good,breakout,look,support,dip,amp,high,volum,imo
iter4_cv_split1,updat,good,breakout,support,look,imo,nice,resist,volum,dip
iter4_cv_split2,updat,breakout,good,support,look,dip,volum,expect,resist,strong
iter4_cv_split3,updat,breakout,good,dip,support,resist,look,amp,nice,high
iter4_cv_split4,updat,breakout,good,support,volum,resist,high,dip,look,imo
iter4_cv_split5,updat,good,breakout,look,high,nice,imo,amp,support,dip
iter5_cv_split1,updat,good,breakout,support,look,volum,amp,resist,dip,strong
iter5_cv_split2,updat,breakout,good,support,dip,look,volum,high,imo,amp
iter5_cv_split3,updat,good,breakout,look,support,imo,dip,resist,nice,high
iter5_cv_split4,updat,breakout,good,support,dip,amp,volum,nice,high,resist
iter5_cv_split5,updat,good,breakout,support,look,nice,high,dip,resist,amp
iter6_cv_split1,updat,breakout,good,imo,dip,look,support,volum,high,amp
iter6_cv_split2,updat,good,breakout,support,look,resist,dip,amp,nice,high
iter6_cv_split3,updat,breakout,good,look,support,volum,resist,nice,imo,high
iter6_cv_split4,updat,good,breakout,support,amp,look,volum,imo,dip,nice
iter6_cv_split5,updat,good,breakout,support,look,dip,nice,high,volum,resist
iter7_cv_split1,updat,breakout,good,support,look,dip,nice,resist,volum,expect
iter7_cv_split2,updat,breakout,good,imo,high,look,dip,amp,nice,support
iter7_cv_split3,updat,breakout,good,support,look,volum,high,imo,amp,resist
iter7_cv_split4,updat,good,breakout,support,dip,look,resist,amp,volum,high
iter7_cv_split5,updat,good,breakout,look,nice,support,dip,resist,imo,amp
iter8_cv_split1,updat,breakout,good,volum,support,dip,look,resist,imo,nice
iter8_cv_split2,updat,good,breakout,support,look,dip,resist,nice,high,imo
iter8_cv_split3,updat,breakout,good,look,support,amp,high,resist,volum,nice
iter8_cv_split4,updat,breakout,good,support,look,imo,amp,nice,dip,strong
iter8_cv_split5,updat,good,breakout,support,dip,high,resist,look,amp,nice
iter9_cv_split1,updat,good,breakout,look,support,volum,dip,resist,high,amp
iter9_cv_split2,updat,breakout,good,support,amp,nice,dip,imo,volum,bought
iter9_cv_split3,updat,breakout,good,look,imo,support,dip,nice,high,resist
iter9_cv_split4,updat,good,breakout,support,look,high,resist,amp,volum,imo
iter9_cv_split5,updat,good,breakout,support,look,dip,volum,high,resist,amp
iter10_cv_split1,updat,breakout,good,look,support,resist,high,volum,strong,imo
iter10_cv_split2,updat,breakout,good,support,look,dip,nice,amp,imo,time
iter10_cv_split3,updat,good,breakout,support,look,volum,resist,high,nice,dip
iter10_cv_split4,updat,breakout,good,support,look,dip,amp,nice,imo,volum
iter10_cv_split5,updat,good,breakout,dip,support,imo,amp,nice,high,resist
iter11_cv_split1,updat,breakout,good,support,amp,look,strong,high,nice,resist
iter11_cv_split2,updat,good,breakout,support,dip,look,amp,imo,high,resist
iter11_cv_split3,updat,good,breakout,support,look,nice,resist,high,volum,dip
iter11_cv_split4,updat,good,breakout,look,support,dip,imo,amp,nice,high
iter11_cv_split5,updat,breakout,good,look,support,volum,resist,strong,imo,dip
iter12_cv_split1,updat,breakout,good,support,volum,nice,resist,dip,high,amp
iter12_cv_split2,updat,good,breakout,look,dip,high,nice,support,amp,volum
iter12_cv_split3,updat,breakout,good,support,look,resist,dip,volum,amp,high
iter12_cv_split4,updat,good,breakout,support,look,imo,amp,resist,nice,strong
iter12_cv_split5,updat,breakout,good,support,dip,look,volum,high,nice,expect
iter13_cv_split1,updat,good,breakout,imo,dip,support,high,amp,nice,look
iter13_cv_split2,updat,breakout,good,look,support,resist,high,dip,imo,strong
iter13_cv_split3,updat,breakout,good,support,look,imo,volum,resist,nice,dip
iter13_cv_split4,updat,breakout,good,support,dip,high,resist,look,volum,imo
iter13_cv_split5,updat,good,breakout,look,support,nice,amp,dip,volum,high
iter14_cv_split1,updat,good,breakout,support,look,high,imo,dip,nice,amp
iter14_cv_split2,updat,breakout,good,support,dip,look,volum,strong,resist,nice
iter14_cv_split3,updat,breakout,good,support,high,look,dip,imo,amp,resist
iter14_cv_split4,updat,good,breakout,look,support,resist,volum,nice,amp,imo
iter14_cv_split5,updat,breakout,good,support,look,volum,dip,resist,amp,high
iter15_cv_split1,updat,breakout,good,support,resist,look,nice,imo,high,strong
iter15_cv_split2,updat,breakout,good,look,support,strong,dip,resist,bought,amp
iter15_cv_split3,updat,good,breakout,look,dip,nice,imo,support,volum,high
iter15_cv_split4,updat,breakout,good,high,look,support,dip,volum,imo,nice
iter15_cv_split5,updat,breakout,good,support,dip,amp,look,imo,nice,volum
iter16_cv_split1,updat,good,breakout,support,imo,amp,dip,volum,look,high
iter16_cv_split2,updat,breakout,good,dip,look,imo,amp,support,nice,high
iter16_cv_split3,updat,breakout,good,support,look,resist,dip,strong,volum,expect
iter16_cv_split4,updat,good,breakout,support,look,high,amp,nice,imo,dip
iter16_cv_split5,updat,breakout,good,look,support,volum,high,resist,nice,dip
iter17_cv_split1,updat,breakout,good,look,support,volum,resist,dip,amp,high
iter17_cv_split2,updat,good,breakout,look,nice,imo,high,volum,amp,support
iter17_cv_split3,updat,breakout,good,support,dip,look,high,amp,volum,nice
iter17_cv_split4,updat,breakout,good,support,look,dip,volum,resist,strong,imo
iter17_cv_split5,updat,good,breakout,support,look,resist,nice,amp,dip,imo
iter18_cv_split1,updat,good,breakout,look,dip,support,resist,amp,nice,strong
iter18_cv_split2,updat,good,breakout,support,look,imo,amp,nice,high,volum
iter18_cv_split3,updat,breakout,good,support,look,resist,nice,amp,volum,imo
iter18_cv_split4,updat,good,breakout,support,dip,high,resist,imo,amp,look
iter18_cv_split5,updat,breakout,good,support,dip,look,high,nice,volum,imo
