,full_test_accs,full_test_aucs,full_test_fns,full_test_fps,full_test_null_accs,full_test_tns,full_test_tps,full_train_accs,full_train_aucs,full_train_fns,full_train_fps,full_train_null_accs,full_train_tns,full_train_tps
iter1_cv_split1,0.8888888888888888,0.9890260631001372,6,0,0.5,27,21,0.9615384615384616,0.9967640532544378,8,0,0.5,104,96
iter1_cv_split2,0.8461538461538461,0.9733727810650887,6,2,0.5,24,20,0.9571428571428572,0.9963718820861678,8,1,0.5,104,97
iter1_cv_split3,0.9615384615384616,0.9792899408284024,2,0,0.5,26,24,0.9761904761904762,0.9978231292517007,5,0,0.5,105,100
iter1_cv_split4,0.8653846153846154,0.9792899408284025,7,0,0.5,26,19,0.9666666666666667,0.9969160997732427,7,0,0.5,105,98
iter1_cv_split5,0.8461538461538461,0.985207100591716,8,0,0.5,26,18,0.9619047619047619,0.9966439909297052,8,0,0.5,105,97
iter2_cv_split1,0.9259259259259259,0.9972565157750343,4,0,0.5,27,23,0.9615384615384616,0.9952847633136094,8,0,0.5,104,96
iter2_cv_split2,0.9423076923076923,0.985207100591716,3,0,0.5,26,23,0.9714285714285714,0.9970068027210884,6,0,0.5,105,99
iter2_cv_split3,0.8846153846153846,0.9881656804733728,6,0,0.5,26,20,0.9523809523809523,0.9966439909297053,10,0,0.5,105,95
iter2_cv_split4,0.8653846153846154,0.9733727810650887,4,3,0.5,23,22,0.9476190476190476,0.9974603174603175,8,3,0.5,102,97
iter2_cv_split5,0.8461538461538461,0.992603550295858,8,0,0.5,26,18,0.9809523809523809,0.9965532879818594,4,0,0.5,105,101
iter3_cv_split1,0.8703703703703703,0.9821673525377229,7,0,0.5,27,20,0.9663461538461539,0.9960244082840237,7,0,0.5,104,97
iter3_cv_split2,0.9423076923076923,0.9822485207100592,3,0,0.5,26,23,0.9714285714285714,0.9970068027210884,6,0,0.5,105,99
iter3_cv_split3,0.9230769230769231,1.0,4,0,0.5,26,22,0.9476190476190476,0.9952834467120181,11,0,0.5,105,94
iter3_cv_split4,0.8461538461538461,0.9748520710059172,8,0,0.5,26,18,0.9666666666666667,0.9963718820861677,7,0,0.5,105,98
iter3_cv_split5,0.8269230769230769,0.9452662721893491,9,0,0.5,26,17,0.9809523809523809,0.9972789115646258,4,0,0.5,105,101
iter4_cv_split1,0.8703703703703703,0.9807956104252401,7,0,0.5,27,20,0.9663461538461539,0.9974112426035503,7,0,0.5,104,97
iter4_cv_split2,0.8076923076923077,0.9408284023668639,6,4,0.5,22,20,0.9619047619047619,0.9964625850340135,7,1,0.5,104,98
iter4_cv_split3,0.9230769230769231,0.977810650887574,4,0,0.5,26,22,0.9761904761904762,0.9970975056689343,5,0,0.5,105,100
iter4_cv_split4,0.8653846153846154,0.9689349112426036,3,4,0.5,22,23,0.9571428571428572,0.9950113378684807,7,2,0.5,103,98
iter4_cv_split5,0.8269230769230769,0.9837278106508875,9,0,0.5,26,17,0.9666666666666667,0.9953741496598639,7,0,0.5,105,98
iter5_cv_split1,0.8518518518518519,0.9958847736625513,8,0,0.5,27,19,0.9615384615384616,0.9952847633136095,8,0,0.5,104,96
iter5_cv_split2,0.9038461538461539,0.9571005917159763,5,0,0.5,26,21,0.9714285714285714,0.9960997732426303,6,0,0.5,105,99
iter5_cv_split3,0.9038461538461539,0.9911242603550297,5,0,0.5,26,21,0.9476190476190476,0.9949206349206349,11,0,0.5,105,94
