,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,stop,incom,profit,let,becaus,otherwis,cash,die,foreverif,amp
iter1_cv_split2,stop,let,incom,aka,tight,greed,profit,die,otherwis,sinc
iter1_cv_split3,stop,let,shill,profit,incom,tight,die,greed,min,cloud
iter1_cv_split4,stop,greed,let,profit,die,incom,like,cash,look,takeoff
iter1_cv_split5,stop,greed,incom,shill,tight,otherwis,ok,hour,runat,foreverif
iter2_cv_split1,stop,bounc,incom,profit,shill,die,tight,better,becaus,troll
iter2_cv_split2,stop,profit,incom,let,becaus,demon,bitcoin,ichimoku,sinc,hate
iter2_cv_split3,stop,incom,expect,jami,greed,like,let,die,bought,direct
iter2_cv_split4,stop,let,incom,becaus,tight,bull,direct,die,jami,welcom
iter2_cv_split5,stop,let,incom,becaus,shill,tight,profit,die,cloud,didn
iter3_cv_split1,stop,incom,let,profit,die,tight,shill,min,becaus,foreverif
iter3_cv_split2,stop,greed,incom,bull,tight,die,let,demon,hour,rektfest
iter3_cv_split3,stop,incom,profit,let,bitcoin,greed,dimon,otherwis,sinc,troll
iter3_cv_split4,stop,profit,let,incom,ichimoku,tight,cash,becaus,die,close
iter3_cv_split5,stop,incom,greed,profit,bounc,tight,demon,die,didn,sinc
iter4_cv_split1,stop,incom,let,tight,hour,becaus,bull,die,better,aka
iter4_cv_split2,stop,incom,becaus,tight,ok,die,dimon,profit,rektfest,better
iter4_cv_split3,stop,cash,profit,let,incom,becaus,otherwis,die,bottomtop,endless
iter4_cv_split4,stop,revers,jami,let,becaus,enoughsold,runat,safe,die,foreverif
iter4_cv_split5,stop,incom,bull,let,becaus,tight,dimon,die,welcom,sorri
iter5_cv_split1,stop,let,aka,incom,becaus,tight,profit,sleep,good,die
iter5_cv_split2,stop,incom,tight,die,let,bull,otherwis,greed,jami,decid
iter5_cv_split3,stop,shill,profit,becaus,incom,die,fill,foreverif,tight,resist
iter5_cv_split4,stop,greed,let,incom,profit,aka,tight,die,sleep,day
iter5_cv_split5,stop,let,profit,incom,die,cash,sleep,sinc,like,greed
iter6_cv_split1,stop,let,profit,incom,tight,greed,aka,better,die,foreverif
iter6_cv_split2,stop,incom,becaus,die,tight,profit,didn,fill,cash,rektfest
iter6_cv_split3,stop,let,incom,profit,becaus,bitcoin,tight,cash,min,target
iter6_cv_split4,stop,profit,let,tight,die,dimon,incom,better,greed,cloud
iter6_cv_split5,stop,let,incom,becaus,cash,direct,die,cloud,bull,sold
iter7_cv_split1,stop,profit,incom,die,tight,cash,greed,let,like,rektfest
iter7_cv_split2,stop,let,incom,dimon,tight,profit,fall,short,sleep,lyf
iter7_cv_split3,stop,shill,let,die,profit,tight,min,incom,greed,tho
iter7_cv_split4,stop,incom,greed,die,profit,let,sorri,shill,rektfest,chart
iter7_cv_split5,stop,profit,let,incom,shill,greed,tight,die,didn,cloud
iter8_cv_split1,stop,profit,shill,incom,let,foreverif,sorri,clouddont,becaus,die
iter8_cv_split2,stop,cash,profit,incom,let,tight,ichimoku,greed,die,rektfest
iter8_cv_split3,stop,incom,tight,greed,die,dimon,let,bull,min,rektfest
iter8_cv_split4,stop,becaus,incom,cash,let,profit,die,tight,otherwis,fail
