,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,abov,philip,place,play,pls,potenti,pow,pray,prepar,price
iter1_cv_split2,abov,monthcryptopia,moon,need,new,ofc,ok,order,parabol,pick
iter1_cv_split3,abov,ofc,ok,order,otherwis,parabol,philip,place,pls,potenti
iter1_cv_split4,abov,ok,order,otherwis,parabol,philip,pick,place,play,pls
iter1_cv_split5,abov,monthcryptopia,moon,need,new,ofc,order,parabol,philip,pick
iter2_cv_split1,abov,moon,need,new,ofc,ok,order,otherwis,philip,pick
iter2_cv_split2,abov,need,new,ofc,ok,order,otherwis,parabol,philip,pick
iter2_cv_split3,abov,parabol,philip,pick,place,pls,potenti,pow,predict,prepar
iter2_cv_split4,abov,ofc,ok,order,otherwis,parabol,pick,play,pls,potenti
iter2_cv_split5,abov,need,new,ofc,ok,order,otherwis,parabol,philip,place
iter3_cv_split1,abov,need,new,ofc,ok,order,otherwis,parabol,philip,pick
iter3_cv_split2,abov,ofc,ok,order,otherwis,parabol,philip,pick,place,play
iter3_cv_split3,abov,ofc,ok,order,parabol,pick,place,play,pls,potenti
iter3_cv_split4,abov,new,ofc,ok,order,otherwis,philip,place,play,pls
iter3_cv_split5,abov,need,new,ofc,ok,order,otherwis,parabol,philip,pick
iter4_cv_split1,abov,need,new,ofc,ok,order,otherwis,parabol,philip,pick
iter4_cv_split2,abov,otherwis,philip,pick,place,play,pow,pray,predict,prepar
iter4_cv_split3,abov,monthcryptopia,moon,need,new,ofc,ok,order,parabol,place
iter4_cv_split4,abov,ofc,ok,order,otherwis,parabol,philip,pick,place,play
iter4_cv_split5,abov,new,ofc,ok,order,otherwis,parabol,philip,pick,play
iter5_cv_split1,abov,ok,order,otherwis,parabol,philip,pick,place,pls,potenti
iter5_cv_split2,abov,need,new,ofc,ok,order,parabol,pick,play,pls
iter5_cv_split3,abov,ok,order,otherwis,philip,pick,place,play,pray,predict
iter5_cv_split4,abov,ofc,ok,order,otherwis,parabol,philip,place,play,pls
iter5_cv_split5,abov,meaningless,min,miss,mode,monthcryptopia,need,new,ofc,ok
iter6_cv_split1,abov,mode,monthcryptopia,need,new,ofc,ok,order,otherwis,parabol
iter6_cv_split2,abov,new,ofc,ok,order,otherwis,philip,pick,place,play
iter6_cv_split3,abov,ofc,ok,order,otherwis,parabol,philip,pick,place,pls
iter6_cv_split4,abov,monthcryptopia,moon,need,new,ofc,ok,order,otherwis,parabol
iter6_cv_split5,abov,philip,place,play,pls,potenti,pray,predict,prepar,price
iter7_cv_split1,abov,ok,order,otherwis,parabol,philip,pick,place,pls,potenti
iter7_cv_split2,abov,need,new,ofc,ok,order,otherwis,parabol,philip,place
iter7_cv_split3,abov,meaningless,miss,mode,monthcryptopia,moon,need,new,ofc,ok
iter7_cv_split4,abov,order,otherwis,parabol,philip,pick,play,potenti,pow,pray
iter7_cv_split5,abov,moon,need,new,ofc,ok,order,otherwis,philip,pick
iter8_cv_split1,abov,new,ofc,ok,order,otherwis,parabol,philip,pick,place
iter8_cv_split2,abov,ok,order,otherwis,parabol,philip,pick,place,play,pls
iter8_cv_split3,abov,mode,monthcryptopia,moon,need,new,ofc,ok,order,otherwis
iter8_cv_split4,abov,ok,order,philip,pick,play,pls,potenti,pow,pray
iter8_cv_split5,abov,ofc,ok,order,otherwis,parabol,philip,place,pls,potenti
iter9_cv_split1,abov,need,new,ofc,ok,order,otherwis,parabol,philip,play
iter9_cv_split2,abov,moon,need,new,ofc,ok,order,otherwis,parabol,philip
iter9_cv_split3,abov,otherwis,parabol,pick,place,play,potenti,pray,predict,prepar
iter9_cv_split4,abov,ofc,ok,order,otherwis,philip,pick,place,play,pls
iter9_cv_split5,abov,moon,need,new,ofc,ok,order,otherwis,parabol,philip
iter10_cv_split1,abov,need,new,ofc,ok,order,otherwis,parabol,philip,pick
iter10_cv_split2,abov,new,ofc,ok,order,otherwis,philip,pick,place,play
iter10_cv_split3,abov,philip,play,pls,potenti,pray,predict,prepar,price,project
iter10_cv_split4,abov,mode,monthcryptopia,moon,need,new,ofc,ok,order,otherwis
iter10_cv_split5,abov,new,ofc,ok,order,otherwis,parabol,philip,pick,place
iter11_cv_split1,abov,mode,monthcryptopia,moon,need,new,ofc,ok,order,parabol
iter11_cv_split2,abov,new,ofc,ok,order,otherwis,parabol,pick,place,play
iter11_cv_split3,abov,ofc,ok,order,otherwis,parabol,philip,pick,place,play
iter11_cv_split4,abov,need,new,ofc,ok,order,otherwis,philip,pick,place
iter11_cv_split5,abov,otherwis,parabol,philip,play,pls,potenti,pow,pray,predict
iter12_cv_split1,abov,monthcryptopia,moon,need,new,ofc,ok,order,otherwis,parabol
iter12_cv_split2,abov,monthcryptopia,moon,need,new,ofc,ok,order,philip,pick
iter12_cv_split3,abov,otherwis,parabol,philip,pick,place,play,pls,potenti,pow
iter12_cv_split4,abov,ofc,ok,order,parabol,philip,place,play,potenti,pow
iter12_cv_split5,abov,need,new,ofc,ok,order,otherwis,parabol,philip,pick
iter13_cv_split1,abov,miss,mode,monthcryptopia,moon,need,new,ofc,ok,order
iter13_cv_split2,abov,order,parabol,pick,place,play,pls,potenti,pray,predict
iter13_cv_split3,abov,monthcryptopia,moon,need,new,ofc,ok,order,otherwis,philip
iter13_cv_split4,abov,new,ofc,ok,order,otherwis,parabol,philip,pick,place
iter13_cv_split5,abov,order,otherwis,parabol,philip,pick,place,pls,potenti,pow
iter14_cv_split1,abov,need,new,ofc,ok,order,parabol,philip,pick,place
iter14_cv_split2,abov,miss,mode,monthcryptopia,moon,need,new,ofc,ok,order
iter14_cv_split3,abov,otherwis,parabol,philip,pick,pls,potenti,pray,predict,prepar
iter14_cv_split4,abov,ok,order,otherwis,parabol,philip,place,play,pls,pow
iter14_cv_split5,abov,monthcryptopia,moon,need,new,ofc,ok,order,otherwis,parabol
iter15_cv_split1,abov,ok,order,otherwis,parabol,philip,pick,place,pls,potenti
iter15_cv_split2,abov,ok,order,otherwis,parabol,philip,pick,place,play,pls
iter15_cv_split3,abov,monthcryptopia,moon,need,new,ofc,ok,order,otherwis,parabol
iter15_cv_split4,abov,order,otherwis,parabol,philip,place,play,pls,potenti,pow
iter15_cv_split5,abov,new,ofc,ok,order,otherwis,pick,place,play,pls
iter16_cv_split1,abov,ofc,ok,order,parabol,philip,pick,place,pls,potenti
iter16_cv_split2,abov,need,new,ofc,ok,order,otherwis,parabol,pick,place
iter16_cv_split3,abov,need,new,ofc,ok,order,otherwis,parabol,philip,place
iter16_cv_split4,abov,ok,order,otherwis,parabol,philip,pick,place,play,pls
iter16_cv_split5,abov,monthcryptopia,moon,need,new,ofc,ok,order,otherwis,philip
iter17_cv_split1,abov,ok,order,otherwis,parabol,philip,pick,place,play,pow
iter17_cv_split2,abov,ok,order,otherwis,parabol,pick,pls,potenti,pow,predict
iter17_cv_split3,abov,ofc,ok,order,otherwis,parabol,philip,pick,place,play
