,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,retrac,masternod,bought,bullish,amp,tight,definit,line,look,day
iter1_cv_split2,level,retrac,usd,tight,bought,break,bullish,itbuy,look,hate
iter1_cv_split3,level,usd,masternod,amp,line,bought,bullish,definit,break,hold
iter1_cv_split4,retrac,level,usd,definit,line,break,support,look,bought,bottomtop
iter1_cv_split5,level,retrac,usd,masternod,break,amp,tight,definit,hold,bottomtop
iter2_cv_split1,masternod,retrac,usd,tight,bought,amp,bullish,support,look,time
iter2_cv_split2,level,retrac,masternod,line,break,tight,amp,definit,support,look
iter2_cv_split3,bought,level,usd,retrac,break,line,bullish,look,bottomtop,tight
iter2_cv_split4,level,retrac,usd,break,tight,definit,amp,itbuy,look,hate
iter2_cv_split5,level,usd,masternod,bought,bullish,definit,amp,line,support,day
iter3_cv_split1,retrac,break,line,look,day,bought,befor,itbuy,hate,tight
iter3_cv_split2,bought,level,masternod,retrac,usd,line,definit,bullish,amp,tight
iter3_cv_split3,level,usd,masternod,bullish,line,break,amp,tight,bought,support
iter3_cv_split4,level,bought,usd,retrac,masternod,break,amp,bullish,definit,support
iter3_cv_split5,level,tight,retrac,usd,break,definit,bullish,bought,look,bottomtop
iter4_cv_split1,masternod,retrac,level,usd,definit,break,hold,amp,look,tight
iter4_cv_split2,bought,level,usd,masternod,line,break,tight,definit,look,day
iter4_cv_split3,level,retrac,usd,bought,bullish,tight,definit,bottomtop,look,itbuy
iter4_cv_split4,masternod,retrac,usd,bought,break,tight,bullish,amp,support,look
iter4_cv_split5,level,bought,retrac,masternod,bullish,amp,break,line,support,hold
iter5_cv_split1,level,masternod,break,definit,amp,tight,hold,befor,look,itbuy
iter5_cv_split2,break,level,retrac,masternod,usd,line,bullish,definit,bought,support
iter5_cv_split3,level,usd,retrac,bought,bullish,tight,support,itbuy,hate,bottomtop
iter5_cv_split4,masternod,retrac,usd,bought,amp,bullish,line,break,support,chart
iter5_cv_split5,bought,level,retrac,usd,masternod,line,tight,definit,break,day
iter6_cv_split1,break,level,retrac,bullish,bought,tight,line,itbuy,look,hate
iter6_cv_split2,retrac,usd,masternod,bought,amp,tight,definit,support,look,hold
iter6_cv_split3,level,retrac,usd,masternod,break,bullish,befor,chart,shitcoin,daili
iter6_cv_split4,level,usd,bought,masternod,definit,line,bullish,amp,tight,break
iter6_cv_split5,level,masternod,retrac,usd,tight,bought,break,line,amp,definit
iter7_cv_split1,bought,retrac,usd,masternod,amp,bullish,definit,break,support,day
iter7_cv_split2,level,usd,retrac,break,definit,bullish,line,itbuy,bottomtop,look
iter7_cv_split3,level,masternod,usd,retrac,bought,bullish,tight,line,amp,support
iter7_cv_split4,level,usd,masternod,amp,tight,definit,break,hold,day,bottomtop
iter7_cv_split5,bought,level,retrac,break,masternod,line,tight,definit,look,itbuy
iter8_cv_split1,level,retrac,usd,break,tight,bought,line,amp,day,itbuy
iter8_cv_split2,level,retrac,usd,definit,bullish,tight,bought,support,amp,look
iter8_cv_split3,level,masternod,retrac,usd,bought,break,bullish,tight,line,amp
iter8_cv_split4,bought,usd,masternod,break,bullish,definit,line,support,chart,befor
iter8_cv_split5,level,retrac,break,masternod,bullish,hold,amp,hate,itbuy,tight
iter9_cv_split1,bought,break,retrac,usd,masternod,amp,tight,line,look,hold
iter9_cv_split2,level,retrac,masternod,line,tight,bullish,amp,support,break,day
iter9_cv_split3,level,usd,bullish,break,bought,tight,line,definit,amp,day
iter9_cv_split4,level,usd,retrac,masternod,amp,tight,definit,hold,itbuy,bottomtop
iter9_cv_split5,level,retrac,usd,break,bought,bullish,definit,line,support,chart
iter10_cv_split1,level,usd,retrac,tight,break,bullish,bought,definit,support,look
iter10_cv_split2,level,usd,retrac,break,definit,tight,amp,bought,itbuy,bottomtop
iter10_cv_split3,level,usd,masternod,break,line,bullish,definit,amp,tight,bought
