,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,level,bought,line,befor,support,bullish,masternod,chart,retrac,fomo
iter1_cv_split2,bought,level,line,look,support,bullish,befor,break,masternod,fomo
iter1_cv_split3,amp,target,level,look,tight,chart,everi,bought,daili,breakout
iter1_cv_split4,bought,level,befor,amp,target,bullish,tight,chart,support,look
iter1_cv_split5,level,bought,befor,line,target,bullish,look,tight,masternod,retrac
iter2_cv_split1,level,bought,line,amp,support,befor,look,masternod,tight,retrac
iter2_cv_split2,bought,level,befor,target,tight,chart,line,look,retrac,amp
iter2_cv_split3,level,bought,target,amp,bullish,tight,fomo,retrac,look,masternod
iter2_cv_split4,level,support,look,befor,bullish,target,masternod,amp,shitcoin,daili
iter2_cv_split5,bought,level,befor,line,support,bullish,target,chart,masternod,retrac
iter3_cv_split1,level,bought,line,target,look,bullish,tight,chart,masternod,break
iter3_cv_split2,level,bought,befor,chart,time,amp,support,day,line,retrac
iter3_cv_split3,bought,level,line,amp,support,bullish,look,target,tight,everi
iter3_cv_split4,level,befor,amp,bullish,look,bought,fomo,tight,masternod,shitcoin
iter3_cv_split5,bought,befor,target,line,tight,support,chart,retrac,level,everi
iter4_cv_split1,bought,level,amp,target,chart,befor,tight,support,masternod,everi
iter4_cv_split2,bought,level,befor,line,support,bullish,look,retrac,fomo,masternod
iter4_cv_split3,level,bought,line,chart,support,amp,retrac,break,fomo,day
iter4_cv_split4,level,look,target,bullish,chart,befor,masternod,bought,amp,daili
iter4_cv_split5,level,bought,befor,line,amp,target,bullish,look,chart,tight
iter5_cv_split1,bought,level,befor,target,look,bullish,tight,chart,retrac,everi
iter5_cv_split2,level,bought,befor,line,amp,support,chart,masternod,tight,day
iter5_cv_split3,level,support,amp,line,bought,bullish,look,target,break,tight
iter5_cv_split4,level,bought,line,daili,look,support,bullish,befor,masternod,break
iter5_cv_split5,level,befor,bought,bullish,amp,target,masternod,retrac,fomo,chart
iter6_cv_split1,bought,level,daili,look,befor,bullish,target,chart,tight,line
iter6_cv_split2,level,bought,befor,break,line,day,support,retrac,amp,everi
iter6_cv_split3,level,target,bullish,befor,bought,tight,amp,chart,retrac,masternod
iter6_cv_split4,bought,level,befor,line,amp,look,chart,tight,support,target
iter6_cv_split5,level,bought,line,support,amp,bullish,look,target,tight,retrac
iter7_cv_split1,level,bought,befor,line,support,target,chart,masternod,tight,retrac
iter7_cv_split2,befor,bought,level,look,target,support,bullish,chart,fomo,shitcoin
iter7_cv_split3,bought,level,amp,bullish,line,support,everi,shitcoin,day,alt
iter7_cv_split4,level,line,bought,amp,look,bullish,befor,tight,break,masternod
iter7_cv_split5,level,bought,target,look,bullish,tight,befor,chart,retrac,fomo
iter8_cv_split1,level,bought,amp,line,bullish,support,target,masternod,fomo,shitcoin
iter8_cv_split2,level,befor,daili,look,bullish,masternod,retrac,amp,shitcoin,day
iter8_cv_split3,level,bought,look,chart,tight,support,line,retrac,fomo,target
iter8_cv_split4,bought,befor,break,target,support,bullish,chart,tight,everi,masternod
iter8_cv_split5,level,bought,befor,line,amp,look,tight,target,retrac,everi
iter9_cv_split1,bought,level,amp,line,bullish,look,chart,tight,day,target
iter9_cv_split2,support,time,line,befor,level,bought,look,masternod,everi,target
iter9_cv_split3,level,bought,befor,line,support,bullish,tight,masternod,look,chart
iter9_cv_split4,level,bought,befor,amp,target,chart,retrac,line,masternod,breakout
iter9_cv_split5,level,bought,target,amp,bullish,look,tight,fomo,befor,retrac
iter10_cv_split1,level,bought,time,befor,chart,line,masternod,day,target,retrac
iter10_cv_split2,level,bought,befor,target,line,amp,bullish,support,tight,masternod
iter10_cv_split3,level,bought,support,daili,bullish,target,tight,look,amp,retrac
iter10_cv_split4,befor,line,target,look,support,bought,level,chart,retrac,everi
iter10_cv_split5,level,bought,amp,look,bullish,befor,tight,masternod,sat,shitcoin
iter11_cv_split1,level,bought,befor,line,support,target,bullish,chart,tight,masternod
iter11_cv_split2,level,bought,befor,bullish,target,line,retrac,everi,break,amp
iter11_cv_split3,level,bought,time,amp,line,befor,look,bullish,tight,target
iter11_cv_split4,level,bought,amp,befor,target,look,tight,chart,day,masternod
iter11_cv_split5,level,bought,line,support,tight,bullish,daili,look,break,masternod
iter12_cv_split1,line,look,support,bullish,befor,chart,target,masternod,amp,bought
iter12_cv_split2,level,bought,support,line,look,befor,chart,tight,masternod,shitcoin
iter12_cv_split3,level,bought,amp,target,bullish,look,befor,chart,tight,masternod
iter12_cv_split4,bought,level,befor,line,target,support,retrac,masternod,amp,everi
iter12_cv_split5,level,bought,befor,bullish,amp,look,tight,retrac,line,target
