,full_test_accs,full_test_aucs,full_test_fns,full_test_fps,full_test_null_accs,full_test_tns,full_test_tps,full_train_accs,full_train_aucs,full_train_fns,full_train_fps,full_train_null_accs,full_train_tns,full_train_tps
iter1_cv_split1,0.95,0.99,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter1_cv_split2,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter1_cv_split3,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter1_cv_split4,0.9,0.9,0,2,0.5,8,10,1.0,1.0,0,0,0.5,39,39
iter1_cv_split5,1.0,1.0,0,0,0.5,9,9,1.0,1.0,0,0,0.5,40,40
iter2_cv_split1,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter2_cv_split2,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter2_cv_split3,0.95,0.99,0,1,0.5,9,10,1.0,1.0,0,0,0.5,39,39
iter2_cv_split4,1.0,1.0,0,0,0.5,10,10,1.0,0.9999999999999999,0,0,0.5,39,39
iter2_cv_split5,0.8888888888888888,0.8765432098765432,1,1,0.5,8,8,1.0,1.0,0,0,0.5,40,40
iter3_cv_split1,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter3_cv_split2,0.8,0.68,1,3,0.5,7,9,1.0,1.0,0,0,0.5,39,39
iter3_cv_split3,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter3_cv_split4,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter3_cv_split5,0.9444444444444444,1.0,0,1,0.5,8,9,1.0,1.0,0,0,0.5,40,40
iter4_cv_split1,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter4_cv_split2,0.95,1.0,1,0,0.5,10,9,1.0,0.9999999999999999,0,0,0.5,39,39
iter4_cv_split3,0.9,0.96,1,1,0.5,9,9,1.0,1.0,0,0,0.5,39,39
iter4_cv_split4,0.95,0.91,0,1,0.5,9,10,1.0,1.0,0,0,0.5,39,39
iter4_cv_split5,1.0,1.0,0,0,0.5,9,9,1.0,1.0,0,0,0.5,40,40
iter5_cv_split1,0.95,1.0,0,1,0.5,9,10,1.0,1.0,0,0,0.5,39,39
iter5_cv_split2,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter5_cv_split3,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter5_cv_split4,0.95,0.9,0,1,0.5,9,10,1.0,1.0,0,0,0.5,39,39
iter5_cv_split5,0.9444444444444444,0.9753086419753086,1,0,0.5,9,8,1.0,1.0,0,0,0.5,40,40
iter6_cv_split1,0.95,0.91,0,1,0.5,9,10,1.0,1.0,0,0,0.5,39,39
iter6_cv_split2,0.95,0.96,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter6_cv_split3,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter6_cv_split4,0.95,1.0,0,1,0.5,9,10,1.0,1.0,0,0,0.5,39,39
iter6_cv_split5,1.0,1.0,0,0,0.5,9,9,1.0,1.0,0,0,0.5,40,40
iter7_cv_split1,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter7_cv_split2,0.95,0.99,0,1,0.5,9,10,1.0,1.0,0,0,0.5,39,39
iter7_cv_split3,0.95,0.98,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter7_cv_split4,0.95,0.9299999999999999,0,1,0.5,9,10,1.0,1.0,0,0,0.5,39,39
iter7_cv_split5,0.8333333333333334,1.0,0,3,0.5,6,9,1.0,1.0,0,0,0.5,40,40
iter8_cv_split1,0.9,0.9500000000000001,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter8_cv_split2,0.95,0.9,0,1,0.5,9,10,1.0,1.0,0,0,0.5,39,39
iter8_cv_split3,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter8_cv_split4,0.85,0.9800000000000001,2,1,0.5,9,8,1.0,1.0,0,0,0.5,39,39
iter8_cv_split5,1.0,1.0,0,0,0.5,9,9,1.0,1.0,0,0,0.5,40,40
iter9_cv_split1,1.0,1.0,0,0,0.5,10,10,1.0,0.9999999999999999,0,0,0.5,39,39
iter9_cv_split2,0.8,0.6799999999999999,0,4,0.5,6,10,1.0,1.0,0,0,0.5,39,39
iter9_cv_split3,0.95,0.9,0,1,0.5,9,10,1.0,1.0,0,0,0.5,39,39
iter9_cv_split4,0.9,0.92,1,1,0.5,9,9,1.0,1.0,0,0,0.5,39,39
iter9_cv_split5,1.0,1.0,0,0,0.5,9,9,1.0,1.0,0,0,0.5,40,40
iter10_cv_split1,0.85,0.7999999999999999,1,2,0.5,8,9,1.0,1.0,0,0,0.5,39,39
iter10_cv_split2,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter10_cv_split3,0.95,0.9,0,1,0.5,9,10,1.0,1.0,0,0,0.5,39,39
iter10_cv_split4,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter10_cv_split5,1.0,1.0,0,0,0.5,9,9,1.0,1.0,0,0,0.5,40,40
iter11_cv_split1,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter11_cv_split2,0.9,0.96,1,1,0.5,9,9,1.0,1.0,0,0,0.5,39,39
iter11_cv_split3,0.9,0.84,0,2,0.5,8,10,1.0,1.0,0,0,0.5,39,39
iter11_cv_split4,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter11_cv_split5,0.9444444444444444,0.9259259259259259,0,1,0.5,8,9,1.0,1.0,0,0,0.5,40,40
iter12_cv_split1,0.95,0.91,0,1,0.5,9,10,1.0,1.0,0,0,0.5,39,39
iter12_cv_split2,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter12_cv_split3,1.0,1.0,0,0,0.5,10,10,1.0,0.9999999999999999,0,0,0.5,39,39
iter12_cv_split4,0.95,0.93,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter12_cv_split5,0.9444444444444444,1.0,1,0,0.5,9,8,1.0,1.0,0,0,0.5,40,40
iter13_cv_split1,0.85,1.0,3,0,0.5,10,7,1.0,1.0,0,0,0.5,39,39
iter13_cv_split2,0.85,0.73,0,3,0.5,7,10,1.0,1.0,0,0,0.5,39,39
iter13_cv_split3,0.95,0.92,0,1,0.5,9,10,1.0,1.0,0,0,0.5,39,39
iter13_cv_split4,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter13_cv_split5,0.9444444444444444,0.9259259259259259,1,0,0.5,9,8,1.0,1.0,0,0,0.5,40,40
