,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,level,daili,target,stoch,bought,rsi,abov,profit,coin,chart
iter1_cv_split2,level,coin,stoch,daili,rsi,befor,bought,time,start,good
iter1_cv_split3,level,bought,daili,coin,wait,amp,good,start,befor,day
iter1_cv_split4,befor,level,bought,start,amp,target,coin,wait,stoch,daili
iter1_cv_split5,level,rsi,stoch,amp,befor,coin,alt,target,good,masternod
iter2_cv_split1,daili,rsi,stoch,good,abov,look,support,bought,chart,fall
iter2_cv_split2,level,daili,coin,wait,amp,stoch,start,good,rsi,bought
iter2_cv_split3,level,befor,daili,time,coin,amp,rsi,good,stoch,look
iter2_cv_split4,level,coin,bought,rsi,befor,amp,stoch,fomo,break,breakout
iter2_cv_split5,level,bought,befor,target,start,stoch,rsi,wait,coin,daili
iter3_cv_split1,coin,level,befor,time,target,daili,amp,stoch,rsi,good
iter3_cv_split2,level,stoch,rsi,wait,amp,coin,bought,daili,befor,sat
iter3_cv_split3,level,befor,bought,wait,start,entri,masternod,breakout,fomo,target
iter3_cv_split4,level,daili,bought,amp,time,line,break,fomo,stoch,coin
iter3_cv_split5,level,stoch,coin,rsi,befor,good,bought,daili,abov,entri
iter4_cv_split1,level,bought,befor,target,coin,daili,entri,breakout,break,order
iter4_cv_split2,level,time,target,daili,profit,bought,masternod,chart,order,befor
iter4_cv_split3,level,daili,stoch,rsi,wait,bought,amp,befor,start,break
iter4_cv_split4,level,rsi,coin,stoch,wait,good,amp,entri,line,look
iter4_cv_split5,level,coin,bought,befor,daili,stoch,rsi,good,start,amp
iter5_cv_split1,daili,coin,stoch,bought,rsi,befor,amp,level,wait,good
iter5_cv_split2,level,coin,bought,amp,time,wait,rsi,stoch,start,daili
iter5_cv_split3,level,bought,befor,daili,rsi,good,stoch,coin,entri,everi
iter5_cv_split4,level,befor,rsi,time,target,stoch,everi,order,chart,bought
iter5_cv_split5,level,rsi,stoch,wait,daili,bought,amp,good,masternod,look
iter6_cv_split1,rsi,coin,stoch,daili,level,befor,bought,target,amp,good
iter6_cv_split2,level,coin,start,wait,time,stoch,bought,amp,rsi,daili
iter6_cv_split3,befor,bought,level,start,wait,abov,breakout,break,coin,daili
iter6_cv_split4,daili,stoch,rsi,level,befor,coin,good,order,day,entri
iter6_cv_split5,level,bought,rsi,stoch,befor,start,good,amp,daili,fall
iter7_cv_split1,level,daili,coin,rsi,stoch,good,abov,fib,bought,day
iter7_cv_split2,level,bought,target,rsi,amp,befor,daili,stoch,chart,break
iter7_cv_split3,level,daili,bought,time,target,stoch,rsi,fib,masternod,fomo
iter7_cv_split4,level,befor,bought,coin,stoch,rsi,start,amp,target,time
iter7_cv_split5,coin,befor,start,good,time,daili,alt,level,line,bought
iter8_cv_split1,level,coin,daili,stoch,amp,wait,rsi,bought,time,good
iter8_cv_split2,bought,befor,rsi,level,target,daili,stoch,masternod,order,fall
iter8_cv_split3,level,time,target,daili,bought,start,abov,befor,good,fomo
iter8_cv_split4,level,stoch,rsi,befor,coin,good,time,target,start,amp
iter8_cv_split5,level,coin,amp,befor,rsi,stoch,good,daili,wait,break
iter9_cv_split1,level,time,start,bought,amp,stoch,wait,good,rsi,befor
iter9_cv_split2,level,coin,stoch,rsi,daili,befor,target,bought,wait,fib
iter9_cv_split3,bought,coin,daili,rsi,level,befor,stoch,day,wait,order
iter9_cv_split4,daili,rsi,level,stoch,befor,good,coin,time,target,amp
iter9_cv_split5,befor,level,bought,good,coin,start,daili,profit,line,look
iter10_cv_split1,coin,bought,level,time,amp,daili,fall,wait,rsi,stoch
iter10_cv_split2,level,daili,good,amp,rsi,bought,stoch,start,coin,befor
iter10_cv_split3,bought,level,befor,stoch,daili,amp,target,rsi,start,line
iter10_cv_split4,level,stoch,befor,rsi,coin,wait,daili,target,fomo,masternod
iter10_cv_split5,level,befor,stoch,rsi,coin,bought,daili,good,day,fomo
iter11_cv_split1,coin,level,daili,time,good,abov,target,stoch,bought,start
iter11_cv_split2,level,bought,befor,daili,rsi,time,target,stoch,break,breakout
iter11_cv_split3,level,daili,bought,rsi,wait,amp,stoch,start,line,look
iter11_cv_split4,befor,level,bought,stoch,rsi,coin,good,fall,line,support
iter11_cv_split5,level,coin,befor,stoch,rsi,daili,amp,target,good,fib
iter12_cv_split1,level,stoch,rsi,good,befor,amp,coin,daili,fib,fall
iter12_cv_split2,bought,amp,daili,good,level,target,time,alt,wait,support
iter12_cv_split3,level,bought,coin,stoch,rsi,good,daili,befor,wait,masternod
iter12_cv_split4,level,bought,coin,befor,daili,rsi,amp,stoch,wait,breakout
iter12_cv_split5,level,rsi,befor,stoch,bought,time,target,daili,start,fall
iter13_cv_split1,level,coin,amp,good,wait,day,bought,order,fib,daili
iter13_cv_split2,level,bought,wait,coin,stoch,start,rsi,abov,order,daili
iter13_cv_split3,level,befor,bought,target,rsi,stoch,daili,amp,good,coin
iter13_cv_split4,level,befor,daili,stoch,coin,rsi,bought,fall,target,breakout
iter13_cv_split5,stoch,daili,befor,level,rsi,start,target,bought,good,line
iter14_cv_split1,level,befor,bought,rsi,stoch,daili,target,line,entri,breakout
iter14_cv_split2,bought,level,daili,time,target,amp,start,good,coin,befor
iter14_cv_split3,level,stoch,rsi,coin,daili,good,befor,start,everi,day
iter14_cv_split4,level,bought,stoch,time,wait,amp,rsi,good,daili,coin
iter14_cv_split5,level,befor,daili,wait,time,coin,stoch,rsi,sat,bought
iter15_cv_split1,befor,time,coin,daili,level,break,masternod,bought,chart,stoch
iter15_cv_split2,level,coin,daili,time,target,amp,stoch,start,good,rsi
iter15_cv_split3,level,bought,befor,coin,amp,daili,abov,time,everi,entri
iter15_cv_split4,rsi,bought,befor,stoch,coin,wait,good,level,daili,masternod
iter15_cv_split5,level,rsi,stoch,amp,good,daili,fib,look,fall,time
