,full_test_accs,full_test_aucs,full_test_fns,full_test_fps,full_test_null_accs,full_test_tns,full_test_tps,full_train_accs,full_train_aucs,full_train_fns,full_train_fps,full_train_null_accs,full_train_tns,full_train_tps
iter1_cv_split1,0.75,0.8,2,3,0.5,7,8,1.0,1.0,0,0,0.5,39,39
iter1_cv_split2,0.85,0.98,3,0,0.5,10,7,1.0,1.0,0,0,0.5,39,39
iter1_cv_split3,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter1_cv_split4,0.9,0.9800000000000001,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter1_cv_split5,0.9444444444444444,1.0,1,0,0.5,9,8,1.0,1.0,0,0,0.5,40,40
iter2_cv_split1,0.9,1.0,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter2_cv_split2,0.9,0.9199999999999999,1,1,0.5,9,9,1.0,1.0,0,0,0.5,39,39
iter2_cv_split3,0.85,1.0,3,0,0.5,10,7,1.0,1.0,0,0,0.5,39,39
iter2_cv_split4,0.8,0.8400000000000001,2,2,0.5,8,8,1.0,1.0,0,0,0.5,39,39
iter2_cv_split5,0.8888888888888888,1.0,2,0,0.5,9,7,1.0,1.0,0,0,0.5,40,40
iter3_cv_split1,0.95,0.98,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter3_cv_split2,0.9,0.98,2,0,0.5,10,8,1.0,0.9999999999999999,0,0,0.5,39,39
iter3_cv_split3,0.9,1.0,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter3_cv_split4,0.8,0.88,2,2,0.5,8,8,1.0,1.0,0,0,0.5,39,39
iter3_cv_split5,0.8333333333333334,0.8888888888888888,2,1,0.5,8,7,0.9875,1.0,1,0,0.5,40,39
iter4_cv_split1,0.85,0.86,1,2,0.5,8,9,1.0,1.0,0,0,0.5,39,39
iter4_cv_split2,0.8,0.89,2,2,0.5,8,8,1.0,1.0,0,0,0.5,39,39
iter4_cv_split3,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
