,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,start,bull,uptrend,starting,high,buy,perspective,levels,instabuy,ltc
iter1_cv_split2,riding,uptrend,start,buy,perspective,trigger,bull,instabuy,starting,ltc
iter1_cv_split3,riding,volume,break,buy,trigger,starting,projected,taking,pattern,high
iter1_cv_split4,reversal,buy,starting,calling,taking,looking,ltc,riding,usd,saying
iter1_cv_split5,riding,markets,perspective,buy,starting,high,bull,reversal,looking,trigger
iter2_cv_split1,reversal,perspective,pattern,ready,buy,riding,starting,looking,anticipation,usd
iter2_cv_split2,riding,start,uptrend,bull,projected,high,buy,trigger,starting,candle
iter2_cv_split3,riding,start,uptrend,bull,perspective,buy,starting,looking,taking,reversal
iter2_cv_split4,uptrend,start,buy,starting,bull,high,trigger,breakout,ltc,instabuy
iter2_cv_split5,riding,start,uptrend,markets,buy,bull,perspective,high,trigger,starting
iter3_cv_split1,riding,start,uptrend,buy,starting,perspective,volume,trigger,instabuy,taking
iter3_cv_split2,bull,start,high,buy,ready,starting,projected,uptrend,break,selloff
iter3_cv_split3,riding,start,bull,high,uptrend,buy,breakout,perspective,starting,trigger
iter3_cv_split4,riding,buy,bull,pattern,markets,starting,high,perspective,projected,ltc
iter3_cv_split5,reversal,starting,calling,buy,ready,retested,ltc,instabuy,major,start
iter4_cv_split1,riding,start,bull,high,uptrend,trigger,buy,perspective,starting,ready
iter4_cv_split2,reversal,high,buy,trigger,starting,triggered,candle,markets,saying,taking
iter4_cv_split3,riding,uptrend,start,bull,starting,high,calling,buy,trigger,probably
iter4_cv_split4,pattern,riding,perspective,buy,starting,ltc,volume,breakout,usd,markets
iter4_cv_split5,riding,start,uptrend,bull,buy,starting,taking,ready,trigger,saying
iter5_cv_split1,riding,start,high,markets,starting,uptrend,buy,trigger,calling,ready
iter5_cv_split2,riding,start,uptrend,buy,perspective,bull,starting,taking,breakout,calling
iter5_cv_split3,bull,riding,uptrend,start,soon,buy,projected,high,starting,trigger
iter5_cv_split4,reversal,pattern,high,trigger,perspective,ready,buy,candle,riding,looking
iter5_cv_split5,start,volume,bull,starting,buy,uptrend,taking,trigger,instabuy,ltc
iter6_cv_split1,riding,start,uptrend,bull,buy,breakout,ready,taking,markets,break
iter6_cv_split2,trigger,reversal,perspective,buy,starting,pattern,taking,riding,saying,calling
iter6_cv_split3,starting,bull,buy,instabuy,ltc,perspective,trigger,hour,high,soon
iter6_cv_split4,riding,start,high,bull,buy,trigger,uptrend,calling,starting,candle
iter6_cv_split5,riding,start,buy,markets,volume,starting,perspective,uptrend,break,taking
iter7_cv_split1,buy,starting,volume,high,trigger,reversal,markets,instabuy,ltc,riding
iter7_cv_split2,start,uptrend,riding,buy,markets,starting,daily,instabuy,ltc,calling
iter7_cv_split3,riding,start,uptrend,perspective,bull,reversal,calling,triggered,buy,projected
iter7_cv_split4,bull,high,trigger,buy,starting,break,candle,taking,looking,markets
iter7_cv_split5,riding,pattern,perspective,bull,buy,breakout,ready,break,broken,fractals
iter8_cv_split1,pattern,riding,buy,trigger,calling,ready,bull,starting,perspective,high
iter8_cv_split2,start,high,trigger,uptrend,reversal,markets,starting,bull,candle,buy
iter8_cv_split3,riding,buy,starting,start,breakout,perspective,uptrend,instabuy,ltc,trigger
iter8_cv_split4,riding,start,uptrend,buy,bull,starting,soon,calling,perspective,probably
iter8_cv_split5,buy,broken,break,bull,starting,ready,hold,riding,calling,markets
iter9_cv_split1,riding,start,uptrend,bull,buy,starting,taking,reversal,markets,instabuy
iter9_cv_split2,bull,riding,start,buy,perspective,uptrend,trigger,starting,projected,high
iter9_cv_split3,reversal,buy,perspective,high,trigger,looking,pattern,starting,probably,candle
iter9_cv_split4,trigger,high,buy,starting,ready,perspective,breakout,ltc,instabuy,bull
iter9_cv_split5,riding,uptrend,start,buy,starting,taking,ready,instabuy,ltc,markets
iter10_cv_split1,high,buy,starting,trigger,ready,candle,instabuy,ltc,projected,markets
iter10_cv_split2,riding,bull,trigger,perspective,buy,ready,high,looking,markets,start
iter10_cv_split3,riding,start,buy,uptrend,starting,taking,trigger,looking,break,volume
iter10_cv_split4,riding,perspective,starting,buy,soon,bull,reversal,calling,instabuy,ltc
iter10_cv_split5,riding,start,bull,markets,uptrend,starting,high,buy,taking,reversal
iter11_cv_split1,riding,uptrend,start,high,markets,bull,starting,calling,buy,trigger
iter11_cv_split2,riding,bull,perspective,buy,starting,trigger,breakout,ready,instabuy,ltc
iter11_cv_split3,reversal,buy,starting,perspective,soon,markets,ltc,instabuy,come,btc
iter11_cv_split4,riding,high,bull,buy,trigger,candle,taking,projected,starting,usd
