,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,view,preceeding,similiar,potentially,lower,instead,dow,crash,mind,leg
iter1_cv_split2,view,rebound,similiar,preceeding,ain,brutal,stopping,staying,heavens,bought
iter1_cv_split3,brutal,ain,rebound,view,liquidation,dow,making,crash,stopping,points
iter1_cv_split4,brutal,ain,lower,potentially,preceeding,similiar,leg,instead,dow,crash
iter1_cv_split5,ain,brutal,major,view,lower,potentially,preceeding,fractals,similiar,rebound
iter2_cv_split1,leg,lower,rebound,instead,dow,crash,liquidation,potentially,staying,heavens
iter2_cv_split2,view,similiar,preceeding,brutal,ain,stopping,instead,dow,leg,liquidation
iter2_cv_split3,view,lower,similiar,preceeding,brutal,ain,potentially,instead,making,crash
iter2_cv_split4,leg,view,brutal,ain,similiar,preceeding,rebound,points,dow,liquidation
iter2_cv_split5,view,preceeding,similiar,brutal,ain,rebound,channel,potentially,leg,crash
iter3_cv_split1,similiar,preceeding,lower,view,making,ain,brutal,potentially,instead,channel
iter3_cv_split2,brutal,ain,similiar,preceeding,trend,view,liquidation,instead,dow,leg
iter3_cv_split3,view,similiar,preceeding,brutal,ain,rebound,leg,liquidation,crash,staying
iter3_cv_split4,major,view,leg,ain,stopping,brutal,potentially,lower,instead,rebound
iter3_cv_split5,lower,leg,preceeding,similiar,potentially,dow,rebound,crash,points,bought
iter4_cv_split1,view,preceeding,similiar,liquidation,instead,crash,points,dow,leg,mind
iter4_cv_split2,brutal,ain,similiar,preceeding,lower,rebound,potentially,liquidation,instead,leg
iter4_cv_split3,view,similiar,preceeding,lower,rebound,leg,brutal,stopping,ain,potentially
iter4_cv_split4,brutal,ain,lower,rebound,potentially,dow,view,major,making,liquidation
iter4_cv_split5,view,lower,similiar,preceeding,potentially,brutal,ain,dow,making,crash
iter5_cv_split1,view,preceeding,similiar,making,brutal,stopping,ain,leg,rebound,liquidation
iter5_cv_split2,view,lower,preceeding,similiar,ain,brutal,potentially,dow,instead,making
iter5_cv_split3,leg,view,ain,brutal,similiar,preceeding,instead,dow,crash,stopping
iter5_cv_split4,rebound,instead,lower,potentially,liquidation,leg,crash,fork,heavens,staying
iter5_cv_split5,lower,preceeding,similiar,view,brutal,ain,rebound,potentially,liquidation,crash
iter6_cv_split1,view,preceeding,similiar,brutal,ain,potentially,leg,lower,rebound,instead
iter6_cv_split2,brutal,ain,lower,rebound,potentially,dow,crash,staying,heavens,mind
iter6_cv_split3,major,view,instead,similiar,preceeding,fractals,crash,dow,leg,liquidation
iter6_cv_split4,view,preceeding,similiar,potentially,lower,leg,stopping,brutal,ain,crash
iter6_cv_split5,similiar,preceeding,ain,brutal,rebound,view,making,instead,dow,liquidation
iter7_cv_split1,liquidation,brutal,stopping,ain,preceeding,similiar,instead,think,crash,leg
iter7_cv_split2,similiar,preceeding,view,potentially,lower,brutal,ain,making,rebound,leg
iter7_cv_split3,view,preceeding,similiar,lower,potentially,instead,making,dow,heavens,staying
iter7_cv_split4,leg,brutal,ain,dow,rebound,lower,similiar,preceeding,fractals,view
iter7_cv_split5,view,ain,brutal,potentially,leg,instead,rebound,dow,crash,lower
iter8_cv_split1,major,view,brutal,ain,stopping,lower,instead,potentially,liquidation,heavens
iter8_cv_split2,lower,preceeding,similiar,view,leg,ain,brutal,potentially,trend,dow
iter8_cv_split3,making,view,brutal,ain,rebound,preceeding,similiar,dow,crash,staying
iter8_cv_split4,view,similiar,preceeding,brutal,ain,rebound,potentially,channel,instead,dow
iter8_cv_split5,leg,similiar,preceeding,instead,rebound,liquidation,crash,think,lower,add
iter9_cv_split1,view,preceeding,similiar,potentially,brutal,ain,lower,instead,liquidation,points
iter9_cv_split2,view,ain,brutal,similiar,preceeding,lower,crash,heavens,staying,mind
iter9_cv_split3,leg,lower,rebound,instead,dow,crash,potentially,staying,heavens,mind
iter9_cv_split4,leg,ain,brutal,stopping,rebound,trend,view,major,dow,preceeding
iter9_cv_split5,preceeding,similiar,view,potentially,brutal,ain,leg,making,crash,instead
iter10_cv_split1,brutal,ain,leg,similiar,preceeding,rebound,liquidation,dow,crash,staying
iter10_cv_split2,view,instead,crash,liquidation,heavens,staying,leg,mind,making,major
iter10_cv_split3,similiar,preceeding,rebound,view,lower,brutal,ain,potentially,making,points
iter10_cv_split4,lower,major,view,potentially,brutal,ain,fractals,similiar,preceeding,leg
iter10_cv_split5,view,preceeding,similiar,potentially,ain,brutal,lower,leg,dow,instead
iter11_cv_split1,view,similiar,preceeding,brutal,ain,potentially,lower,rebound,instead,leg
iter11_cv_split2,view,rebound,stopping,ain,brutal,instead,dow,heavens,staying,crash
iter11_cv_split3,ain,brutal,preceeding,similiar,lower,potentially,channel,liquidation,crash,dow
iter11_cv_split4,ain,brutal,view,major,leg,dow,rebound,fractals,preceeding,similiar
iter11_cv_split5,view,preceeding,similiar,potentially,leg,instead,lower,dow,crash,making
iter12_cv_split1,lower,view,preceeding,similiar,ain,brutal,potentially,rebound,instead,crash
iter12_cv_split2,brutal,ain,similiar,preceeding,rebound,dow,crash,leg,mind,potentially
iter12_cv_split3,view,ain,brutal,preceeding,similiar,instead,liquidation,heavens,staying,making
iter12_cv_split4,rebound,stopping,brutal,ain,major,view,potentially,lower,dow,leg
iter12_cv_split5,view,preceeding,similiar,lower,potentially,dow,instead,making,liquidation,crash
iter13_cv_split1,view,leg,stopping,brutal,ain,dow,preceeding,similiar,crash,liquidation
iter13_cv_split2,view,preceeding,similiar,lower,rebound,potentially,brutal,ain,making,crash
iter13_cv_split3,view,instead,leg,trend,dow,liquidation,points,mistake,bought,add
iter13_cv_split4,view,preceeding,similiar,lower,potentially,brutal,ain,dow,rebound,liquidation
iter13_cv_split5,lower,brutal,ain,leg,potentially,rebound,instead,fractals,preceeding,similiar
iter14_cv_split1,ain,brutal,preceeding,similiar,potentially,liquidation,lower,instead,dow,points
iter14_cv_split2,view,similiar,preceeding,leg,lower,making,potentially,ain,brutal,stopping
iter14_cv_split3,view,similiar,preceeding,rebound,instead,dow,crash,points,liquidation,right
iter14_cv_split4,view,preceeding,similiar,lower,brutal,ain,potentially,rebound,making,crash
iter14_cv_split5,ain,brutal,major,view,leg,dow,crash,rebound,heavens,staying
iter15_cv_split1,brutal,ain,lower,preceeding,similiar,potentially,instead,channel,dow,mind
iter15_cv_split2,potentially,view,making,rebound,lower,brutal,ain,stopping,instead,dow
iter15_cv_split3,major,view,rebound,instead,preceeding,fractals,similiar,dow,liquidation,crash
iter15_cv_split4,similiar,preceeding,potentially,view,brutal,ain,rebound,trend,liquidation,lower
iter15_cv_split5,view,brutal,ain,leg,similiar,preceeding,crash,lower,liquidation,making
iter16_cv_split1,brutal,ain,rebound,instead,leg,lower,crash,heavens,staying,mind
