,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,buy,high,bull,trigger,upside,btc,soon,break,way,ready
iter1_cv_split2,buy,trigger,entry,high,way,bull,breakout,higher,break,triggered
iter1_cv_split3,buy,trigger,volume,high,break,low,upside,triggered,looking,ready
iter1_cv_split4,buy,trigger,reversal,breakout,looking,way,bull,usd,break,high
iter1_cv_split5,buy,trigger,triggered,high,looking,bull,ready,break,breakout,retested
iter2_cv_split1,buy,high,looking,reversal,trigger,bull,way,break,low,ready
iter2_cv_split2,buy,triggered,trigger,high,break,ready,way,low,bull,starting
iter2_cv_split3,buy,upside,trigger,bull,volume,looking,breakout,btc,entry,soon
iter2_cv_split4,buy,breakout,trigger,entry,high,looking,way,like,break,higher
iter2_cv_split5,buy,trigger,bull,high,break,triggered,time,ready,way,low
iter3_cv_split1,buy,trigger,volume,looking,way,triggered,high,breakout,levels,entry
iter3_cv_split2,buy,trigger,triggered,high,ready,break,looking,bull,upside,low
iter3_cv_split3,buy,breakout,trigger,high,upside,bull,ready,way,break,usd
iter3_cv_split4,buy,trigger,high,bull,soon,break,looking,upside,low,breakout
iter3_cv_split5,buy,reversal,break,entry,way,trigger,bull,looking,higher,retested
iter4_cv_split1,buy,trigger,bull,high,looking,break,breakout,ready,way,triggered
iter4_cv_split2,buy,reversal,trigger,triggered,high,bull,way,retested,looking,low
iter4_cv_split3,buy,high,trigger,soon,bull,way,triggered,upside,break,looking
iter4_cv_split4,buy,trigger,entry,breakout,volume,upside,looking,break,higher,high
iter4_cv_split5,buy,trigger,high,ready,bull,breakout,break,entry,way,price
iter5_cv_split1,buy,high,trigger,triggered,way,looking,breakout,reversal,ready,bull
iter5_cv_split2,buy,trigger,bull,breakout,way,looking,entry,triggered,starting,break
iter5_cv_split3,buy,trigger,soon,bull,high,break,triggered,upside,looking,price
iter5_cv_split4,buy,reversal,trigger,high,break,ready,way,looking,breakout,entry
iter5_cv_split5,buy,upside,trigger,volume,high,bull,entry,break,breakout,ready
iter6_cv_split1,buy,triggered,breakout,bull,high,trigger,break,way,ready,looking
iter6_cv_split2,buy,trigger,high,reversal,looking,way,ready,retested,breakout,upside
iter6_cv_split3,buy,trigger,trendline,high,entry,bull,upside,triggered,soon,breakout
iter6_cv_split4,buy,trigger,high,bull,entry,break,higher,way,usd,starting
iter6_cv_split5,buy,trigger,volume,upside,high,break,looking,breakout,bull,close
iter7_cv_split1,buy,reversal,trigger,volume,breakout,way,high,looking,break,triggered
iter7_cv_split2,buy,trigger,high,entry,daily,ready,break,looking,higher,upside
iter7_cv_split3,buy,upside,triggered,trigger,bull,high,soon,looking,btc,break
iter7_cv_split4,buy,trigger,high,bull,break,looking,upside,way,breakout,entry
iter7_cv_split5,buy,trigger,breakout,break,high,ready,way,bull,low,retested
iter8_cv_split1,buy,trigger,triggered,high,ready,bull,break,looking,entry,way
iter8_cv_split2,buy,trigger,high,bull,break,time,breakout,ready,way,looking
iter8_cv_split3,breakout,buy,trigger,volume,upside,break,amp,high,entry,bull
iter8_cv_split4,buy,trigger,high,soon,way,upside,bull,looking,break,levels
iter8_cv_split5,buy,trigger,bull,looking,way,break,reversal,high,triggered,entry
iter9_cv_split1,buy,triggered,trigger,bull,high,entry,looking,break,volume,ready
iter9_cv_split2,buy,high,trigger,upside,way,bull,entry,ready,higher,looking
iter9_cv_split3,buy,reversal,trigger,soon,bull,looking,high,break,time,alts
iter9_cv_split4,buy,trigger,breakout,high,way,ready,reversal,looking,break,low
iter9_cv_split5,buy,trigger,break,high,way,ready,entry,upside,bull,breakout
iter10_cv_split1,buy,high,trigger,entry,looking,amp,reversal,ready,higher,bull
iter10_cv_split2,buy,trigger,high,breakout,bull,ready,looking,reversal,way,break
iter10_cv_split3,buy,trigger,breakout,break,looking,high,way,low,entry,volume
iter10_cv_split4,buy,upside,soon,trigger,triggered,btc,bull,break,entry,ready
iter10_cv_split5,buy,trigger,bull,high,way,break,ready,triggered,entry,usd
iter11_cv_split1,triggered,trigger,buy,high,bull,way,ready,upside,starting,looking
iter11_cv_split2,buy,breakout,trigger,high,looking,break,ready,bull,volume,like
iter11_cv_split3,buy,entry,trigger,soon,btc,reversal,upside,break,high,way
iter11_cv_split4,buy,high,trigger,looking,bull,ready,way,low,triggered,retested
iter11_cv_split5,buy,trigger,bull,break,high,breakout,looking,ready,alts,triggered
iter12_cv_split1,buy,trigger,high,bull,looking,break,breakout,daily,like,low
iter12_cv_split2,buy,high,trigger,soon,way,entry,looking,break,higher,ready
iter12_cv_split3,buy,trigger,triggered,upside,high,way,bull,ready,breakout,break
iter12_cv_split4,buy,trigger,high,bull,break,looking,upside,low,retested,usd
iter12_cv_split5,buy,trigger,breakout,bull,looking,entry,high,ready,volume,way
iter13_cv_split1,buy,trigger,high,break,entry,bull,ready,way,higher,looks
iter13_cv_split2,buy,trigger,soon,break,volume,way,high,looking,triggered,levels
iter13_cv_split3,buy,trigger,breakout,bull,high,ready,reversal,way,triggered,looking
iter13_cv_split4,buy,trigger,high,bull,upside,breakout,way,ready,break,entry
iter13_cv_split5,buy,triggered,reversal,trigger,looking,high,entry,break,way,upside
iter14_cv_split1,buy,trigger,triggered,high,reversal,break,looking,ready,retested,way
iter14_cv_split2,buy,soon,trigger,high,ready,bull,break,looking,triggered,way
iter14_cv_split3,buy,breakout,trigger,amp,volume,bull,high,looking,upside,way
iter14_cv_split4,buy,trigger,high,bull,break,looking,upside,breakout,ready,reversal
iter14_cv_split5,buy,trigger,entry,high,bull,way,higher,retested,looking,ready
iter15_cv_split1,buy,triggered,trigger,high,reversal,soon,way,looking,bull,retested
iter15_cv_split2,buy,high,trigger,upside,looking,breakout,ready,way,break,entry
iter15_cv_split3,buy,trigger,bull,breakout,reversal,volume,high,looking,ready,amp
iter15_cv_split4,buy,trigger,high,break,bull,triggered,chart,retested,looking,entry
iter15_cv_split5,buy,trigger,bull,break,entry,higher,high,way,upside,alts
iter16_cv_split1,buy,trigger,high,breakout,soon,ready,retested,break,looking,reversal
iter16_cv_split2,buy,triggered,trigger,ready,high,way,breakout,looking,bull,upside
iter16_cv_split3,buy,trigger,high,bull,volume,break,breakout,looking,triggered,low
iter16_cv_split4,buy,entry,trigger,break,ready,bull,looking,time,reversal,high
iter16_cv_split5,buy,trigger,upside,high,bull,way,entry,looking,break,starting
iter17_cv_split1,buy,trigger,high,bull,soon,way,entry,looking,triggered,higher
iter17_cv_split2,buy,breakout,trigger,reversal,volume,high,looking,ready,break,time
iter17_cv_split3,buy,trigger,high,upside,breakout,break,bull,looking,low,way
iter17_cv_split4,buy,upside,trigger,high,bull,ready,way,break,entry,looking
