,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,leg,lower,instead,crash,dow,think,mind,view,points,preceeding
iter1_cv_split2,rebound,leg,view,mainstream,media,think,ain,stopping,brutal,preceeding
iter1_cv_split3,rebound,dow,crash,points,think,ain,brutal,media,mainstream,market
iter1_cv_split4,leg,lower,instead,crash,dow,points,traders,ain,brutal,preceeding
iter1_cv_split5,leg,lower,instead,rebound,ain,brutal,mind,media,mainstream,view
iter2_cv_split1,leg,lower,instead,crash,rebound,dow,points,mind,media,mainstream
iter2_cv_split2,leg,instead,dow,think,lower,points,view,traders,mind,stopping
iter2_cv_split3,lower,instead,crash,think,brutal,ain,view,preceeding,similiar,mind
iter2_cv_split4,leg,rebound,crash,points,dow,view,mainstream,media,ain,brutal
iter2_cv_split5,leg,crash,rebound,view,brutal,ain,similiar,preceeding,mainstream,media
iter3_cv_split1,lower,instead,crash,dow,points,making,view,ain,brutal,preceeding
iter3_cv_split2,leg,instead,trend,dow,think,ain,brutal,media,mainstream,points
iter3_cv_split3,leg,rebound,crash,think,view,ain,brutal,similiar,preceeding,mind
iter3_cv_split4,leg,lower,instead,rebound,media,mainstream,major,view,stopping,ain
iter3_cv_split5,leg,lower,dow,rebound,crash,points,traders,mind,preceeding,similiar
iter4_cv_split1,instead,crash,leg,dow,points,think,view,mind,media,mainstream
iter4_cv_split2,leg,lower,rebound,instead,traders,ain,brutal,mainstream,media,preceeding
iter4_cv_split3,leg,lower,instead,crash,rebound,mainstream,media,view,preceeding,similiar
iter4_cv_split4,lower,rebound,dow,points,think,ain,brutal,traders,leg,mind
iter4_cv_split5,lower,crash,dow,leg,think,view,brutal,ain,points,similiar
iter5_cv_split1,leg,rebound,view,traders,stopping,brutal,ain,preceeding,similiar,media
iter5_cv_split2,lower,instead,dow,points,view,brutal,ain,preceeding,similiar,mind
iter5_cv_split3,leg,lower,instead,crash,dow,media,mainstream,brutal,ain,points
iter5_cv_split4,leg,lower,instead,rebound,crash,think,mainstream,media,mind,market
iter5_cv_split5,lower,rebound,crash,leg,points,dow,think,view,ain,brutal
iter6_cv_split1,leg,lower,instead,rebound,dow,points,view,ain,brutal,preceeding
iter6_cv_split2,lower,rebound,leg,crash,dow,think,points,brutal,ain,drop
iter6_cv_split3,instead,crash,dow,leg,media,mainstream,think,points,trend,view
iter6_cv_split4,leg,lower,crash,view,mind,ain,brutal,stopping,mainstream,media
iter6_cv_split5,rebound,instead,dow,lower,points,failed,brutal,ain,traders,similiar
iter7_cv_split1,think,instead,crash,leg,mind,ain,brutal,stopping,traders,mainstream
iter7_cv_split2,leg,lower,rebound,crash,view,brutal,ain,preceeding,similiar,media
iter7_cv_split3,lower,instead,dow,think,view,points,similiar,preceeding,drop,mind
iter7_cv_split4,leg,lower,dow,rebound,points,trend,ain,brutal,mainstream,media
iter7_cv_split5,leg,instead,crash,rebound,dow,trend,think,points,brutal,ain
iter8_cv_split1,lower,instead,leg,view,major,mind,traders,ain,stopping,brutal
iter8_cv_split2,leg,lower,dow,trend,rebound,points,brutal,ain,preceeding,similiar
iter8_cv_split3,rebound,crash,dow,points,think,traders,view,making,ain,brutal
iter8_cv_split4,rebound,crash,instead,dow,mainstream,media,think,trend,leg,ain
iter8_cv_split5,leg,instead,rebound,crash,lower,think,media,mainstream,preceeding,similiar
iter9_cv_split1,lower,instead,dow,points,view,think,traders,ain,brutal,similiar
iter9_cv_split2,lower,crash,think,leg,view,mind,ain,brutal,traders,similiar
iter9_cv_split3,leg,lower,rebound,instead,dow,crash,points,media,mainstream,mind
iter9_cv_split4,leg,rebound,trend,dow,think,points,mainstream,media,brutal,stopping
iter9_cv_split5,leg,crash,instead,rebound,preceeding,similiar,view,ain,brutal,media
iter10_cv_split1,leg,crash,rebound,dow,think,traders,points,trendline,mind,ain
iter10_cv_split2,crash,instead,leg,view,mind,media,mainstream,traders,heavens,staying
iter10_cv_split3,rebound,lower,points,dow,think,brutal,ain,similiar,preceeding,mainstream
iter10_cv_split4,leg,lower,instead,rebound,dow,points,brutal,ain,view,major
iter10_cv_split5,leg,lower,crash,dow,instead,points,traders,brutal,ain,view
iter11_cv_split1,leg,lower,instead,rebound,view,ain,brutal,mainstream,media,preceeding
iter11_cv_split2,rebound,instead,crash,dow,points,think,view,mainstream,media,brutal
iter11_cv_split3,lower,crash,think,points,dow,leg,brutal,ain,traders,mind
iter11_cv_split4,leg,dow,lower,rebound,points,ain,brutal,mainstream,media,mind
iter11_cv_split5,leg,instead,crash,dow,think,points,potentially,view,preceeding,similiar
iter12_cv_split1,lower,leg,instead,rebound,crash,view,brutal,ain,similiar,preceeding
iter12_cv_split2,leg,crash,rebound,dow,think,mind,media,mainstream,points,ain
iter12_cv_split3,instead,leg,view,ain,brutal,drop,think,similiar,preceeding,party
iter12_cv_split4,leg,lower,rebound,dow,think,points,mainstream,media,brutal,ain
iter12_cv_split5,lower,instead,dow,crash,points,view,leg,traders,media,mainstream
iter13_cv_split1,leg,crash,lower,dow,failed,media,mainstream,points,view,brutal
iter13_cv_split2,lower,rebound,think,crash,mind,mainstream,media,view,ain,brutal
iter13_cv_split3,leg,trend,instead,dow,points,think,media,mainstream,view,mind
iter13_cv_split4,leg,lower,instead,dow,crash,rebound,points,view,similiar,preceeding
iter13_cv_split5,leg,lower,instead,rebound,brutal,ain,media,mainstream,traders,mind
iter14_cv_split1,instead,lower,points,dow,think,ain,brutal,leg,traders,mainstream
iter14_cv_split2,leg,lower,crash,instead,mind,mainstream,media,view,similiar,preceeding
iter14_cv_split3,rebound,instead,crash,dow,points,think,view,preceeding,similiar,traders
iter14_cv_split4,lower,rebound,leg,crash,dow,view,ain,brutal,points,mainstream
iter14_cv_split5,leg,crash,dow,rebound,points,think,view,major,ain,brutal
iter15_cv_split1,lower,instead,dow,leg,points,mind,ain,brutal,think,media
iter15_cv_split2,leg,lower,rebound,instead,crash,dow,think,brutal,stopping,ain
iter15_cv_split3,instead,rebound,crash,dow,points,view,major,leg,media,mainstream
iter15_cv_split4,leg,rebound,trend,preceeding,similiar,brutal,ain,view,mainstream,media
iter15_cv_split5,leg,lower,crash,view,traders,ain,brutal,mainstream,media,preceeding
iter16_cv_split1,leg,lower,instead,crash,rebound,mainstream,media,ain,brutal,mind
iter16_cv_split2,instead,dow,think,points,traders,major,view,mainstream,media,brutal
iter16_cv_split3,lower,rebound,crash,similiar,preceeding,view,think,mainstream,media,leg
iter16_cv_split4,leg,crash,rebound,dow,think,view,points,similiar,preceeding,ain
iter16_cv_split5,leg,lower,instead,points,dow,mind,brutal,ain,view,preceeding
iter17_cv_split1,lower,rebound,crash,leg,media,mainstream,major,view,stopping,brutal
