,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,higher,breakout,reversal,amp,buy,high,triggered,trendline,low,entry
iter1_cv_split2,breakout,higher,buy,amp,triggered,reversal,upside,trendline,entry,low
iter1_cv_split3,higher,breakout,buy,amp,reversal,triggered,low,high,upside,trendline
iter1_cv_split4,breakout,higher,reversal,amp,buy,triggered,high,upside,trendline,soon
iter1_cv_split5,higher,breakout,buy,reversal,amp,entry,high,triggered,support,low
iter2_cv_split1,higher,amp,buy,breakout,reversal,triggered,low,upside,high,support
iter2_cv_split2,higher,breakout,reversal,buy,low,triggered,high,amp,trendline,upside
iter2_cv_split3,breakout,buy,reversal,higher,amp,triggered,upside,entry,trendline,volume
iter2_cv_split4,breakout,higher,buy,amp,reversal,high,trigger,entry,low,triggered
iter2_cv_split5,higher,breakout,buy,amp,reversal,high,triggered,entry,trendline,low
iter3_cv_split1,higher,breakout,buy,amp,reversal,triggered,low,entry,high,volume
iter3_cv_split2,higher,breakout,buy,reversal,high,amp,low,triggered,entry,trendline
iter3_cv_split3,breakout,reversal,amp,buy,higher,upside,triggered,high,trendline,soon
iter3_cv_split4,higher,breakout,reversal,buy,high,amp,triggered,upside,low,trendline
iter3_cv_split5,reversal,breakout,higher,amp,buy,triggered,low,trendline,high,upside
iter4_cv_split1,breakout,higher,reversal,buy,triggered,low,amp,trendline,trigger,entry
iter4_cv_split2,breakout,higher,reversal,buy,amp,low,upside,high,entry,support
iter4_cv_split3,breakout,reversal,higher,amp,buy,triggered,high,upside,volume,trendline
iter4_cv_split4,breakout,higher,buy,amp,triggered,high,reversal,trendline,upside,low
iter4_cv_split5,higher,buy,breakout,amp,high,low,reversal,entry,triggered,trendline
iter5_cv_split1,breakout,higher,reversal,buy,low,entry,high,amp,triggered,trigger
iter5_cv_split2,breakout,higher,reversal,amp,buy,triggered,low,trendline,upside,high
iter5_cv_split3,higher,buy,breakout,amp,high,reversal,triggered,volume,soon,trigger
iter5_cv_split4,higher,buy,breakout,amp,reversal,triggered,trendline,entry,high,low
