,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,hr,convince,love,lose,view,structure,fiat,vix,collapse,plan
iter1_cv_split2,immediately,recency,red,need,mistakes,mistake,resistanceneckline,fear,mind,classical
iter1_cv_split3,dominance,recency,rebound,deutsche,unsatisfying,digits,diversify,dow,quick,psychological
iter1_cv_split4,hl,damage,dangerous,view,imminent,descending,deutsche,vix,diversify,dow
iter1_cv_split5,holds,view,playing,descending,imminent,digits,diversify,dominance,volatility,party
iter2_cv_split1,hit,party,experiencing,lose,tops,collapse,view,liquidation,classical,fiat
iter2_cv_split2,street,party,correlation,convincing,convince,shutdowns,signals,free,similiar,sit
iter2_cv_split3,traders,opened,order,outcome,parabola,economic,dramatically,plan,dow,diversify
iter2_cv_split4,hr,potentially,deutsche,index,diversify,dominance,volatility,dow,playing,dramatically
iter2_cv_split5,descending,recency,red,mistakes,mistake,mind,met,resistanceneckline,fomobuy,classical
iter3_cv_split1,traditional,prepare,imminent,potentially,descending,possible,deutsche,points,digits,diversify
iter3_cv_split2,diversify,correlation,outjust,convincing,convince,free,sit,friday,outcome,order
iter3_cv_split3,traders,fooling,dangerous,resistanceneckline,experiencing,cents,mainstream,reverse,need,free
iter3_cv_split4,risky,dominance,scale,dow,room,larger,dramatically,drop,secutive,dropping
iter3_cv_split5,liquidation,sharply,secutive,descending,scale,dominance,room,dow,risky,dropping
iter4_cv_split1,immediately,measured,view,convincing,convince,fiat,vix,preceeding,prepare,collapse
iter4_cv_split2,liquidation,room,risky,descending,deutsche,inviting,digits,dangerous,diversify,dow
iter4_cv_split3,dramatically,scale,sunday,care,deutsche,fear,plan,room,mistakes,mistake
iter4_cv_split4,traders,crash,preceeding,correlation,volatility,convincing,convince,prepare,wall,principle
iter4_cv_split5,liquidation,diversify,dominance,late,dow,risky,dramatically,dropping,economic,resistanceneckline
iter5_cv_split1,lose,secutive,scale,digits,diversify,late,dow,risky,descending,reverse
iter5_cv_split2,deutsche,opened,entering,outcome,outjust,party,dropping,dramatically,dow,dominance
iter5_cv_split3,hr,mind,preceeding,prepare,tops,experiencing,collapse,metals,wall,principle
iter5_cv_split4,traders,deutsche,preceeding,digits,twilight,diversify,dominance,dow,dramatically,prepare
iter5_cv_split5,index,principle,twilight,inviting,dominance,prepare,dow,preceeding,potentially,dramatically
iter6_cv_split1,inevitable,free,game,generating,heavens,volatility,vix,hit,hl,holds
iter6_cv_split2,structure,currently,current,signals,fractals,friday,crashes,crash,similiar,correlation
iter6_cv_split3,hl,descending,deutsche,diversify,dominance,party,dow,parabola,dramatically,dropping
iter6_cv_split4,sunday,view,deutsche,party,digits,diversify,dominance,dow,outjust,outcome
iter6_cv_split5,digits,descending,potentially,deutsche,diversify,dominance,traders,dow,dramatically,dropping
iter7_cv_split1,increasing,principle,twilight,descending,deutsche,prepare,dominance,preceeding,wellpositioned,dow
iter7_cv_split2,instead,descending,psychological,deutsche,digits,diversify,principle,dominance,dow,prepare
iter7_cv_split3,opened,view,damage,dangerous,lower,fomobuy,resistanceneckline,love,lose,reverse
iter7_cv_split4,hit,outjust,experiencing,collapse,valid,love,lose,classical,similiar,liquidation
iter7_cv_split5,twilight,dangerous,vix,hr,descending,deutsche,tops,digits,dominance,party
iter8_cv_split1,diversify,digits,invalid,dominance,dow,dramatically,drop,dropping,red,recency
iter8_cv_split2,instead,correlation,vix,convincing,convince,volatility,mistake,fomobuy,fooling,psychological
iter8_cv_split3,hl,potentially,collapse,preceeding,prepare,fiat,classical,love,principle,lose
iter8_cv_split4,mainstream,diversify,dominance,sharply,dow,love,dramatically,dropping,scale,economic
iter8_cv_split5,accordingly,generating,heavens,hit,hl,holds,hr,immediately,index,instead
iter9_cv_split1,reverse,order,currently,care,fork,mainstream,free,risky,wellpositioned,room
iter9_cv_split2,love,convince,met,media,measured,principle,fiat,psychological,collapse,making
iter9_cv_split3,fomobuy,cents,met,fooling,mainstream,possible,larger,wall,potentially,stockmarket
iter9_cv_split4,deutsche,descending,imminent,digits,diversify,party,dominance,dow,dramatically,dropping
iter9_cv_split5,liquidation,secutive,descending,deutsche,scale,diversify,room,dow,dangerous,risky
iter10_cv_split1,outcome,fooling,resistanceneckline,outjust,cents,exchange,possible,love,lose,hr
iter10_cv_split2,liquidation,descending,deutsche,room,risky,diversify,dow,resistanceneckline,dramatically,dropping
iter10_cv_split3,game,state,staying,cents,stick,stockmarket,money,party,street,structure
iter10_cv_split4,deutsche,dangerous,tops,preceeding,potentially,descending,digits,dominance,dow,playing
iter10_cv_split5,scale,fomobuy,convincing,convince,similiar,sit,outjust,outcome,fractals,collapse
iter11_cv_split1,risky,damage,dangerous,secutive,descending,scale,deutsche,dominance,room,dramatically
iter11_cv_split2,lose,digits,diversify,dominance,late,dow,scale,dropping,descending,room
iter11_cv_split3,hr,crashes,crash,correlation,prepare,convincing,convince,traders,fear,fiat
iter11_cv_split4,successful,correlation,convincing,convince,party,fear,unsatisfying,fiat,sit,liquidation
