,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,market,amp,markup,bulljuice,bitstamp,dipbuying,trading,brb,time,technical
iter1_cv_split2,trading,amp,dipbuying,bitstamp,bulljuice,breakout,eyes,close,brb,buy
iter1_cv_split3,trading,amp,bulljuice,bitstamp,breakout,dip,year,journey,begun,technical
iter1_cv_split4,trading,amp,markup,bulljuice,dipbuying,brb,technical,breakout,year,begun
iter1_cv_split5,brb,trading,markup,dipbuying,bitstamp,amp,close,breakout,eyes,inevitable
iter2_cv_split1,trading,markup,amp,bulljuice,dipbuying,bitstamp,brb,close,time,technical
iter2_cv_split2,inevitable,amp,trading,time,bitstamp,dipbuying,bulljuice,market,markup,buy
iter2_cv_split3,trading,brb,dipbuying,bitstamp,technical,market,markup,breakout,amp,begun
iter2_cv_split4,trading,amp,bulljuice,dipbuying,dip,hold,listed,break,cloud,ready
iter2_cv_split5,trading,amp,brb,bulljuice,bitstamp,breakout,market,enjoying,presume,markup
iter3_cv_split1,trading,markup,bulljuice,bitstamp,breakout,eyes,inevitable,buy,close,listed
iter3_cv_split2,trading,amp,brb,bitstamp,bulljuice,dipbuying,breakout,technical,begun,year
iter3_cv_split3,amp,market,markup,dipbuying,trading,brb,close,buy,cloud,div
iter3_cv_split4,trading,amp,brb,bulljuice,dipbuying,bitstamp,technical,market,year,journey
iter3_cv_split5,trading,brb,amp,dipbuying,bitstamp,bulljuice,breakout,market,eyes,close
iter4_cv_split1,trading,brb,amp,dipbuying,bitstamp,bulljuice,market,breakout,inevitable,close
iter4_cv_split2,trading,markup,amp,market,brb,dipbuying,bulljuice,bitstamp,technical,time
iter4_cv_split3,trading,amp,markup,dipbuying,breakout,brb,buy,cloud,eyes,year
iter4_cv_split4,trading,amp,bulljuice,bitstamp,technical,time,cloud,journey,year,begun
iter4_cv_split5,dipbuying,bitstamp,bulljuice,breakout,trading,enjoying,markup,presume,technical,eyes
iter5_cv_split1,trading,markup,brb,amp,bitstamp,dipbuying,bulljuice,breakout,market,eyes
iter5_cv_split2,amp,trading,bitstamp,bulljuice,breakout,technical,brb,eyes,journey,begun
iter5_cv_split3,trading,amp,bitstamp,bulljuice,dipbuying,market,close,begun,year,technical
iter5_cv_split4,amp,markup,trading,bulljuice,dipbuying,bitstamp,hold,dip,inevitable,breakout
iter5_cv_split5,trading,brb,dipbuying,breakout,amp,market,markup,buy,eyes,technical
iter6_cv_split1,amp,markup,bitstamp,trading,breakout,technical,eyes,cloud,brb,close
iter6_cv_split2,trading,brb,bitstamp,bulljuice,dipbuying,market,eyes,breakout,journey,year
iter6_cv_split3,trading,amp,brb,dipbuying,bulljuice,technical,journey,begun,year,markup
iter6_cv_split4,trading,amp,markup,dipbuying,bitstamp,bulljuice,time,dip,volume,hold
iter6_cv_split5,trading,markup,market,amp,brb,dipbuying,bulljuice,bitstamp,time,breakout
iter7_cv_split1,trading,amp,bulljuice,dipbuying,bitstamp,technical,journey,begun,year,time
iter7_cv_split2,amp,brb,trading,markup,market,breakout,buy,technical,journey,begun
iter7_cv_split3,markup,trading,dipbuying,bitstamp,bulljuice,breakout,brb,technical,buy,time
iter7_cv_split4,amp,trading,bulljuice,bitstamp,dipbuying,markup,presume,enjoying,close,dip
iter7_cv_split5,trading,amp,brb,dipbuying,bulljuice,bitstamp,breakout,market,eyes,buy
iter8_cv_split1,trading,brb,bitstamp,dipbuying,breakout,technical,close,markup,market,amp
iter8_cv_split2,trading,amp,dipbuying,bitstamp,bulljuice,dip,technical,begun,journey,year
iter8_cv_split3,amp,markup,trading,dipbuying,bitstamp,bulljuice,breakout,close,brb,eyes
iter8_cv_split4,trading,brb,markup,amp,bitstamp,bulljuice,market,breakout,buy,eyes
iter8_cv_split5,trading,amp,markup,bulljuice,dipbuying,brb,technical,buy,begun,year
iter9_cv_split1,trading,markup,brb,bitstamp,bulljuice,breakout,time,market,eyes,journey
iter9_cv_split2,trading,amp,dipbuying,bitstamp,bulljuice,technical,hold,dip,markup,year
iter9_cv_split3,trading,amp,dipbuying,market,brb,breakout,buy,close,cloud,technical
iter9_cv_split4,brb,amp,breakout,trading,close,dipbuying,bulljuice,bitstamp,market,ready
iter9_cv_split5,trading,amp,markup,dipbuying,bulljuice,bitstamp,time,flag,cloud,presume
iter10_cv_split1,trading,amp,markup,bitstamp,brb,technical,time,year,begun,journey
iter10_cv_split2,trading,markup,brb,amp,bitstamp,bulljuice,dipbuying,market,close,year
iter10_cv_split3,trading,market,bitstamp,bulljuice,dipbuying,brb,amp,time,technical,inevitable
iter10_cv_split4,trading,amp,markup,bulljuice,dipbuying,bitstamp,breakout,close,time,inevitable
iter10_cv_split5,amp,brb,dipbuying,bulljuice,breakout,trading,market,ready,eyes,buy
iter11_cv_split1,trading,bitstamp,bulljuice,dipbuying,eyes,breakout,amp,brb,markup,inevitable
iter11_cv_split2,trading,market,amp,time,bulljuice,dipbuying,bitstamp,brb,close,inevitable
iter11_cv_split3,brb,trading,amp,dipbuying,bitstamp,bulljuice,breakout,market,technical,eyes
iter11_cv_split4,trading,amp,bitstamp,markup,time,dip,hold,spotted,technical,begun
iter11_cv_split5,trading,amp,bulljuice,dipbuying,breakout,enjoying,presume,markup,brb,close
iter12_cv_split1,trading,brb,markup,amp,bulljuice,bitstamp,dipbuying,time,close,technical
iter12_cv_split2,trading,bitstamp,bulljuice,dipbuying,breakout,close,time,brb,amp,eyes
iter12_cv_split3,trading,market,amp,brb,dipbuying,bulljuice,breakout,buy,div,technical
iter12_cv_split4,amp,markup,dipbuying,bitstamp,trading,inevitable,buy,time,breakout,ready
iter12_cv_split5,trading,amp,brb,bitstamp,bulljuice,market,markup,enjoying,presume,eyes
iter13_cv_split1,trading,amp,brb,bulljuice,dipbuying,market,buy,breakout,time,markup
iter13_cv_split2,markup,trading,amp,bitstamp,dipbuying,bulljuice,breakout,technical,brb,journey
