,full_test_accs,full_test_aucs,full_test_null_accs,full_train_accs,full_train_aucs,full_train_null_accs
iter1_cv_split1,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter1_cv_split2,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter1_cv_split3,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter1_cv_split4,0.8846153846153846,0.5,0.8846153846153846,1.0,1.0,0.8584905660377359
iter1_cv_split5,0.92,0.6666666666666667,0.88,1.0,1.0,0.8598130841121495
iter2_cv_split1,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter2_cv_split2,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter2_cv_split3,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter2_cv_split4,0.8846153846153846,0.5,0.8846153846153846,1.0,1.0,0.8584905660377359
iter2_cv_split5,0.92,0.6666666666666667,0.88,1.0,1.0,0.8598130841121495
iter3_cv_split1,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter3_cv_split2,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter3_cv_split3,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter3_cv_split4,0.8846153846153846,0.5,0.8846153846153846,1.0,1.0,0.8584905660377359
iter3_cv_split5,0.88,0.5,0.88,1.0,1.0,0.8598130841121495
iter4_cv_split1,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter4_cv_split2,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter4_cv_split3,0.8888888888888888,0.625,0.8518518518518519,1.0,1.0,0.8666666666666667
iter4_cv_split4,0.8846153846153846,0.5,0.8846153846153846,1.0,1.0,0.8584905660377359
iter4_cv_split5,0.88,0.5,0.88,1.0,1.0,0.8598130841121495
iter5_cv_split1,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter5_cv_split2,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter5_cv_split3,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter5_cv_split4,0.8846153846153846,0.5,0.8846153846153846,1.0,1.0,0.8584905660377359
iter5_cv_split5,0.88,0.5,0.88,1.0,1.0,0.8598130841121495
iter6_cv_split1,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter6_cv_split2,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter6_cv_split3,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter6_cv_split4,0.9230769230769231,0.6666666666666667,0.8846153846153846,1.0,1.0,0.8584905660377359
iter6_cv_split5,0.88,0.5,0.88,1.0,1.0,0.8598130841121495
iter7_cv_split1,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter7_cv_split2,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter7_cv_split3,0.8888888888888888,0.625,0.8518518518518519,1.0,1.0,0.8666666666666667
iter7_cv_split4,0.8846153846153846,0.5,0.8846153846153846,1.0,1.0,0.8584905660377359
iter7_cv_split5,0.88,0.5,0.88,1.0,1.0,0.8598130841121495
iter8_cv_split1,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter8_cv_split2,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter8_cv_split3,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter8_cv_split4,0.8846153846153846,0.5,0.8846153846153846,1.0,1.0,0.8584905660377359
iter8_cv_split5,0.88,0.5,0.88,1.0,1.0,0.8598130841121495
iter9_cv_split1,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter9_cv_split2,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter9_cv_split3,0.8888888888888888,0.625,0.8518518518518519,1.0,1.0,0.8666666666666667
iter9_cv_split4,0.8846153846153846,0.5,0.8846153846153846,1.0,1.0,0.8584905660377359
iter9_cv_split5,0.88,0.5,0.88,1.0,1.0,0.8598130841121495
iter10_cv_split1,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter10_cv_split2,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
iter10_cv_split3,0.8518518518518519,0.5,0.8518518518518519,1.0,1.0,0.8666666666666667
