,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,mustread,denial,holders,calm,kindly,sold,abc,lose,currently,humanity
iter1_cv_split2,denial,holders,mustread,price,abc,kindly,sold,calm,reached,lose
iter1_cv_split3,denial,holders,mustread,abc,calm,kindly,sold,buying,transfer,gives
iter1_cv_split4,denial,holders,mustread,abc,kindly,sold,calm,transfer,lose,gives
iter1_cv_split5,transfer,lose,hope,satoshi,appreciates,humanity,cure,source,credible,hepatitis
iter2_cv_split1,denial,mustread,holders,abc,sold,kindly,calm,lose,gives,cure
iter2_cv_split2,denial,holders,mustread,price,lose,value,coin,hope,humanity,satoshi
iter2_cv_split3,abc,calm,sold,kindly,lose,gives,transfer,hope,satoshi,appreciates
iter2_cv_split4,denial,holders,mustread,abc,kindly,calm,sold,transfer,buying,reached
iter2_cv_split5,mustread,denial,holders,kindly,calm,sold,abc,transfer,currently,humanity
iter3_cv_split1,denial,holders,mustread,lose,transfer,value,appreciates,satoshi,humanity,hope
iter3_cv_split2,price,abc,calm,kindly,sold,gives,source,hepatitis,credible,cure
iter3_cv_split3,denial,mustread,holders,sold,calm,kindly,abc,lose,humanity,hope
iter3_cv_split4,denial,mustread,holders,abc,calm,kindly,sold,lose,gives,transfer
iter3_cv_split5,denial,holders,mustread,abc,kindly,sold,calm,reached,transfer,currently
iter4_cv_split1,denial,holders,mustread,lose,transfer,appreciates,satoshi,humanity,hope,gives
iter4_cv_split2,holders,mustread,denial,sold,calm,kindly,abc,transfer,lose,gives
iter4_cv_split3,holders,mustread,denial,abc,sold,calm,kindly,currently,source,hepatitis
iter4_cv_split4,mustread,denial,holders,buying,abc,kindly,calm,sold,value,current
iter4_cv_split5,abc,sold,calm,kindly,lose,transfer,price,value,hope,humanity
iter5_cv_split1,mustread,denial,holders,abc,calm,kindly,sold,lose,reached,gives
iter5_cv_split2,abc,kindly,calm,sold,hope,humanity,lose,satoshi,appreciates,transfer
iter5_cv_split3,denial,holders,mustread,price,abc,calm,kindly,sold,gives,lose
iter5_cv_split4,denial,holders,mustread,buying,transfer,lose,hope,appreciates,satoshi,humanity
iter5_cv_split5,mustread,denial,holders,kindly,calm,sold,abc,value,transfer,gives
iter6_cv_split1,denial,holders,mustread,abc,kindly,sold,calm,lose,value,hope
iter6_cv_split2,mustread,holders,denial,abc,calm,kindly,sold,transfer,currently,value
iter6_cv_split3,abc,sold,calm,kindly,lose,transfer,appreciates,hope,humanity,satoshi
iter6_cv_split4,holders,denial,mustread,buying,calm,sold,abc,kindly,reached,humanity
iter6_cv_split5,holders,mustread,denial,lose,transfer,gives,satoshi,humanity,hope,appreciates
iter7_cv_split1,abc,kindly,sold,calm,lose,transfer,satoshi,hope,humanity,appreciates
iter7_cv_split2,mustread,denial,holders,kindly,calm,sold,abc,lose,transfer,people
iter7_cv_split3,denial,holders,mustread,abc,kindly,sold,calm,credible,hepatitis,source
iter7_cv_split4,holders,mustread,denial,buying,currently,lose,satoshi,humanity,hope,appreciates
iter7_cv_split5,mustread,holders,denial,abc,kindly,calm,sold,reached,value,transfer
iter8_cv_split1,abc,calm,sold,kindly,humanity,satoshi,lose,appreciates,hope,transfer
iter8_cv_split2,holders,denial,mustread,abc,sold,kindly,calm,buying,value,shitcoin
iter8_cv_split3,holders,denial,mustread,gives,lose,transfer,cure,credible,hepatitis,source
iter8_cv_split4,denial,holders,mustread,abc,sold,kindly,calm,lose,transfer,currently
iter8_cv_split5,denial,holders,mustread,abc,sold,kindly,calm,lose,transfer,value
iter9_cv_split1,holders,denial,mustread,calm,sold,kindly,abc,lose,satoshi,appreciates
iter9_cv_split2,holders,mustread,denial,abc,calm,sold,kindly,buying,transfer,gives
iter9_cv_split3,denial,holders,mustread,price,abc,kindly,sold,calm,transfer,currently
iter9_cv_split4,lose,transfer,appreciates,satoshi,humanity,hope,gives,credible,cure,source
iter9_cv_split5,denial,holders,mustread,abc,kindly,sold,calm,lose,reached,value
iter10_cv_split1,mustread,denial,holders,kindly,sold,abc,calm,lose,value,hope
iter10_cv_split2,denial,holders,mustread,abc,kindly,calm,sold,lose,transfer,satoshi
iter10_cv_split3,denial,holders,mustread,abc,calm,sold,kindly,lose,appreciates,satoshi
iter10_cv_split4,abc,kindly,calm,sold,reached,transfer,humanity,hope,lose,satoshi
iter10_cv_split5,holders,mustread,denial,transfer,value,gives,source,hepatitis,credible,cure
iter11_cv_split1,value,transfer,shitcoin,people,balance,current,massively,expected,utility,rope
iter11_cv_split2,mustread,denial,holders,currently,abc,kindly,sold,calm,reached,price
iter11_cv_split3,denial,mustread,holders,abc,calm,sold,kindly,lose,transfer,satoshi
iter11_cv_split4,denial,holders,mustread,abc,kindly,calm,sold,buying,transfer,lose
iter11_cv_split5,mustread,denial,holders,kindly,sold,abc,calm,lose,gives,hepatitis
iter12_cv_split1,abc,calm,sold,kindly,lose,gives,transfer,value,appreciates,satoshi
iter12_cv_split2,denial,holders,mustread,lose,abc,kindly,sold,calm,transfer,gives
iter12_cv_split3,denial,holders,mustread,abc,kindly,calm,sold,credible,cure,hepatitis
iter12_cv_split4,holders,mustread,denial,transfer,lose,value,appreciates,humanity,satoshi,hope
iter12_cv_split5,mustread,holders,denial,abc,sold,calm,kindly,lose,satoshi,appreciates
iter13_cv_split1,holders,mustread,denial,reached,kindly,sold,abc,calm,transfer,value
iter13_cv_split2,denial,holders,mustread,abc,kindly,sold,calm,lose,value,humanity
iter13_cv_split3,denial,mustread,holders,lose,gives,currently,humanity,satoshi,hope,appreciates
iter13_cv_split4,abc,calm,sold,kindly,transfer,satoshi,appreciates,lose,hope,humanity
iter13_cv_split5,holders,mustread,denial,abc,calm,kindly,sold,lose,transfer,price
iter14_cv_split1,holders,mustread,denial,gives,abc,calm,kindly,reached,sold,value
iter14_cv_split2,mustread,denial,holders,calm,kindly,sold,abc,lose,hope,satoshi
iter14_cv_split3,mustread,denial,holders,abc,calm,sold,kindly,lose,transfer,value
iter14_cv_split4,denial,mustread,holders,transfer,appreciates,humanity,hope,satoshi,lose,source
iter14_cv_split5,abc,sold,calm,kindly,buying,lose,price,value,appreciates,satoshi
iter15_cv_split1,holders,denial,mustread,buying,transfer,value,gives,people,hepatitis,source
iter15_cv_split2,abc,kindly,calm,reached,sold,lose,appreciates,satoshi,humanity,hope
iter15_cv_split3,denial,holders,mustread,abc,calm,kindly,sold,lose,currently,transfer
iter15_cv_split4,denial,holders,mustread,abc,kindly,sold,calm,lose,transfer,value
iter15_cv_split5,holders,mustread,denial,calm,kindly,abc,sold,hope,humanity,satoshi
iter16_cv_split1,buying,kindly,calm,sold,abc,transfer,gives,shitcoin,people,hepatitis
iter16_cv_split2,denial,holders,mustread,abc,kindly,sold,calm,lose,reached,transfer
