,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,trading,time,market,amp,dip,cloud,soon,buy,flag,breakout
iter1_cv_split2,trading,amp,cloud,dip,buy,breakout,huge,close,break,good
iter1_cv_split3,trading,amp,time,close,breakout,bullish,huge,rsi,wedge,break
iter1_cv_split4,trading,amp,bull,time,breakout,volume,dip,div,buy,cloud
iter1_cv_split5,trading,time,amp,cloud,close,buy,bullish,div,soon,update
iter2_cv_split1,trading,amp,bull,close,buy,time,div,support,breakout,rsi
iter2_cv_split2,trading,time,amp,market,cloud,soon,breakout,good,buy,wedge
iter2_cv_split3,trading,amp,time,breakout,bullish,soon,buy,cloud,close,huge
iter2_cv_split4,trading,amp,time,cloud,dip,close,volume,bullish,huge,break
iter2_cv_split5,trading,amp,cloud,time,dip,breakout,soon,close,wedge,break
iter3_cv_split1,trading,time,breakout,buy,amp,cloud,huge,wedge,close,dip
iter3_cv_split2,trading,amp,bull,time,cloud,breakout,soon,huge,good,bullish
iter3_cv_split3,amp,trading,time,cloud,div,market,close,buy,good,dip
iter3_cv_split4,amp,trading,time,breakout,volume,dip,cloud,break,bullish,wedge
iter3_cv_split5,trading,amp,close,time,dip,breakout,soon,div,buy,market
iter4_cv_split1,trading,amp,time,dip,breakout,cloud,close,wedge,buy,market
iter4_cv_split2,trading,amp,volume,close,time,buy,cloud,market,bull,rsi
iter4_cv_split3,trading,amp,time,cloud,breakout,buy,soon,div,dip,break
iter4_cv_split4,trading,time,amp,cloud,soon,bullish,huge,rsi,close,wedge
iter4_cv_split5,trading,bull,amp,breakout,time,soon,buy,div,close,market
iter5_cv_split1,trading,bull,amp,time,buy,breakout,huge,close,dip,long
iter5_cv_split2,amp,trading,time,breakout,cloud,div,buy,close,soon,good
iter5_cv_split3,trading,cloud,amp,close,time,dip,bullish,market,wedge,update
iter5_cv_split4,trading,amp,cloud,time,dip,div,soon,huge,breakout,rsi
iter5_cv_split5,trading,amp,time,breakout,close,cloud,soon,bullish,buy,break
iter6_cv_split1,trading,amp,bull,cloud,breakout,close,dip,time,soon,wedge
iter6_cv_split2,trading,cloud,amp,close,time,bullish,buy,dip,break,huge
iter6_cv_split3,trading,amp,time,buy,div,close,bull,wedge,long,ready
iter6_cv_split4,amp,trading,time,volume,div,breakout,wedge,good,bullish,dip
iter6_cv_split5,trading,time,amp,cloud,breakout,buy,soon,market,update,huge
iter7_cv_split1,trading,amp,cloud,time,div,dip,soon,huge,bullish,wedge
iter7_cv_split2,amp,trading,time,breakout,buy,cloud,close,bullish,wedge,soon
iter7_cv_split3,trading,time,breakout,amp,buy,soon,close,cloud,bullish,bull
iter7_cv_split4,amp,trading,time,dip,soon,close,div,breakout,update,bull
