,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,mustread,holders,denial,lose,shitcoin,buying,abc,sold,kindly,calm
iter1_cv_split2,denial,holders,mustread,price,people,lose,value,abc,kindly,sold
iter1_cv_split3,mustread,denial,holders,buying,transfer,calm,kindly,sold,abc,gives
iter1_cv_split4,denial,holders,mustread,transfer,people,lose,value,abc,kindly,sold
iter1_cv_split5,buying,transfer,people,shitcoin,currently,price,credits,satoshi,lose,humanity
iter2_cv_split1,mustread,holders,denial,lose,people,value,abc,calm,kindly,sold
iter2_cv_split2,denial,holders,mustread,price,lose,coin,value,shitcoin,credits,hope
iter2_cv_split3,lose,transfer,gives,resistance,abc,calm,kindly,sold,buying,currently
iter2_cv_split4,denial,holders,mustread,buying,transfer,people,value,kindly,calm,sold
iter2_cv_split5,denial,holders,mustread,transfer,people,abc,kindly,calm,sold,price
iter3_cv_split1,denial,mustread,holders,transfer,lose,value,credits,coin,currently,price
iter3_cv_split2,price,lose,abc,kindly,calm,sold,value,sell,people,shitcoin
iter3_cv_split3,denial,holders,mustread,lose,shitcoin,kindly,calm,sold,abc,value
iter3_cv_split4,holders,mustread,denial,lose,people,transfer,gives,kindly,sold,abc
iter3_cv_split5,denial,holders,mustread,transfer,people,currently,buying,kindly,calm,sold
iter4_cv_split1,holders,mustread,denial,lose,transfer,people,buying,shitcoin,gives,resistance
iter4_cv_split2,denial,holders,mustread,transfer,lose,gives,abc,kindly,calm,sold
iter4_cv_split3,holders,mustread,denial,currently,abc,sold,calm,kindly,cure,source
iter4_cv_split4,buying,denial,holders,mustread,value,people,kindly,calm,sold,abc
iter4_cv_split5,transfer,lose,people,price,value,coin,abc,sold,calm,kindly
iter5_cv_split1,denial,holders,mustread,lose,people,value,buying,kindly,calm,sold
iter5_cv_split2,transfer,people,coin,abc,sold,kindly,calm,shitcoin,currently,satoshi
iter5_cv_split3,denial,holders,mustread,price,gives,lose,shitcoin,calm,kindly,abc
iter5_cv_split4,denial,mustread,holders,buying,transfer,people,lose,value,shitcoin,price
iter5_cv_split5,mustread,denial,holders,transfer,value,kindly,calm,sold,abc,buying
iter6_cv_split1,mustread,denial,holders,lose,value,kindly,sold,abc,calm,people
iter6_cv_split2,denial,holders,mustread,transfer,value,abc,kindly,calm,sold,buying
iter6_cv_split3,lose,transfer,people,abc,calm,sold,kindly,shitcoin,gives,trying
iter6_cv_split4,mustread,denial,holders,buying,people,coin,shitcoin,calm,kindly,sold
iter6_cv_split5,denial,mustread,holders,transfer,lose,gives,buying,value,currently,credits
iter7_cv_split1,transfer,lose,people,abc,kindly,sold,calm,currently,humanity,hope
