,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,trading,bull,time,market,support,amp,volume,look,broke,soon
iter1_cv_split2,bull,amp,support,time,trading,market,cloud,bullish,rsi,volume
iter1_cv_split3,trading,bull,time,amp,support,market,cloud,huge,breakout,bullish
iter1_cv_split4,trading,bull,amp,time,market,support,rsi,div,breakout,update
iter1_cv_split5,trading,bull,amp,bullish,huge,market,time,volume,look,close
iter2_cv_split1,trading,bull,time,amp,support,close,div,breakout,bullish,market
iter2_cv_split2,trading,bull,time,amp,volume,support,market,look,bullish,good
iter2_cv_split3,trading,bull,amp,market,huge,bullish,volume,close,cloud,look
iter2_cv_split4,trading,bull,time,amp,market,bullish,cloud,huge,support,div
iter2_cv_split5,trading,bull,support,volume,market,amp,time,cloud,breakout,broke
iter3_cv_split1,trading,bull,time,support,amp,cloud,bullish,volume,look,div
iter3_cv_split2,bull,trading,amp,support,volume,bullish,market,look,breakout,time
iter3_cv_split3,trading,time,bull,amp,market,close,support,long,soon,bullish
iter3_cv_split4,bull,trading,amp,time,market,support,huge,bullish,div,cloud
iter3_cv_split5,trading,time,bull,volume,huge,market,rsi,breakout,broke,dip
iter4_cv_split1,trading,time,bull,market,amp,support,cloud,huge,bullish,rsi
iter4_cv_split2,trading,amp,time,market,volume,bull,close,good,target,bullish
iter4_cv_split3,bull,trading,market,volume,amp,div,rsi,time,bullish,huge
iter4_cv_split4,bull,trading,time,amp,market,bullish,support,div,volume,breakout
iter4_cv_split5,trading,bull,time,amp,support,div,breakout,bitcoin,dip,look
iter5_cv_split1,trading,time,amp,bull,market,volume,close,breakout,look,support
iter5_cv_split2,bull,trading,amp,market,time,support,div,bullish,rsi,breakout
iter5_cv_split3,trading,bull,time,amp,support,market,look,huge,volume,rsi
iter5_cv_split4,trading,bull,time,bullish,amp,cloud,div,close,wedge,market
iter5_cv_split5,bull,trading,amp,support,time,breakout,volume,huge,update,bitcoin
iter6_cv_split1,bull,trading,amp,volume,time,support,market,rsi,good,target
iter6_cv_split2,bull,trading,market,time,amp,support,huge,volume,soon,bitcoin
iter6_cv_split3,trading,bull,amp,market,time,support,close,breakout,div,volume
iter6_cv_split4,trading,time,bull,amp,bullish,volume,cloud,market,look,buy
iter6_cv_split5,trading,bull,time,amp,bullish,support,market,close,rsi,bitcoin
iter7_cv_split1,bull,trading,time,amp,bullish,support,div,market,huge,look
iter7_cv_split2,trading,bull,time,amp,bullish,market,breakout,support,like,div
iter7_cv_split3,trading,bull,amp,time,cloud,volume,support,huge,close,long
iter7_cv_split4,trading,bull,amp,support,market,volume,bullish,time,cloud,rsi
iter7_cv_split5,trading,bull,market,amp,time,cloud,volume,rsi,support,breakout
iter8_cv_split1,trading,bull,time,market,amp,volume,rsi,long,breakout,support
iter8_cv_split2,trading,bull,time,amp,like,huge,cloud,wedge,div,target
iter8_cv_split3,trading,bull,amp,support,time,bullish,market,huge,look,rsi
iter8_cv_split4,bull,trading,time,amp,volume,support,bullish,breakout,market,cloud
iter8_cv_split5,trading,amp,bull,time,support,market,volume,bullish,cloud,close
iter9_cv_split1,bull,amp,time,trading,bullish,volume,market,support,cloud,look
iter9_cv_split2,trading,time,bull,market,amp,volume,support,close,huge,like
iter9_cv_split3,trading,bull,support,time,amp,market,volume,bullish,huge,breakout
iter9_cv_split4,trading,bull,amp,time,support,market,look,wedge,huge,bitcoin
iter9_cv_split5,trading,bull,amp,time,div,cloud,good,bitcoin,rsi,target
iter10_cv_split1,trading,time,market,amp,volume,bullish,bull,huge,support,cloud
iter10_cv_split2,trading,bull,time,bullish,support,div,market,huge,like,look
iter10_cv_split3,bull,amp,trading,time,volume,look,support,cloud,breakout,close
iter10_cv_split4,trading,bull,amp,time,bullish,support,market,look,huge,breakout
iter10_cv_split5,trading,bull,amp,time,market,support,volume,div,broke,breakout
iter11_cv_split1,trading,bull,market,amp,time,bullish,huge,close,rsi,long
iter11_cv_split2,bull,time,trading,amp,close,support,target,long,look,rsi
iter11_cv_split3,trading,time,bull,support,volume,amp,market,cloud,bullish,breakout
iter11_cv_split4,trading,bull,amp,support,volume,market,breakout,huge,like,div
iter11_cv_split5,trading,bull,amp,time,support,bullish,div,volume,huge,cloud
