,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,let,need,decent,buy,undervalued,bullish,breakout,cheap,closely,watch
iter1_cv_split2,need,let,bullish,cheap,buy,undervalued,update,looks,dip,mil
iter1_cv_split3,cheap,bullish,buy,dot,finally,undervalued,closely,watch,right,breakout
iter1_cv_split4,let,need,cheap,dot,buy,bought,bullish,opportunity,nice,ve
iter1_cv_split5,need,let,dot,undervalued,good,buy,mil,masternodes,bullish,bought
iter2_cv_split1,let,cheap,buy,bullish,volume,undervalued,bought,need,decent,watch
iter2_cv_split2,need,let,dot,bullish,buy,buying,dip,bought,looks,mil
iter2_cv_split3,cheap,dot,bullish,need,buy,finally,mil,masternodes,red,undervalued
iter2_cv_split4,need,cheap,let,buy,bought,undervalued,good,bullish,masternodes,mil
iter2_cv_split5,buy,undervalued,dot,breakout,high,nice,closely,watch,looks,soon
iter3_cv_split1,need,let,dot,buy,bought,bullish,finally,undervalued,btc,cheap
iter3_cv_split2,cheap,bullish,buy,undervalued,let,breakout,bought,finally,btc,closely
iter3_cv_split3,need,let,dot,bullish,good,undervalued,buy,mil,masternodes,soon
iter3_cv_split4,need,let,cheap,buy,buying,looks,bullish,update,decent,nice
iter3_cv_split5,need,cheap,dot,buy,red,undervalued,bullish,mil,masternodes,good
iter4_cv_split1,need,cheap,let,dot,buy,bullish,bought,closely,watch,undervalued
iter4_cv_split2,cheap,buy,dot,bullish,undervalued,right,escaped,masternodes,mil,breakout
iter4_cv_split3,buy,dot,undervalued,bullish,good,watch,closely,bought,nice,btc
iter4_cv_split4,need,let,cheap,dot,bullish,buy,finally,mil,good,masternodes
iter4_cv_split5,let,need,decent,buy,update,looks,dip,bullish,sunday,soon
iter5_cv_split1,let,cheap,bullish,decent,need,bought,buy,opportunity,finally,escalation
iter5_cv_split2,need,let,cheap,buy,dot,undervalued,bullish,mil,masternodes,closely
iter5_cv_split3,dot,bullish,red,need,escaped,buy,undervalued,watch,closely,good
iter5_cv_split4,need,buy,let,dot,right,undervalued,good,bullish,btc,looks
iter5_cv_split5,let,cheap,update,bullish,buy,undervalued,dot,masternodes,mil,buying
iter6_cv_split1,let,need,cheap,dot,undervalued,buy,buying,good,looks,dip
iter6_cv_split2,buy,cheap,bullish,dot,undervalued,red,looks,good,watch,closely
iter6_cv_split3,need,let,cheap,bullish,undervalued,mil,good,masternodes,soon,buy
iter6_cv_split4,cheap,buy,bullish,dot,need,finally,bought,escaped,looks,masternodes
iter6_cv_split5,let,decent,need,bullish,bought,buy,undervalued,closely,watch,breakout
iter7_cv_split1,cheap,bullish,buy,breakout,undervalued,bought,looks,watch,closely,finally
iter7_cv_split2,cheap,escaped,bullish,update,buy,good,buying,need,soon,sunday
iter7_cv_split3,let,need,buy,cheap,dot,bullish,undervalued,right,watch,closely
iter7_cv_split4,need,let,dot,buy,undervalued,right,watch,closely,breakout,nice
iter7_cv_split5,need,let,dot,bought,bullish,buy,mil,undervalued,masternodes,cheap
iter8_cv_split1,need,cheap,dot,buy,update,undervalued,bullish,decent,red,sunday
iter8_cv_split2,need,let,bullish,buy,mil,masternodes,bought,undervalued,btc,good
iter8_cv_split3,let,cheap,bullish,buy,need,decent,masternodes,mil,looks,bought
iter8_cv_split4,buy,cheap,bullish,undervalued,dot,good,escaped,bought,nice,mil
iter8_cv_split5,let,need,cheap,dot,buy,undervalued,soon,breakout,watch,closely
iter9_cv_split1,need,let,cheap,buy,dot,bullish,bought,nice,closely,watch
iter9_cv_split2,need,let,cheap,undervalued,buy,mil,masternodes,breakout,closely,watch
iter9_cv_split3,buy,bullish,dot,bought,need,finally,escaped,mil,masternodes,red
iter9_cv_split4,let,cheap,bullish,breakout,buy,closely,watch,good,undervalued,bought
iter9_cv_split5,need,cheap,dot,good,buy,undervalued,bullish,update,looks,buying
iter10_cv_split1,bullish,buy,bought,escaped,undervalued,red,mil,watch,closely,looks
iter10_cv_split2,let,buy,cheap,soon,undervalued,good,nice,finally,dot,looks
iter10_cv_split3,need,cheap,dot,bullish,undervalued,decent,finally,bought,good,red
iter10_cv_split4,need,let,dot,buy,bullish,undervalued,masternodes,mil,cheap,buying
iter10_cv_split5,need,cheap,buy,let,dot,right,bullish,watch,closely,good
