,full_test_accs,full_test_aucs,full_test_null_accs,full_train_accs,full_train_aucs,full_train_null_accs
iter1_cv_split1,0.8125,0.48148148148148145,0.84375,1.0,1.0,0.8387096774193549
iter1_cv_split2,0.8387096774193549,0.5807692307692307,0.8387096774193549,1.0,1.0,0.84
iter1_cv_split3,0.8064516129032258,0.5615384615384615,0.8387096774193549,1.0,1.0,0.84
iter1_cv_split4,0.8064516129032258,0.5615384615384615,0.8387096774193549,1.0,1.0,0.84
iter1_cv_split5,0.7741935483870968,0.5423076923076923,0.8387096774193549,1.0,1.0,0.84
iter2_cv_split1,0.8125,0.48148148148148145,0.84375,1.0,1.0,0.8387096774193549
iter2_cv_split2,0.8387096774193549,0.5,0.8387096774193549,1.0,1.0,0.84
iter2_cv_split3,0.8387096774193549,0.5,0.8387096774193549,1.0,1.0,0.84
iter2_cv_split4,0.8064516129032258,0.4807692307692308,0.8387096774193549,1.0,1.0,0.84
iter2_cv_split5,0.8064516129032258,0.7230769230769232,0.8387096774193549,1.0,1.0,0.84
iter3_cv_split1,0.78125,0.46296296296296297,0.84375,1.0,1.0,0.8387096774193549
iter3_cv_split2,0.8709677419354839,0.6,0.8387096774193549,1.0,1.0,0.84
iter3_cv_split3,0.8387096774193549,0.5,0.8387096774193549,1.0,1.0,0.84
iter3_cv_split4,0.7741935483870968,0.46153846153846156,0.8387096774193549,1.0,1.0,0.84
iter3_cv_split5,0.8387096774193549,0.5807692307692307,0.8387096774193549,1.0,1.0,0.84
iter4_cv_split1,0.8125,0.48148148148148145,0.84375,1.0,1.0,0.8387096774193549
iter4_cv_split2,0.8387096774193549,0.5,0.8387096774193549,1.0,1.0,0.84
iter4_cv_split3,0.7741935483870968,0.5423076923076923,0.8387096774193549,1.0,1.0,0.84
iter4_cv_split4,0.8387096774193549,0.5,0.8387096774193549,1.0,1.0,0.84
iter4_cv_split5,0.7741935483870968,0.46153846153846156,0.8387096774193549,1.0,1.0,0.84
iter5_cv_split1,0.875,0.6814814814814815,0.84375,1.0,1.0,0.8387096774193549
iter5_cv_split2,0.8064516129032258,0.4807692307692308,0.8387096774193549,1.0,1.0,0.84
iter5_cv_split3,0.8387096774193549,0.5807692307692307,0.8387096774193549,1.0,1.0,0.84
iter5_cv_split4,0.8387096774193549,0.5,0.8387096774193549,1.0,1.0,0.84
iter5_cv_split5,0.8709677419354839,0.6807692307692308,0.8387096774193549,1.0,1.0,0.84
iter6_cv_split1,0.875,0.6,0.84375,1.0,1.0,0.8387096774193549
iter6_cv_split2,0.7741935483870968,0.46153846153846156,0.8387096774193549,1.0,1.0,0.84
iter6_cv_split3,0.8064516129032258,0.5615384615384615,0.8387096774193549,1.0,1.0,0.84
iter6_cv_split4,0.8064516129032258,0.5615384615384615,0.8387096774193549,1.0,1.0,0.84
iter6_cv_split5,0.8387096774193549,0.5807692307692307,0.8387096774193549,1.0,1.0,0.84
iter7_cv_split1,0.84375,0.662962962962963,0.84375,1.0,1.0,0.8387096774193549
iter7_cv_split2,0.7741935483870968,0.46153846153846156,0.8387096774193549,1.0,1.0,0.84
iter7_cv_split3,0.8709677419354839,0.6,0.8387096774193549,1.0,1.0,0.84
iter7_cv_split4,0.7741935483870968,0.46153846153846156,0.8387096774193549,1.0,1.0,0.84
iter7_cv_split5,0.8387096774193549,0.5807692307692307,0.8387096774193549,1.0,1.0,0.84
iter8_cv_split1,0.84375,0.5814814814814815,0.84375,1.0,1.0,0.8387096774193549
iter8_cv_split2,0.8387096774193549,0.5807692307692307,0.8387096774193549,1.0,1.0,0.84
iter8_cv_split3,0.9032258064516129,0.7,0.8387096774193549,1.0,1.0,0.84
iter8_cv_split4,0.8387096774193549,0.5,0.8387096774193549,1.0,1.0,0.84
iter8_cv_split5,0.8387096774193549,0.5,0.8387096774193549,1.0,1.0,0.84
iter9_cv_split1,0.8125,0.48148148148148145,0.84375,1.0,1.0,0.8387096774193549
iter9_cv_split2,0.8064516129032258,0.5615384615384615,0.8387096774193549,1.0,1.0,0.84
iter9_cv_split3,0.8387096774193549,0.5807692307692307,0.8387096774193549,1.0,1.0,0.84
iter9_cv_split4,0.8064516129032258,0.4807692307692308,0.8387096774193549,1.0,1.0,0.84
iter9_cv_split5,0.8387096774193549,0.5807692307692307,0.8387096774193549,1.0,1.0,0.84
iter10_cv_split1,0.78125,0.46296296296296297,0.84375,1.0,1.0,0.8387096774193549
iter10_cv_split2,0.7419354838709677,0.5230769230769231,0.8387096774193549,1.0,1.0,0.84
iter10_cv_split3,0.7741935483870968,0.5423076923076923,0.8387096774193549,1.0,1.0,0.84
