,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,came,market,far,continuation,hamps,downtrend,cap,total,pullback,hope
iter1_cv_split2,market,far,accumulating,hope,total,probably,exit,scenario,optimistic,hamps
iter1_cv_split3,came,far,accumulating,hope,continuation,pullback,escape,wants,total,downtrend
iter1_cv_split4,came,far,hope,accumulating,exit,continuation,declining,market,pullback,probably
iter1_cv_split5,came,market,price,total,exit,hamps,accumulating,check,little,declining
iter2_cv_split1,came,far,total,hope,accumulating,escape,wants,downtrend,grabbed,started
iter2_cv_split2,market,far,hope,hamps,total,continuation,declining,exit,pullback,escape
iter2_cv_split3,came,market,far,accumulating,hamps,hope,escape,wants,exit,pullback
iter2_cv_split4,came,market,accumulating,total,continuation,pullback,exit,probably,hamps,far
iter2_cv_split5,came,downtrend,hope,exit,market,accumulating,continuation,grabbed,far,price
iter3_cv_split1,market,came,far,continuation,hamps,hope,total,cap,declining,downtrend
iter3_cv_split2,came,accumulating,exit,far,hope,escape,wants,hamps,market,continuation
iter3_cv_split3,came,market,pullback,total,continuation,accumulating,exit,declining,price,probably
iter3_cv_split4,far,hope,accumulating,total,hamps,probably,escape,wants,scenario,spotted
iter3_cv_split5,came,far,market,continuation,accumulating,exit,escaped,grabbed,hope,declining
iter4_cv_split1,came,far,hope,accumulating,total,continuation,declining,pullback,probably,hamps
iter4_cv_split2,came,far,market,accumulating,escape,wants,continuation,exit,pullback,probably
iter4_cv_split3,came,market,downtrend,far,continuation,hope,escaped,exit,hamps,started
iter4_cv_split4,came,market,accumulating,total,exit,hamps,declining,little,escape,wants
iter4_cv_split5,far,hope,exit,price,hamps,market,continuation,probably,accumulating,resistance
iter5_cv_split1,came,accumulating,hope,exit,continuation,pullback,probably,market,far,grabbed
iter5_cv_split2,came,far,hope,accumulating,total,hamps,declining,check,continuation,escape
iter5_cv_split3,came,market,far,continuation,wants,escape,accumulating,exit,price,pullback
iter5_cv_split4,came,market,far,hope,continuation,total,pullback,hamps,exit,started
iter5_cv_split5,market,accumulating,total,hamps,downtrend,exit,probably,decision,point,far
iter6_cv_split1,accumulating,far,hope,downtrend,continuation,little,resistance,check,pullback,declining
iter6_cv_split2,came,far,market,downtrend,accumulating,continuation,escaped,exit,hamps,grabbed
iter6_cv_split3,came,market,accumulating,total,exit,hamps,scenario,probably,overbought,spotted
iter6_cv_split4,came,far,accumulating,market,hope,pullback,escape,wants,probably,exit
iter6_cv_split5,came,market,far,hope,continuation,pullback,hamps,cap,total,downtrend
