,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,buy,good,breakout,nice,looks,update,undervalued,high,ath,bought
iter1_cv_split2,buy,update,good,breakout,looks,dip,buying,nice,bought,high
iter1_cv_split3,buy,good,looks,nice,breakout,update,bought,bounce,imo,bullish
iter1_cv_split4,buy,good,nice,let,breakout,bought,update,high,looks,cheap
iter1_cv_split5,good,buy,update,looks,nice,breakout,bought,undervalued,imo,soon
iter2_cv_split1,buy,good,volume,bought,looks,high,breakout,undervalued,bullish,btc
iter2_cv_split2,buy,good,buying,looks,breakout,nice,bought,update,dip,imo
iter2_cv_split3,good,breakout,buy,nice,looks,update,imo,bullish,bought,btc
iter2_cv_split4,buy,good,nice,breakout,looks,update,undervalued,bounce,bought,cheap
iter2_cv_split5,buy,update,good,nice,breakout,looks,high,undervalued,ath,bounce
iter3_cv_split1,buy,good,nice,update,bought,looks,high,imo,undervalued,breakout
iter3_cv_split2,buy,breakout,good,nice,looks,bought,high,imo,undervalued,bullish
iter3_cv_split3,good,buy,update,nice,looks,breakout,bought,soon,undervalued,high
iter3_cv_split4,buy,buying,looks,breakout,good,update,nice,amp,high,imo
iter3_cv_split5,buy,good,breakout,nice,update,looks,bought,bounce,need,imo
iter4_cv_split1,buy,good,nice,update,breakout,bought,looks,bounce,undervalued,high
iter4_cv_split2,buy,nice,breakout,good,looks,undervalued,bullish,btc,bounce,high
iter4_cv_split3,buy,good,update,nice,looks,high,breakout,bought,undervalued,bounce
iter4_cv_split4,good,buy,breakout,looks,soon,nice,amp,bought,imo,cheap
iter4_cv_split5,buy,update,good,looks,breakout,nice,dip,let,bought,imo
iter5_cv_split1,buy,good,breakout,update,nice,looks,imo,bought,cheap,bullish
iter5_cv_split2,buy,breakout,good,looks,nice,update,high,undervalued,bought,btc
iter5_cv_split3,buy,good,nice,looks,update,breakout,imo,high,undervalued,bounce
iter5_cv_split4,buy,good,looks,bought,breakout,nice,right,need,opportunity,undervalued
iter5_cv_split5,buy,good,update,nice,buying,looks,soon,breakout,bounce,bought
iter6_cv_split1,buy,good,looks,buying,update,nice,dip,breakout,bounce,let
iter6_cv_split2,buy,breakout,good,nice,looks,imo,update,undervalued,bounce,bought
iter6_cv_split3,good,buy,update,nice,soon,breakout,high,looks,amp,undervalued
iter6_cv_split4,buy,good,breakout,looks,nice,update,bought,bullish,high,cheap
iter6_cv_split5,buy,breakout,good,nice,bought,looks,update,high,bullish,imo
iter7_cv_split1,buy,breakout,good,nice,update,bought,looks,imo,bullish,high
iter7_cv_split2,good,buy,update,buying,nice,soon,breakout,looks,dip,high
iter7_cv_split3,buy,good,looks,nice,let,breakout,high,bought,undervalued,update
iter7_cv_split4,buy,breakout,good,looks,nice,update,bounce,bought,ath,need
iter7_cv_split5,buy,good,bought,looks,nice,amp,undervalued,bounce,high,bullish
iter8_cv_split1,buy,update,breakout,looks,good,high,need,bought,nice,undervalued
iter8_cv_split2,buy,good,nice,bought,looks,amp,bounce,imo,update,breakout
iter8_cv_split3,buy,breakout,good,looks,nice,bought,update,imo,bullish,high
iter8_cv_split4,buy,good,update,nice,looks,breakout,bought,soon,cheap,high
iter8_cv_split5,breakout,buy,good,nice,looks,let,undervalued,bounce,imo,cheap
iter9_cv_split1,buy,good,nice,bought,looks,update,imo,bounce,breakout,bullish
iter9_cv_split2,buy,breakout,good,looks,nice,bought,imo,update,bounce,need
iter9_cv_split3,buy,nice,good,breakout,bought,looks,update,amp,bullish,high
iter9_cv_split4,good,breakout,buy,looks,let,nice,update,high,undervalued,cheap
iter9_cv_split5,buy,good,update,looks,nice,undervalued,buying,breakout,high,bounce
iter10_cv_split1,buy,breakout,good,looks,bought,update,nice,undervalued,bullish,bounce
iter10_cv_split2,buy,good,nice,update,soon,looks,breakout,let,undervalued,high
iter10_cv_split3,buy,good,looks,nice,high,update,breakout,undervalued,imo,need
iter10_cv_split4,buy,update,breakout,nice,buying,good,dip,bought,looks,bounce
iter10_cv_split5,buy,good,nice,looks,breakout,high,bought,bounce,update,right
iter11_cv_split1,buy,breakout,good,looks,nice,update,imo,ath,cheap,undervalued
iter11_cv_split2,buy,good,nice,update,looks,bought,breakout,undervalued,bounce,high
iter11_cv_split3,buy,good,looks,breakout,nice,bought,high,imo,support,bounce
iter11_cv_split4,buy,update,good,looks,nice,dip,soon,breakout,bought,buying
iter11_cv_split5,buy,good,nice,breakout,looks,update,bought,need,high,undervalued
iter12_cv_split1,buy,good,nice,looks,bought,high,imo,breakout,btc,undervalued
iter12_cv_split2,good,buy,soon,let,nice,update,bought,looks,breakout,undervalued
iter12_cv_split3,buy,breakout,update,good,looks,buying,nice,bullish,dip,bounce
iter12_cv_split4,buy,update,good,bought,looks,nice,breakout,bounce,undervalued,need
iter12_cv_split5,buy,breakout,good,nice,update,looks,bought,high,imo,undervalued
iter13_cv_split1,update,buy,good,buying,looks,dip,bought,breakout,high,nice
iter13_cv_split2,good,buy,update,nice,breakout,soon,looks,undervalued,need,bullish
iter13_cv_split3,buy,breakout,good,looks,nice,high,amp,bullish,imo,cheap
iter13_cv_split4,buy,good,nice,looks,bought,update,breakout,bounce,escaped,imo
iter13_cv_split5,buy,good,nice,looks,bought,let,update,undervalued,breakout,high
iter14_cv_split1,buy,looks,good,breakout,update,nice,let,bought,imo,undervalued
iter14_cv_split2,buy,good,looks,high,breakout,nice,amp,bounce,bullish,update
iter14_cv_split3,good,breakout,buy,update,nice,looks,soon,bought,undervalued,bullish
iter14_cv_split4,buy,looks,good,nice,bought,imo,high,bullish,breakout,btc
iter14_cv_split5,buy,good,update,breakout,dip,nice,high,buying,imo,bought
iter15_cv_split1,buy,nice,good,update,looks,breakout,bought,amp,bounce,bullish
iter15_cv_split2,buy,breakout,nice,good,looks,update,bullish,bought,imo,undervalued
iter15_cv_split3,buy,update,good,nice,breakout,buying,dip,looks,bought,imo
iter15_cv_split4,good,buy,breakout,looks,update,high,support,imo,undervalued,nice
iter15_cv_split5,buy,good,looks,breakout,nice,bought,high,need,update,imo
iter16_cv_split1,buy,good,nice,update,let,breakout,looks,imo,undervalued,bounce
iter16_cv_split2,good,buy,update,breakout,nice,looks,soon,high,undervalued,ready
iter16_cv_split3,buy,update,looks,buying,nice,good,dip,breakout,bounce,bought
iter16_cv_split4,buy,breakout,good,looks,nice,bought,imo,cheap,bullish,update
iter16_cv_split5,buy,good,nice,bought,breakout,looks,bullish,ath,need,update
iter17_cv_split1,buy,update,nice,buying,dip,good,looks,breakout,bought,let
iter17_cv_split2,buy,breakout,good,update,nice,looks,bought,high,bullish,imo
iter17_cv_split3,good,buy,looks,nice,soon,update,breakout,need,amp,cheap
iter17_cv_split4,buy,good,breakout,nice,looks,bought,high,update,imo,undervalued
iter17_cv_split5,buy,good,nice,looks,breakout,update,bought,bounce,bullish,imo
iter18_cv_split1,buy,breakout,looks,good,nice,bought,undervalued,imo,update,bounce
iter18_cv_split2,buy,good,bought,nice,breakout,high,amp,imo,looks,bullish
iter18_cv_split3,good,buy,nice,looks,update,let,high,bought,undervalued,need
iter18_cv_split4,buy,breakout,good,nice,looks,update,imo,bought,high,bounce
iter18_cv_split5,buy,update,good,looks,nice,breakout,buying,bounce,undervalued,bought
iter19_cv_split1,buy,good,buying,looks,update,breakout,nice,dip,imo,bounce
iter19_cv_split2,buy,breakout,nice,looks,good,bought,update,high,undervalued,need
iter19_cv_split3,good,buy,update,breakout,nice,volume,looks,bought,undervalued,bullish
iter19_cv_split4,buy,good,nice,breakout,looks,bought,high,update,bullish,imo
iter19_cv_split5,buy,good,looks,breakout,nice,high,imo,btc,undervalued,bounce
iter20_cv_split1,buy,breakout,update,good,looks,bought,nice,undervalued,imo,bounce
iter20_cv_split2,good,buy,nice,looks,bought,strong,breakout,update,high,imo
iter20_cv_split3,buy,nice,good,looks,bought,breakout,update,bounce,cheap,imo
iter20_cv_split4,buy,update,good,nice,buying,bought,breakout,dip,bounce,amp
iter20_cv_split5,buy,good,breakout,looks,high,update,nice,undervalued,bullish,need
iter21_cv_split1,buy,update,looks,nice,good,breakout,imo,bought,bullish,bounce
iter21_cv_split2,buy,good,nice,breakout,bought,high,looks,undervalued,update,bullish
iter21_cv_split3,buy,breakout,good,looks,high,bought,nice,let,undervalued,bounce
iter21_cv_split4,buy,good,update,breakout,nice,bought,looks,amp,imo,high
iter21_cv_split5,good,buy,update,nice,buying,looks,breakout,bounce,undervalued,bullish
iter22_cv_split1,buy,good,bought,looks,update,high,bullish,nice,cheap,right
iter22_cv_split2,buy,good,nice,amp,looks,breakout,bought,undervalued,need,imo
iter22_cv_split3,buy,breakout,looks,good,nice,update,let,bought,undervalued,bullish
iter22_cv_split4,buy,breakout,update,good,buying,nice,looks,bounce,dip,imo
iter22_cv_split5,good,buy,nice,looks,update,breakout,high,soon,imo,need
iter23_cv_split1,buy,good,update,looks,nice,soon,undervalued,imo,high,breakout
iter23_cv_split2,buy,breakout,good,nice,looks,bought,imo,undervalued,update,ath
iter23_cv_split3,breakout,buy,good,looks,update,bought,undervalued,nice,high,st
iter23_cv_split4,buy,good,nice,update,bought,breakout,looks,undervalued,imo,bullish
iter23_cv_split5,buy,nice,buying,good,looks,update,dip,breakout,bought,amp
iter24_cv_split1,buy,breakout,good,update,bought,looks,nice,imo,high,undervalued
iter24_cv_split2,buy,good,buying,breakout,looks,update,nice,dip,bought,imo
iter24_cv_split3,buy,good,breakout,nice,looks,update,soon,imo,bought,high
iter24_cv_split4,buy,update,good,looks,nice,high,bounce,bought,breakout,ath
iter24_cv_split5,buy,good,nice,looks,let,breakout,bought,undervalued,need,bullish
iter25_cv_split1,buy,update,breakout,good,nice,buying,looks,bought,bounce,high
iter25_cv_split2,buy,good,looks,nice,breakout,high,bought,imo,update,ath
iter25_cv_split3,buy,good,nice,breakout,looks,let,update,bought,imo,undervalued
iter25_cv_split4,buy,good,nice,looks,breakout,update,bought,imo,high,bullish
iter25_cv_split5,good,buy,soon,looks,breakout,strong,update,nice,bought,imo
iter26_cv_split1,buy,good,update,looks,soon,breakout,nice,buying,imo,bought
iter26_cv_split2,buy,good,update,nice,breakout,high,bounce,undervalued,bullish,let
iter26_cv_split3,buy,good,breakout,looks,nice,amp,high,bought,undervalued,need
iter26_cv_split4,buy,good,nice,update,looks,bought,breakout,need,imo,bounce
iter26_cv_split5,buy,breakout,looks,good,nice,update,imo,high,bought,bullish
iter27_cv_split1,buy,good,breakout,bought,looks,update,nice,bounce,high,undervalued
iter27_cv_split2,buy,good,breakout,nice,looks,high,undervalued,imo,let,btc
iter27_cv_split3,buy,update,good,buying,looks,dip,breakout,bought,imo,high
iter27_cv_split4,buy,good,update,nice,breakout,looks,bought,undervalued,volume,soon
iter27_cv_split5,buy,good,nice,breakout,looks,high,update,bounce,bought,imo
iter28_cv_split1,buy,update,buying,good,nice,breakout,looks,imo,bounce,bullish
iter28_cv_split2,buy,good,looks,breakout,high,nice,update,imo,bought,undervalued
iter28_cv_split3,buy,breakout,update,volume,good,nice,looks,bought,undervalued,cheap
iter28_cv_split4,buy,good,breakout,looks,nice,soon,update,undervalued,bought,need
iter28_cv_split5,buy,good,looks,nice,update,amp,high,bought,let,imo
iter29_cv_split1,buy,good,nice,bought,breakout,update,looks,imo,need,bullish
iter29_cv_split2,buy,good,update,breakout,looks,buying,dip,bought,undervalued,bullish
iter29_cv_split3,buy,good,breakout,nice,update,high,looks,imo,bought,undervalued
iter29_cv_split4,buy,nice,good,looks,breakout,bought,let,bounce,update,undervalued
iter29_cv_split5,buy,good,nice,update,looks,breakout,soon,strong,high,bullish
iter30_cv_split1,buy,good,nice,looks,breakout,high,amp,undervalued,bought,bullish
iter30_cv_split2,good,buy,update,let,looks,nice,breakout,bought,bounce,cheap
iter30_cv_split3,buy,breakout,update,good,nice,buying,looks,imo,bounce,high
iter30_cv_split4,buy,good,looks,bought,breakout,nice,btc,bullish,update,need
iter30_cv_split5,buy,breakout,good,update,looks,nice,bought,imo,bounce,high
iter31_cv_split1,buy,good,looks,nice,bought,update,breakout,let,high,undervalued
iter31_cv_split2,buy,good,nice,bought,breakout,amp,looks,high,imo,undervalued
iter31_cv_split3,buy,breakout,good,nice,looks,imo,high,update,need,ready
iter31_cv_split4,good,update,breakout,buy,looks,dip,nice,buying,soon,imo
iter31_cv_split5,buy,good,looks,nice,bought,update,bounce,undervalued,escaped,bullish
iter32_cv_split1,good,buy,breakout,update,looks,undervalued,high,need,imo,ath
iter32_cv_split2,buy,good,nice,looks,update,bought,breakout,high,cheap,imo
iter32_cv_split3,buy,good,nice,breakout,looks,high,bought,update,imo,need
iter32_cv_split4,buy,nice,good,looks,bought,update,breakout,bounce,imo,bullish
iter32_cv_split5,good,update,breakout,looks,buy,nice,buying,dip,let,bounce
iter33_cv_split1,buy,good,looks,nice,breakout,update,imo,bounce,high,bullish
iter33_cv_split2,buy,good,nice,looks,breakout,undervalued,imo,bought,bounce,bullish
iter33_cv_split3,buy,good,breakout,nice,looks,bought,imo,high,need,update
iter33_cv_split4,breakout,buy,update,good,looks,nice,buying,dip,bought,bullish
iter33_cv_split5,good,buy,update,soon,looks,nice,breakout,bought,high,undervalued
iter34_cv_split1,buy,good,nice,looks,breakout,bought,undervalued,let,amp,cheap
iter34_cv_split2,buy,good,breakout,update,looks,nice,undervalued,bought,bullish,soon
iter34_cv_split3,buy,good,update,looks,breakout,buying,nice,dip,bought,imo
iter34_cv_split4,buy,good,looks,nice,update,bought,breakout,imo,high,bounce
iter34_cv_split5,buy,update,good,breakout,nice,looks,high,bounce,imo,cheap
iter35_cv_split1,buy,breakout,good,nice,update,looks,high,imo,undervalued,bullish
iter35_cv_split2,buy,update,good,breakout,looks,buying,undervalued,bought,nice,bullish
iter35_cv_split3,buy,good,nice,breakout,looks,bought,high,amp,imo,cheap
iter35_cv_split4,good,buy,update,nice,breakout,looks,bought,soon,imo,undervalued
iter35_cv_split5,buy,good,nice,looks,breakout,bought,update,high,need,bounce
iter36_cv_split1,buy,good,update,bought,nice,amp,imo,undervalued,high,looks
iter36_cv_split2,buy,good,update,nice,looks,breakout,bought,undervalued,escaped,high
iter36_cv_split3,breakout,buy,good,looks,update,let,nice,buying,dip,imo
iter36_cv_split4,buy,good,looks,nice,soon,update,bought,breakout,need,bounce
iter36_cv_split5,buy,good,looks,breakout,nice,bought,high,imo,btc,need
iter37_cv_split1,buy,good,breakout,update,nice,buying,looks,bought,undervalued,imo
