,full_test_accs,full_test_aucs,full_test_null_accs,full_train_accs,full_train_aucs,full_train_null_accs
iter1_cv_split1,0.84375,0.6666666666666666,0.84375,0.9838709677419355,0.9995192307692308,0.8387096774193549
iter1_cv_split2,0.8709677419354839,0.6846153846153845,0.8387096774193549,0.976,1.0,0.84
iter1_cv_split3,0.8387096774193549,0.7615384615384615,0.8387096774193549,0.984,0.9995238095238095,0.84
iter1_cv_split4,0.8387096774193549,0.7307692307692308,0.8387096774193549,0.968,0.9995238095238095,0.84
iter1_cv_split5,0.8387096774193549,0.6576923076923077,0.8387096774193549,0.984,0.9980952380952381,0.84
iter2_cv_split1,0.84375,0.5925925925925926,0.84375,0.9838709677419355,0.9995192307692308,0.8387096774193549
iter2_cv_split2,0.8387096774193549,0.6615384615384614,0.8387096774193549,0.992,0.9995238095238095,0.84
iter2_cv_split3,0.8387096774193549,0.8076923076923077,0.8387096774193549,0.968,0.999047619047619,0.84
iter2_cv_split4,0.8387096774193549,0.6307692307692307,0.8387096774193549,0.984,0.9990476190476191,0.84
iter2_cv_split5,0.7741935483870968,0.8,0.8387096774193549,0.976,0.9995238095238095,0.84
iter3_cv_split1,0.84375,0.6888888888888889,0.84375,0.9838709677419355,0.9985576923076923,0.8387096774193549
iter3_cv_split2,0.8387096774193549,0.6538461538461539,0.8387096774193549,0.976,1.0,0.84
iter3_cv_split3,0.8387096774193549,0.7,0.8387096774193549,0.976,0.9980952380952381,0.84
iter3_cv_split4,0.8387096774193549,0.5615384615384615,0.8387096774193549,0.992,0.9995238095238095,0.84
iter3_cv_split5,0.8387096774193549,0.8769230769230769,0.8387096774193549,0.976,0.9990476190476191,0.84
iter4_cv_split1,0.84375,0.9407407407407408,0.84375,0.9838709677419355,0.9975961538461539,0.8387096774193549
iter4_cv_split2,0.8387096774193549,0.7846153846153846,0.8387096774193549,0.96,1.0,0.84
iter4_cv_split3,0.7741935483870968,0.7307692307692308,0.8387096774193549,0.992,0.9995238095238095,0.84
iter4_cv_split4,0.8387096774193549,0.5692307692307692,0.8387096774193549,0.968,0.9985714285714286,0.84
iter4_cv_split5,0.8387096774193549,0.4153846153846154,0.8387096774193549,0.984,1.0,0.84
iter5_cv_split1,0.84375,0.7407407407407407,0.84375,0.967741935483871,0.9990384615384615,0.8387096774193549
iter5_cv_split2,0.8387096774193549,0.7076923076923077,0.8387096774193549,0.968,0.9985714285714286,0.84
iter5_cv_split3,0.8387096774193549,0.8846153846153846,0.8387096774193549,0.976,0.999047619047619,0.84
iter5_cv_split4,0.8387096774193549,0.6230769230769231,0.8387096774193549,0.976,0.9990476190476191,0.84
iter5_cv_split5,0.8387096774193549,0.7,0.8387096774193549,0.992,1.0,0.84
iter6_cv_split1,0.84375,0.6444444444444444,0.84375,0.9919354838709677,0.9995192307692308,0.8387096774193549
iter6_cv_split2,0.7741935483870968,0.7000000000000001,0.8387096774193549,0.976,1.0,0.84
iter6_cv_split3,0.8387096774193549,0.7076923076923076,0.8387096774193549,0.984,0.9980952380952381,0.84
iter6_cv_split4,0.8387096774193549,0.6153846153846154,0.8387096774193549,0.976,1.0,0.84
iter6_cv_split5,0.8709677419354839,0.6923076923076923,0.8387096774193549,0.984,0.9995238095238095,0.84
iter7_cv_split1,0.8125,0.6074074074074074,0.84375,0.9838709677419355,0.9990384615384615,0.8387096774193549
iter7_cv_split2,0.8387096774193549,0.5153846153846154,0.8387096774193549,0.992,1.0,0.84
iter7_cv_split3,0.8387096774193549,0.7384615384615385,0.8387096774193549,0.968,0.9985714285714286,0.84
iter7_cv_split4,0.8387096774193549,0.6,0.8387096774193549,0.976,0.9980952380952381,0.84
iter7_cv_split5,0.8387096774193549,0.9538461538461539,0.8387096774193549,0.968,0.9985714285714286,0.84
iter8_cv_split1,0.84375,0.5925925925925926,0.84375,0.9838709677419355,1.0,0.8387096774193549
