,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,hamps,far,market,probably,came,continuation,pullback,resistance,hope,grabbed
iter1_cv_split2,far,market,hope,hamps,probably,moon,example,scenario,optimistic,accumulating
iter1_cv_split3,far,hope,came,hamps,pullback,continuation,resistance,accumulating,price,escape
iter1_cv_split4,far,hope,continuation,came,probably,resistance,example,pullback,exit,maybe
iter1_cv_split5,hamps,market,price,came,moon,example,exit,maybe,pants,wet
iter2_cv_split1,far,hope,hamps,came,moon,example,probably,price,grabbed,moral
iter2_cv_split2,hamps,far,market,hope,pullback,continuation,probably,example,resistance,exit
iter2_cv_split3,hamps,far,market,hope,came,resistance,pullback,escape,wants,price
iter2_cv_split4,market,hamps,probably,continuation,came,pullback,price,scenario,exit,pants
iter2_cv_split5,hope,downtrend,resistance,came,continuation,example,grabbed,far,price,pullback
iter3_cv_split1,hamps,market,far,resistance,continuation,hope,came,pullback,exit,escape
iter3_cv_split2,hamps,far,hope,resistance,came,pullback,probably,example,continuation,exit
iter3_cv_split3,pullback,market,came,continuation,probably,moon,example,price,accumulating,exit
iter3_cv_split4,hamps,far,hope,probably,scenario,maybe,accumulating,price,wants,escape
iter3_cv_split5,far,market,continuation,hamps,came,example,price,grabbed,hope,exit
iter4_cv_split1,far,hope,came,hamps,probably,continuation,pullback,price,accumulating,total
iter4_cv_split2,far,market,probably,continuation,came,pullback,hamps,resistance,escape,wants
iter4_cv_split3,far,market,hope,downtrend,hamps,came,continuation,example,grabbed,escaped
iter4_cv_split4,hamps,market,came,moon,probably,example,accumulating,price,exit,escape
iter4_cv_split5,hamps,far,resistance,hope,continuation,price,probably,example,pullback,exit
iter5_cv_split1,hope,continuation,came,pullback,probably,example,exit,hamps,price,far
iter5_cv_split2,hamps,far,hope,came,example,price,total,moon,declining,accumulating
iter5_cv_split3,far,market,came,resistance,continuation,example,pullback,price,grabbed,hope
iter5_cv_split4,hamps,far,market,hope,came,continuation,moon,pullback,probably,resistance
iter5_cv_split5,hamps,market,probably,volume,downtrend,accumulating,exit,maybe,price,pants
iter6_cv_split1,resistance,far,hope,continuation,hamps,maybe,downtrend,pullback,price,accumulating
iter6_cv_split2,hamps,far,market,downtrend,continuation,came,escaped,probably,example,hope
iter6_cv_split3,market,hamps,came,probably,example,scenario,moon,spotted,overbought,exit
iter6_cv_split4,far,hamps,hope,market,pullback,probably,came,resistance,escape,wants
iter6_cv_split5,market,far,hamps,hope,moon,came,continuation,pullback,example,rsi
iter7_cv_split1,hamps,far,resistance,escaped,market,hope,came,continuation,pullback,example
iter7_cv_split2,market,hamps,continuation,pullback,example,scenario,wants,escape,price,maybe
iter7_cv_split3,far,hope,hamps,continuation,came,probably,exit,maybe,accumulating,check
iter7_cv_split4,market,far,resistance,hamps,came,price,probably,example,pullback,moon
iter7_cv_split5,hope,hamps,came,example,probably,far,grabbed,moon,total,escape
iter8_cv_split1,far,market,hamps,continuation,resistance,example,pullback,downtrend,price,grabbed
iter8_cv_split2,hamps,hope,came,moon,probably,example,scenario,far,grabbed,total
iter8_cv_split3,far,hope,hamps,market,resistance,came,pullback,probably,continuation,example
iter8_cv_split4,market,hamps,came,continuation,moral,pants,wet,wants,escape,price
iter8_cv_split5,far,hope,hamps,pullback,came,price,probably,exit,accumulating,wants
iter9_cv_split1,market,far,hope,hamps,moon,came,pullback,continuation,example,resistance
iter9_cv_split2,far,market,probably,came,pullback,example,hamps,hope,grabbed,maybe
iter9_cv_split3,hamps,market,hope,probably,came,moon,escape,wants,exit,resistance
iter9_cv_split4,hamps,far,hope,came,pullback,continuation,probably,escaped,resistance,price
iter9_cv_split5,market,hamps,continuation,downtrend,example,price,pants,wet,moral,exit
iter10_cv_split1,resistance,market,hope,price,came,continuation,hamps,pullback,example,maybe
iter10_cv_split2,hamps,came,pullback,continuation,probably,example,downtrend,exit,moon,accumulating
iter10_cv_split3,far,hope,market,came,probably,hamps,grabbed,accumulating,downtrend,overbought
