,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,update,buy,good,breakout,support,resistance,amp,nice,volume,buying
iter1_cv_split2,update,buy,breakout,good,support,imo,resistance,amp,nice,strong
iter1_cv_split3,update,buy,breakout,good,support,imo,resistance,looks,volume,strong
iter1_cv_split4,update,buy,breakout,good,support,amp,nice,volume,resistance,imo
iter1_cv_split5,update,buy,breakout,good,support,volume,nice,looks,strong,resistance
iter2_cv_split1,buy,update,good,breakout,support,imo,volume,resistance,looks,nice
iter2_cv_split2,update,buy,breakout,good,support,imo,looks,nice,amp,bought
iter2_cv_split3,update,buy,good,breakout,support,resistance,volume,looks,nice,buying
iter2_cv_split4,buy,update,good,breakout,support,resistance,imo,volume,amp,strong
iter2_cv_split5,update,buy,breakout,good,amp,nice,support,volume,imo,resistance
iter3_cv_split1,update,buy,breakout,good,support,amp,resistance,strong,nice,looks
iter3_cv_split2,buy,update,breakout,good,support,nice,volume,imo,strong,bought
iter3_cv_split3,update,buy,good,breakout,support,amp,resistance,volume,buying,imo
iter3_cv_split4,update,buy,good,breakout,support,resistance,looks,amp,imo,volume
iter3_cv_split5,update,buy,good,breakout,support,nice,imo,resistance,volume,dip
iter4_cv_split1,update,buy,breakout,good,support,volume,imo,amp,resistance,strong
iter4_cv_split2,update,buy,breakout,good,amp,support,imo,nice,volume,looks
iter4_cv_split3,update,buy,breakout,good,nice,support,amp,resistance,strong,volume
iter4_cv_split4,buy,update,breakout,good,support,resistance,looks,imo,bought,strong
iter4_cv_split5,buy,update,good,breakout,support,nice,volume,amp,resistance,looks
iter5_cv_split1,buy,update,good,breakout,support,imo,amp,looks,resistance,volume
iter5_cv_split2,update,buy,good,breakout,support,nice,imo,amp,resistance,volume
iter5_cv_split3,update,buy,breakout,good,support,volume,resistance,imo,looks,strong
iter5_cv_split4,buy,update,breakout,good,support,nice,volume,amp,imo,bought
iter5_cv_split5,update,buy,breakout,good,support,resistance,volume,nice,strong,buying
iter6_cv_split1,update,buy,breakout,good,support,nice,amp,resistance,volume,imo
iter6_cv_split2,update,buy,breakout,good,support,amp,nice,looks,imo,resistance
iter6_cv_split3,buy,update,good,breakout,support,resistance,volume,imo,buying,strong
iter6_cv_split4,update,buy,good,breakout,looks,support,bought,amp,soon,volume
iter6_cv_split5,buy,update,good,breakout,imo,support,resistance,volume,nice,amp
iter7_cv_split1,update,buy,good,breakout,amp,imo,support,nice,volume,strong
iter7_cv_split2,update,buy,breakout,good,support,volume,imo,resistance,strong,nice
iter7_cv_split3,update,buy,good,breakout,support,amp,imo,resistance,nice,looks
iter7_cv_split4,buy,update,good,breakout,support,volume,strong,imo,resistance,soon
iter7_cv_split5,update,buy,breakout,good,support,amp,looks,nice,resistance,bought
iter8_cv_split1,update,buy,breakout,good,support,imo,volume,resistance,amp,strong
iter8_cv_split2,update,buy,good,breakout,support,amp,looks,volume,imo,buying
iter8_cv_split3,update,buy,breakout,good,support,nice,amp,imo,resistance,volume
iter8_cv_split4,update,buy,good,breakout,support,looks,resistance,imo,nice,volume
iter8_cv_split5,update,buy,breakout,good,support,resistance,amp,nice,imo,looks
iter9_cv_split1,update,buy,breakout,good,support,volume,imo,nice,amp,looks
iter9_cv_split2,update,buy,good,breakout,support,nice,looks,amp,imo,resistance
iter9_cv_split3,update,buy,breakout,good,support,resistance,imo,volume,amp,nice
iter9_cv_split4,update,buy,breakout,good,resistance,support,nice,volume,amp,imo
iter9_cv_split5,update,buy,breakout,good,support,volume,looks,resistance,amp,strong
iter10_cv_split1,buy,update,good,breakout,support,nice,amp,imo,looks,volume
iter10_cv_split2,update,buy,breakout,good,support,resistance,volume,strong,buying,imo
iter10_cv_split3,update,buy,breakout,good,support,imo,volume,resistance,amp,looks
iter10_cv_split4,update,buy,breakout,good,support,resistance,imo,strong,looks,amp
iter10_cv_split5,buy,update,good,breakout,support,nice,amp,imo,resistance,volume
iter11_cv_split1,update,buy,good,breakout,volume,support,resistance,amp,nice,imo
iter11_cv_split2,update,buy,breakout,good,support,volume,looks,resistance,buying,time
iter11_cv_split3,buy,update,breakout,good,support,imo,nice,volume,amp,strong
iter11_cv_split4,update,buy,good,breakout,support,imo,nice,resistance,amp,looks
iter11_cv_split5,buy,update,breakout,good,support,resistance,nice,amp,looks,imo
iter12_cv_split1,update,buy,breakout,good,support,imo,nice,amp,resistance,volume
iter12_cv_split2,update,buy,good,breakout,support,resistance,strong,volume,amp,buying
iter12_cv_split3,update,buy,good,breakout,support,nice,volume,resistance,amp,imo
iter12_cv_split4,update,buy,breakout,good,imo,support,nice,volume,amp,looks
iter12_cv_split5,update,buy,good,breakout,support,resistance,volume,nice,amp,imo
iter13_cv_split1,update,buy,breakout,good,support,volume,nice,resistance,amp,imo
iter13_cv_split2,update,buy,good,breakout,support,amp,volume,imo,strong,resistance
iter13_cv_split3,update,buy,good,breakout,support,amp,nice,bought,resistance,looks
iter13_cv_split4,update,buy,breakout,good,support,looks,imo,nice,volume,resistance
iter13_cv_split5,update,buy,breakout,good,volume,support,imo,resistance,buying,amp
iter14_cv_split1,update,buy,breakout,good,resistance,support,volume,imo,looks,soon
iter14_cv_split2,buy,update,good,breakout,support,volume,resistance,amp,nice,looks
iter14_cv_split3,update,buy,breakout,good,support,nice,resistance,amp,imo,volume
iter14_cv_split4,update,buy,breakout,good,support,volume,imo,looks,nice,strong
iter14_cv_split5,update,buy,good,breakout,amp,nice,support,imo,looks,dip
iter15_cv_split1,update,buy,breakout,good,support,resistance,volume,looks,strong,amp
iter15_cv_split2,buy,update,breakout,good,support,imo,resistance,nice,volume,strong
iter15_cv_split3,update,buy,breakout,good,amp,imo,volume,support,nice,looks
iter15_cv_split4,update,buy,good,breakout,support,resistance,strong,nice,volume,amp
iter15_cv_split5,update,buy,breakout,good,support,nice,amp,imo,volume,resistance
iter16_cv_split1,update,buy,breakout,good,support,nice,resistance,imo,looks,amp
iter16_cv_split2,update,buy,breakout,good,support,volume,nice,amp,imo,buying
iter16_cv_split3,update,buy,good,breakout,support,imo,resistance,amp,volume,strong
iter16_cv_split4,update,buy,breakout,good,nice,support,volume,amp,imo,resistance
iter16_cv_split5,update,buy,breakout,good,support,looks,volume,nice,imo,amp
iter17_cv_split1,update,buy,breakout,good,support,volume,imo,resistance,amp,nice
iter17_cv_split2,update,buy,good,breakout,support,amp,volume,imo,nice,buying
iter17_cv_split3,buy,update,breakout,good,resistance,support,nice,volume,amp,imo
iter17_cv_split4,update,buy,good,breakout,support,looks,amp,nice,imo,resistance
iter17_cv_split5,update,buy,breakout,good,support,looks,nice,amp,strong,imo
iter18_cv_split1,update,buy,breakout,good,imo,nice,volume,looks,support,amp
iter18_cv_split2,update,buy,breakout,good,support,volume,looks,amp,bought,resistance
iter18_cv_split3,update,buy,good,breakout,support,resistance,nice,imo,amp,strong
iter18_cv_split4,update,buy,breakout,good,support,nice,imo,resistance,volume,amp
iter18_cv_split5,update,buy,good,breakout,support,nice,looks,resistance,amp,volume
iter19_cv_split1,update,buy,breakout,good,amp,volume,support,looks,imo,nice
iter19_cv_split2,update,buy,breakout,good,support,resistance,nice,imo,amp,looks
iter19_cv_split3,buy,update,breakout,good,support,volume,nice,looks,imo,resistance
iter19_cv_split4,buy,update,good,breakout,support,imo,resistance,strong,amp,nice
iter19_cv_split5,update,buy,good,breakout,support,strong,resistance,nice,imo,volume
iter20_cv_split1,update,buy,good,breakout,support,nice,amp,imo,looks,buying
iter20_cv_split2,buy,update,good,breakout,support,amp,imo,nice,volume,resistance
iter20_cv_split3,update,buy,breakout,good,support,imo,volume,amp,resistance,nice
iter20_cv_split4,update,buy,breakout,good,support,resistance,nice,imo,strong,looks
iter20_cv_split5,update,buy,breakout,good,support,resistance,volume,strong,looks,amp
iter21_cv_split1,update,buy,breakout,good,support,nice,volume,imo,looks,amp
iter21_cv_split2,buy,update,good,breakout,support,nice,amp,imo,looks,resistance
iter21_cv_split3,update,buy,breakout,good,support,resistance,strong,nice,volume,looks
iter21_cv_split4,update,buy,good,breakout,support,resistance,amp,imo,volume,nice
iter21_cv_split5,update,buy,good,breakout,support,volume,amp,resistance,imo,buying
iter22_cv_split1,update,buy,good,breakout,support,looks,amp,imo,resistance,nice
iter22_cv_split2,buy,update,good,breakout,resistance,support,nice,imo,volume,amp
iter22_cv_split3,update,buy,breakout,good,volume,support,amp,resistance,nice,strong
iter22_cv_split4,update,buy,breakout,good,support,imo,resistance,amp,volume,nice
iter22_cv_split5,buy,update,breakout,good,support,looks,volume,imo,nice,resistance
iter23_cv_split1,buy,update,breakout,good,support,amp,looks,imo,volume,nice
iter23_cv_split2,update,buy,breakout,good,support,nice,volume,looks,imo,resistance
iter23_cv_split3,update,buy,breakout,good,resistance,amp,support,imo,volume,strong
iter23_cv_split4,update,buy,good,breakout,support,volume,buying,nice,amp,resistance
iter23_cv_split5,update,buy,good,breakout,support,nice,resistance,amp,imo,volume
iter24_cv_split1,update,buy,good,breakout,support,resistance,amp,looks,strong,nice
iter24_cv_split2,buy,update,breakout,good,support,nice,volume,imo,amp,resistance
iter24_cv_split3,update,buy,good,breakout,support,imo,nice,volume,resistance,dip
iter24_cv_split4,update,buy,breakout,good,support,volume,nice,looks,amp,time
iter24_cv_split5,update,buy,breakout,good,support,amp,imo,looks,resistance,nice
iter25_cv_split1,buy,update,breakout,good,support,resistance,looks,imo,volume,bounce
iter25_cv_split2,update,buy,good,breakout,support,nice,resistance,volume,amp,looks
iter25_cv_split3,update,buy,good,breakout,volume,support,resistance,nice,amp,imo
iter25_cv_split4,update,buy,breakout,good,nice,amp,support,resistance,strong,volume
iter25_cv_split5,update,buy,good,breakout,support,amp,imo,bought,volume,nice
iter26_cv_split1,update,buy,breakout,good,support,resistance,amp,nice,imo,volume
iter26_cv_split2,update,buy,breakout,good,support,amp,looks,nice,volume,resistance
iter26_cv_split3,update,buy,good,breakout,support,volume,imo,resistance,amp,looks
