,full_test_accs,full_test_aucs,full_test_null_accs,full_train_accs,full_train_aucs,full_train_null_accs
iter1_cv_split1,0.875,0.7555555555555555,0.84375,0.9516129032258065,0.9850961538461538,0.8387096774193549
iter1_cv_split2,0.7741935483870968,0.6615384615384615,0.8387096774193549,0.952,0.9942857142857143,0.84
iter1_cv_split3,0.8709677419354839,0.8153846153846154,0.8387096774193549,0.976,0.9904761904761905,0.84
iter1_cv_split4,0.7741935483870968,0.6846153846153846,0.8387096774193549,0.96,0.9933333333333334,0.84
iter1_cv_split5,0.8387096774193549,0.7,0.8387096774193549,0.968,0.9885714285714287,0.84
iter2_cv_split1,0.84375,0.7703703703703704,0.84375,0.9596774193548387,0.9855769230769231,0.8387096774193549
iter2_cv_split2,0.8709677419354839,0.5692307692307692,0.8387096774193549,0.968,0.9880952380952381,0.84
iter2_cv_split3,0.8709677419354839,0.7769230769230769,0.8387096774193549,0.968,0.9895238095238096,0.84
iter2_cv_split4,0.8064516129032258,0.676923076923077,0.8387096774193549,0.96,0.9861904761904762,0.84
iter2_cv_split5,0.8387096774193549,0.5923076923076923,0.8387096774193549,0.968,0.9961904761904762,0.84
iter3_cv_split1,0.8125,0.5851851851851851,0.84375,0.9596774193548387,0.9875,0.8387096774193549
iter3_cv_split2,0.8709677419354839,0.7461538461538462,0.8387096774193549,0.968,0.9880952380952381,0.84
iter3_cv_split3,0.8387096774193549,0.6923076923076923,0.8387096774193549,0.96,0.9876190476190476,0.84
iter3_cv_split4,0.8387096774193549,0.7923076923076923,0.8387096774193549,0.968,0.9933333333333334,0.84
iter3_cv_split5,0.8064516129032258,0.7615384615384615,0.8387096774193549,0.968,0.9911904761904762,0.84
iter4_cv_split1,0.84375,0.6222222222222222,0.84375,0.9758064516129032,0.9889423076923077,0.8387096774193549
iter4_cv_split2,0.8387096774193549,0.7807692307692308,0.8387096774193549,0.96,0.9895238095238096,0.84
iter4_cv_split3,0.8064516129032258,0.7384615384615385,0.8387096774193549,0.968,0.9909523809523809,0.84
iter4_cv_split4,0.8387096774193549,0.6076923076923078,0.8387096774193549,0.96,0.9938095238095238,0.84
iter4_cv_split5,0.8709677419354839,0.8153846153846154,0.8387096774193549,0.96,0.9885714285714285,0.84
iter5_cv_split1,0.8125,0.5185185185185185,0.84375,0.967741935483871,0.9870192307692308,0.8387096774193549
iter5_cv_split2,0.8387096774193549,0.7692307692307692,0.8387096774193549,0.96,0.9933333333333333,0.84
iter5_cv_split3,0.8387096774193549,0.8807692307692309,0.8387096774193549,0.968,0.9923809523809524,0.84
iter5_cv_split4,0.8387096774193549,0.6230769230769231,0.8387096774193549,0.96,0.9857142857142858,0.84
iter5_cv_split5,0.9032258064516129,0.8884615384615384,0.8387096774193549,0.96,0.9847619047619047,0.84
iter6_cv_split1,0.84375,0.8148148148148148,0.84375,0.9516129032258065,0.9855769230769231,0.8387096774193549
iter6_cv_split2,0.8387096774193549,0.6230769230769231,0.8387096774193549,0.976,0.9928571428571429,0.84
iter6_cv_split3,0.9032258064516129,0.6923076923076923,0.8387096774193549,0.968,0.9966666666666666,0.84
iter6_cv_split4,0.8387096774193549,0.8307692307692307,0.8387096774193549,0.952,0.9861904761904762,0.84
iter6_cv_split5,0.8387096774193549,0.7615384615384615,0.8387096774193549,0.952,0.9857142857142858,0.84
iter7_cv_split1,0.84375,0.711111111111111,0.84375,0.9516129032258065,0.98125,0.8387096774193549
iter7_cv_split2,0.8387096774193549,0.676923076923077,0.8387096774193549,0.992,0.9985714285714286,0.84
iter7_cv_split3,0.8387096774193549,0.676923076923077,0.8387096774193549,0.968,0.9928571428571429,0.84
iter7_cv_split4,0.8387096774193549,0.6499999999999999,0.8387096774193549,0.96,0.9833333333333333,0.84
iter7_cv_split5,0.8064516129032258,0.7615384615384615,0.8387096774193549,0.976,0.9895238095238096,0.84
iter8_cv_split1,0.78125,0.7703703703703704,0.84375,0.967741935483871,0.9961538461538462,0.8387096774193549
iter8_cv_split2,0.8709677419354839,0.7461538461538462,0.8387096774193549,0.96,0.9921428571428572,0.84
iter8_cv_split3,0.8387096774193549,0.7192307692307693,0.8387096774193549,0.936,0.9842857142857143,0.84
iter8_cv_split4,0.7741935483870968,0.576923076923077,0.8387096774193549,0.984,0.9942857142857143,0.84
iter8_cv_split5,0.8064516129032258,0.7461538461538462,0.8387096774193549,0.96,0.9880952380952381,0.84
iter9_cv_split1,0.8125,0.6074074074074074,0.84375,0.9758064516129032,0.9889423076923077,0.8387096774193549
iter9_cv_split2,0.8387096774193549,0.7538461538461538,0.8387096774193549,0.96,0.9942857142857143,0.84
iter9_cv_split3,0.8064516129032258,0.7692307692307692,0.8387096774193549,0.96,0.9871428571428572,0.84
iter9_cv_split4,0.8387096774193549,0.7230769230769231,0.8387096774193549,0.96,0.9847619047619047,0.84
iter9_cv_split5,0.8709677419354839,0.8423076923076923,0.8387096774193549,0.96,0.9847619047619047,0.84
iter10_cv_split1,0.84375,0.7074074074074074,0.84375,0.9838709677419355,0.9913461538461538,0.8387096774193549
iter10_cv_split2,0.8709677419354839,0.8615384615384616,0.8387096774193549,0.944,0.9876190476190476,0.84
iter10_cv_split3,0.8387096774193549,0.7307692307692307,0.8387096774193549,0.944,0.9814285714285714,0.84
iter10_cv_split4,0.8387096774193549,0.7923076923076924,0.8387096774193549,0.96,0.9933333333333334,0.84
iter10_cv_split5,0.7741935483870968,0.5769230769230769,0.8387096774193549,0.984,0.9880952380952381,0.84
iter11_cv_split1,0.84375,0.7407407407407407,0.84375,0.9516129032258065,0.9932692307692308,0.8387096774193549
iter11_cv_split2,0.8709677419354839,0.6076923076923076,0.8387096774193549,0.96,0.989047619047619,0.84
iter11_cv_split3,0.8387096774193549,0.6384615384615384,0.8387096774193549,0.976,0.9833333333333333,0.84
iter11_cv_split4,0.8387096774193549,0.7461538461538462,0.8387096774193549,0.96,0.991904761904762,0.84
iter11_cv_split5,0.8064516129032258,0.7461538461538462,0.8387096774193549,0.968,0.9880952380952381,0.84
iter12_cv_split1,0.8125,0.5518518518518518,0.84375,0.9596774193548387,0.9875,0.8387096774193549
iter12_cv_split2,0.8387096774193549,0.7230769230769231,0.8387096774193549,0.976,0.9876190476190476,0.84
iter12_cv_split3,0.7419354838709677,0.6923076923076923,0.8387096774193549,0.984,0.99,0.84
iter12_cv_split4,0.8709677419354839,0.9615384615384616,0.8387096774193549,0.96,0.9871428571428571,0.84
iter12_cv_split5,0.8709677419354839,0.6653846153846155,0.8387096774193549,0.968,0.9971428571428571,0.84
iter13_cv_split1,0.84375,0.6444444444444444,0.84375,0.967741935483871,0.9860576923076924,0.8387096774193549
iter13_cv_split2,0.8387096774193549,0.3923076923076923,0.8387096774193549,0.952,0.9957142857142858,0.84
iter13_cv_split3,0.9032258064516129,0.8923076923076924,0.8387096774193549,0.952,0.9842857142857142,0.84
iter13_cv_split4,0.7741935483870968,0.7384615384615385,0.8387096774193549,0.976,0.9904761904761905,0.84
iter13_cv_split5,0.8387096774193549,0.7,0.8387096774193549,0.968,0.9914285714285713,0.84
iter14_cv_split1,0.875,0.7407407407407407,0.84375,0.967741935483871,0.9889423076923077,0.8387096774193549
iter14_cv_split2,0.8064516129032258,0.7846153846153847,0.8387096774193549,0.968,0.9866666666666667,0.84
iter14_cv_split3,0.8387096774193549,0.6846153846153846,0.8387096774193549,0.968,0.9957142857142858,0.84
iter14_cv_split4,0.8064516129032258,0.5846153846153846,0.8387096774193549,0.968,0.9933333333333333,0.84
iter14_cv_split5,0.8387096774193549,0.676923076923077,0.8387096774193549,0.968,0.9885714285714285,0.84
iter15_cv_split1,0.875,0.7037037037037037,0.84375,0.9435483870967742,0.9846153846153846,0.8387096774193549
iter15_cv_split2,0.8387096774193549,0.8615384615384616,0.8387096774193549,0.976,0.9914285714285714,0.84
iter15_cv_split3,0.8387096774193549,0.6923076923076923,0.8387096774193549,0.984,0.999047619047619,0.84
iter15_cv_split4,0.8064516129032258,0.7076923076923077,0.8387096774193549,0.96,0.9842857142857143,0.84
iter15_cv_split5,0.8387096774193549,0.6923076923076923,0.8387096774193549,0.96,0.9842857142857143,0.84
iter16_cv_split1,0.78125,0.7222222222222222,0.84375,0.967741935483871,0.9879807692307693,0.8387096774193549
iter16_cv_split2,0.9032258064516129,0.8307692307692308,0.8387096774193549,0.96,0.9814285714285715,0.84
iter16_cv_split3,0.8387096774193549,0.5538461538461539,0.8387096774193549,0.968,0.9923809523809524,0.84
iter16_cv_split4,0.8387096774193549,0.7615384615384615,0.8387096774193549,0.96,0.9890476190476191,0.84
iter16_cv_split5,0.8709677419354839,0.7192307692307692,0.8387096774193549,0.968,0.9928571428571428,0.84
iter17_cv_split1,0.84375,0.7481481481481481,0.84375,0.9435483870967742,0.9783653846153846,0.8387096774193549
iter17_cv_split2,0.7741935483870968,0.46153846153846156,0.8387096774193549,0.976,0.9976190476190476,0.84
iter17_cv_split3,0.8064516129032258,0.7307692307692308,0.8387096774193549,0.984,0.9923809523809524,0.84
iter17_cv_split4,0.8709677419354839,0.8923076923076922,0.8387096774193549,0.96,0.989047619047619,0.84
iter17_cv_split5,0.8709677419354839,0.7692307692307693,0.8387096774193549,0.96,0.9861904761904762,0.84
iter18_cv_split1,0.84375,0.8296296296296296,0.84375,0.9596774193548387,0.9884615384615385,0.8387096774193549
iter18_cv_split2,0.8387096774193549,0.6307692307692307,0.8387096774193549,0.976,0.9904761904761905,0.84
iter18_cv_split3,0.8709677419354839,0.5115384615384615,0.8387096774193549,0.968,0.9823809523809525,0.84
iter18_cv_split4,0.8709677419354839,0.9461538461538461,0.8387096774193549,0.944,0.99,0.84
iter18_cv_split5,0.8387096774193549,0.6384615384615384,0.8387096774193549,0.976,0.9961904761904762,0.84
iter19_cv_split1,0.8125,0.6962962962962963,0.84375,0.9758064516129032,0.9899038461538462,0.8387096774193549
iter19_cv_split2,0.8387096774193549,0.6692307692307692,0.8387096774193549,0.976,0.9923809523809524,0.84
iter19_cv_split3,0.8709677419354839,0.5076923076923077,0.8387096774193549,0.968,0.9990476190476191,0.84
iter19_cv_split4,0.8064516129032258,0.9076923076923077,0.8387096774193549,0.952,0.9842857142857143,0.84
iter19_cv_split5,0.8709677419354839,0.8384615384615385,0.8387096774193549,0.968,0.9828571428571429,0.84
iter20_cv_split1,0.8125,0.6370370370370371,0.84375,0.9758064516129032,0.9903846153846154,0.8387096774193549
iter20_cv_split2,0.8387096774193549,0.7692307692307692,0.8387096774193549,0.96,0.991904761904762,0.84
iter20_cv_split3,0.8387096774193549,0.9307692307692307,0.8387096774193549,0.952,0.9866666666666667,0.84
iter20_cv_split4,0.8709677419354839,0.7076923076923077,0.8387096774193549,0.968,0.9871428571428572,0.84
iter20_cv_split5,0.8387096774193549,0.6846153846153846,0.8387096774193549,0.96,0.9942857142857143,0.84
iter21_cv_split1,0.75,0.6925925925925925,0.84375,0.967741935483871,0.989423076923077,0.8387096774193549
iter21_cv_split2,0.8709677419354839,0.9153846153846154,0.8387096774193549,0.976,0.9933333333333333,0.84
iter21_cv_split3,0.8387096774193549,0.6461538461538461,0.8387096774193549,0.952,0.9885714285714287,0.84
iter21_cv_split4,0.9032258064516129,0.7230769230769232,0.8387096774193549,0.952,0.9866666666666667,0.84
iter21_cv_split5,0.8387096774193549,0.5384615384615385,0.8387096774193549,0.976,0.9995238095238095,0.84
iter22_cv_split1,0.8125,0.8592592592592592,0.84375,0.967741935483871,0.9889423076923077,0.8387096774193549
iter22_cv_split2,0.7741935483870968,0.6,0.8387096774193549,0.96,0.9942857142857143,0.84
iter22_cv_split3,0.8709677419354839,0.676923076923077,0.8387096774193549,0.968,0.9866666666666668,0.84
iter22_cv_split4,0.8709677419354839,0.85,0.8387096774193549,0.952,0.9897619047619048,0.84
iter22_cv_split5,0.8709677419354839,0.5461538461538461,0.8387096774193549,0.976,0.99,0.84
iter23_cv_split1,0.84375,0.8,0.84375,0.9516129032258065,0.9870192307692307,0.8387096774193549
iter23_cv_split2,0.8709677419354839,0.7153846153846154,0.8387096774193549,0.968,0.9857142857142858,0.84
iter23_cv_split3,0.8064516129032258,0.6307692307692307,0.8387096774193549,0.968,0.9871428571428572,0.84
iter23_cv_split4,0.8387096774193549,0.8076923076923077,0.8387096774193549,0.976,0.9885714285714285,0.84
iter23_cv_split5,0.8064516129032258,0.7307692307692307,0.8387096774193549,0.968,0.9966666666666666,0.84
iter24_cv_split1,0.8125,0.8074074074074075,0.84375,0.967741935483871,0.9850961538461539,0.8387096774193549
iter24_cv_split2,0.9032258064516129,0.6230769230769231,0.8387096774193549,0.96,0.9880952380952381,0.84
iter24_cv_split3,0.8709677419354839,0.923076923076923,0.8387096774193549,0.96,0.9847619047619048,0.84
iter24_cv_split4,0.8064516129032258,0.7384615384615385,0.8387096774193549,0.968,0.9923809523809524,0.84
iter24_cv_split5,0.7419354838709677,0.6,0.8387096774193549,0.984,0.9990476190476191,0.84
iter25_cv_split1,0.84375,0.637037037037037,0.84375,0.9596774193548387,0.9942307692307693,0.8387096774193549
iter25_cv_split2,0.8709677419354839,0.7846153846153846,0.8387096774193549,0.944,0.9861904761904762,0.84
iter25_cv_split3,0.8387096774193549,0.7384615384615385,0.8387096774193549,0.976,0.99,0.84
iter25_cv_split4,0.8064516129032258,0.7384615384615385,0.8387096774193549,0.976,0.9885714285714285,0.84
iter25_cv_split5,0.8064516129032258,0.823076923076923,0.8387096774193549,0.968,0.9895238095238096,0.84
iter26_cv_split1,0.8125,0.2962962962962963,0.84375,0.9758064516129032,0.9899038461538461,0.8387096774193549
iter26_cv_split2,0.8387096774193549,0.8153846153846154,0.8387096774193549,0.936,0.9838095238095238,0.84
iter26_cv_split3,0.8387096774193549,0.7307692307692307,0.8387096774193549,0.952,0.9947619047619047,0.84
iter26_cv_split4,0.8709677419354839,0.9076923076923077,0.8387096774193549,0.968,0.9904761904761905,0.84
iter26_cv_split5,0.8387096774193549,0.8923076923076924,0.8387096774193549,0.976,0.9911904761904762,0.84
iter27_cv_split1,0.8125,0.6518518518518518,0.84375,0.9596774193548387,0.9870192307692307,0.8387096774193549
iter27_cv_split2,0.8387096774193549,0.7769230769230768,0.8387096774193549,0.96,0.9876190476190476,0.84
iter27_cv_split3,0.8387096774193549,0.5923076923076923,0.8387096774193549,0.976,0.9919047619047618,0.84
iter27_cv_split4,0.8387096774193549,0.7538461538461538,0.8387096774193549,0.976,0.9942857142857142,0.84
iter27_cv_split5,0.8387096774193549,0.7153846153846154,0.8387096774193549,0.96,0.9842857142857142,0.84
iter28_cv_split1,0.75,0.6518518518518518,0.84375,0.9838709677419355,0.9875,0.8387096774193549
