,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,inverse,grabbed,test,observing,bull,drawing,overbought,oversold,cap,started
iter1_cv_split2,accumulating,casino,far,sale,observing,october,drawing,overbought,started,pants
iter1_cv_split3,distribution,expect,weak,shake,observing,october,fund,shine,overbought,pants
iter1_cv_split4,trendinghedge,returns,reversal,fud,far,maybe,total,risk,hamps,mission
iter1_cv_split5,trendinghedge,hope,hamps,gt,sale,grabbed,fund,turning,far,exit
iter2_cv_split1,skipped,exit,trendinghedge,log,pls,far,wants,users,pressure,bull
iter2_cv_split2,accumulatinggot,grabbed,mission,bull,moral,test,observing,overbought,downside,pants
iter2_cv_split3,pants,point,market,managers,fund,patient,escape,comes,pause,wedge
iter2_cv_split4,spotted,skipped,week,weak,decent,prime,wants,pressure,exit,lines
iter2_cv_split5,pressure,far,skipped,lines,inverse,possible,journey,patient,log,spotted
iter3_cv_split1,accumulating,journey,inverse,sale,gtno,fund,fud,total,far,trendinghedge
iter3_cv_split2,reversal,grabbed,test,bull,observing,overbought,started,fund,spotted,patient
iter3_cv_split3,hamps,inverse,test,hope,hands,scale,gtno,gt,grabbed,far
iter3_cv_split4,returns,gtno,total,october,grabbed,overbought,oversold,pants,test,remember
iter3_cv_split5,div,charts,example,managers,market,total,sale,shake,comes,mission
iter4_cv_split1,fund,managers,test,moral,bull,div,observing,october,overbought,oversold
iter4_cv_split2,accumulating,skipped,spotted,started,point,pause,cap,patient,test,pants
iter4_cv_split3,total,fud,weak,trendinghedge,test,bull,prime,far,lines,pls
iter4_cv_split4,remember,grabbed,maybe,bull,tasty,mission,started,fund,observing,october
iter4_cv_split5,log,weak,bull,wants,came,far,prime,pressure,skipped,trendinghedge
iter5_cv_split1,observing,exit,charts,expect,returns,managers,point,pls,sale,target
iter5_cv_split2,accumulating,moral,scale,spotted,exit,shake,shine,hamps,october,gtno
iter5_cv_split3,decision,downside,div,distribution,remember,returns,day,reversal,risk,sale
iter5_cv_split4,bull,drawing,skipped,wet,fund,observing,inverse,october,long,log
iter5_cv_split5,scale,fund,bull,trendinghedge,previous,lines,wants,exit,log,example
iter6_cv_split1,downside,hamps,example,trendinghedge,previous,sale,grabbed,total,scale,managers
iter6_cv_split2,accumulating,inverse,hope,hamps,gtno,grabbed,fund,trendinghedge,far,exit
iter6_cv_split3,reversal,point,fund,spotted,started,pause,patient,comes,casino,test
iter6_cv_split4,decision,total,moral,observing,october,test,bull,div,pants,patient
iter6_cv_split5,fund,pressure,charts,spotted,far,returns,skipped,trendinghedge,possible,observing
iter7_cv_split1,accumulating,test,hamps,gt,grabbed,fund,total,far,hope,exit
iter7_cv_split2,log,skipped,sold,spotted,started,point,fund,cap,pressure,pause
iter7_cv_split3,inverse,skipped,spotted,pause,casino,started,came,far,distribution,oversold
iter7_cv_split4,inverse,overbought,hamps,sale,gtno,managers,trendinghedge,possible,total,shake
iter7_cv_split5,target,decent,hamps,reversal,gtno,fund,managers,pause,trendinghedge,current
iter8_cv_split1,accumulating,overbought,hamps,oversold,bull,pants,test,patient,grabbed,point
iter8_cv_split2,look,escape,downside,remember,div,distribution,repeat,returns,reversal,risk
iter8_cv_split3,risk,shake,pressure,shine,weak,point,cap,total,started,pause
iter8_cv_split4,log,downside,div,distribution,remember,reversal,decent,right,risk,sale
iter8_cv_split5,hope,total,fund,bull,target,observing,october,optimistic,far,spotted
iter9_cv_split1,scenario,continuation,observing,october,spotted,overbought,comes,hamps,pants,pause
iter9_cv_split2,risk,started,pressure,point,test,escape,patient,spotted,grabbed,pants
iter9_cv_split3,hands,pause,comes,skipped,trendinghedge,pls,point,far,charts,log
iter9_cv_split4,accumulating,prime,exit,example,escape,drawing,distribution,decision,returns,current
iter9_cv_split5,remember,managers,total,test,bull,tasty,drawing,fund,started,spotted
iter10_cv_split1,pressure,started,risk,turning,shake,patient,mission,skipped,far,hamps
iter10_cv_split2,accumulating,trendinghedge,total,moral,bull,fund,don,came,cap,observing
iter10_cv_split3,october,hamps,trendinghedge,gtno,total,moral,grabbed,test,oversold,pants
iter10_cv_split4,sale,fund,skipped,bull,weak,prime,pressure,wants,log,pls
iter10_cv_split5,inverse,mission,test,observing,october,overbought,bull,downside,fund,pause
iter11_cv_split1,inverse,pause,skipped,patient,pants,casino,spotted,far,overbought,october
iter11_cv_split2,mission,managers,scale,pause,test,shake,point,shine,hamps,probably
iter11_cv_split3,div,managers,pause,example,trendinghedge,sale,scale,total,continuation,prime
iter11_cv_split4,log,drawing,downside,div,distribution,remember,returns,reversal,risk,escape
iter11_cv_split5,accumulating,exit,example,escape,drawing,remember,distribution,returns,declining,decent
iter12_cv_split1,accumulating,gtno,gt,fund,trendinghedge,far,turning,exit,example,hope
iter12_cv_split2,fund,overbought,skipped,october,casino,spotted,started,pants,came,bull
iter12_cv_split3,decision,far,skipped,spotted,patient,started,pants,point,overbought,fud
iter12_cv_split4,inverse,mission,moral,test,observing,bull,downside,overbought,pants,fund
iter12_cv_split5,sale,started,moral,decision,spotted,current,october,overbought,pants,patient
iter13_cv_split1,hamps,weak,fund,test,wants,bull,lines,log,look,far
iter13_cv_split2,journey,comes,pls,skipped,pause,spotted,started,far,overbought,fund
iter13_cv_split3,moral,inverse,skipped,wins,journey,fund,october,wet,confirmation,escape
iter13_cv_split4,returns,fud,fund,point,spotted,started,target,cap,grabbed,test
iter13_cv_split5,inverse,gtno,mission,moral,grabbed,total,observing,october,distribution,bull
iter14_cv_split1,oversold,weak,bull,mission,wants,came,profits,probably,casino,prime
iter14_cv_split2,gtno,lines,journey,inverse,hope,hamps,total,grabbed,fund,fud
iter14_cv_split3,accumulating,spotted,maybe,hamps,skipped,observing,comes,decision,october,patient
iter14_cv_split4,moral,inverse,journey,tasty,prime,weak,started,pressure,far,trendinghedge
iter14_cv_split5,pants,grabbed,total,moral,test,observing,october,overbought,fund,spotted
iter15_cv_split1,inverse,managers,observing,journey,october,overbought,escape,fund,fud,trendinghedge
iter15_cv_split2,fund,optimistic,point,returns,grabbed,continuation,test,risk,managers,target
iter15_cv_split3,decision,escape,drawing,downside,div,distribution,remember,returns,reversal,risk
iter15_cv_split4,accumulating,inverse,hope,total,hands,hamps,gtno,grabbed,trendinghedge,fund
iter15_cv_split5,skipped,maybe,current,moral,gtno,observing,october,comes,oversold,pants
iter16_cv_split1,accumulating,wants,prime,bull,shake,far,lines,story,trendinghedge,pause
iter16_cv_split2,log,example,escape,remember,downside,repeat,distribution,decision,exit,sale
