,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,buying,buy,bullish,time,bought,line,flag,rocket,definitely,days
iter1_cv_split2,buying,buy,bought,time,line,rocket,flag,bullish,disgrace,support
iter1_cv_split3,buying,buy,bullish,bought,line,rocket,flag,support,days,praying
iter1_cv_split4,buying,buy,time,usdbtc,bullish,break,line,days,target,bought
iter1_cv_split5,buying,buy,bullish,time,bought,target,flag,rocket,support,disgrace
iter2_cv_split1,buying,buy,bullish,bought,line,flag,rocket,days,support,target
iter2_cv_split2,buying,buy,bought,time,line,bullish,usdbtc,flag,rocket,days
iter2_cv_split3,buying,buy,bullish,time,target,line,flag,rocket,breakout,support
iter2_cv_split4,buying,buy,time,bought,disgrace,bullish,flag,rocket,break,days
iter2_cv_split5,buying,buy,bullish,time,bought,line,target,support,usdbtc,disgrace
iter3_cv_split1,buying,buy,bought,rocket,flag,disgrace,bullish,line,days,bear
iter3_cv_split2,buying,buy,bullish,time,bought,line,support,target,usdbtc,disgrace
iter3_cv_split3,buying,buy,time,flag,bullish,usdbtc,rocket,target,bought,days
iter3_cv_split4,buying,buy,bullish,bought,line,time,rocket,flag,break,support
iter3_cv_split5,buying,buy,bullish,time,bought,line,flag,rocket,support,definitely
iter4_cv_split1,buying,buy,bought,line,bullish,disgrace,rocket,flag,support,target
iter4_cv_split2,buying,buy,time,bought,line,rocket,flag,bullish,usdbtc,support
iter4_cv_split3,buying,buy,bullish,bought,time,flag,rocket,break,target,days
iter4_cv_split4,buying,buy,bullish,time,bought,line,days,support,disgrace,usdbtc
iter4_cv_split5,buying,buy,bullish,time,target,bought,rocket,flag,line,days
iter5_cv_split1,buying,buy,bullish,flag,rocket,target,line,disgrace,euphoria,bear
iter5_cv_split2,buying,buy,bought,time,flag,disgrace,bullish,rocket,days,support
iter5_cv_split3,buying,buy,bullish,bought,line,time,break,target,support,days
iter5_cv_split4,buying,buy,bought,time,line,flag,rocket,usdbtc,bullish,target
iter5_cv_split5,buying,buy,bullish,time,bought,line,flag,rocket,support,disgrace
iter6_cv_split1,buying,buy,bought,flag,bullish,disgrace,rocket,line,target,support
iter6_cv_split2,buy,buying,bullish,time,line,support,breakout,days,bought,usdbtc
iter6_cv_split3,buying,buy,bullish,time,target,flag,bought,rocket,days,usdbtc
iter6_cv_split4,buying,buy,bought,time,line,flag,usdbtc,bullish,rocket,break
iter6_cv_split5,buying,buy,bullish,bought,time,line,flag,rocket,support,days
iter7_cv_split1,buying,buy,bullish,bought,time,line,support,days,target,disgrace
iter7_cv_split2,buying,buy,bullish,bought,time,line,flag,rocket,support,usdbtc
iter7_cv_split3,buying,buy,line,bought,rocket,flag,bullish,usdbtc,days,breakout
iter7_cv_split4,buying,buy,bought,line,time,bullish,disgrace,flag,rocket,target
iter7_cv_split5,buying,buy,bullish,time,flag,rocket,target,definitely,disgrace,usdbtc
iter8_cv_split1,buying,buy,bought,line,time,flag,bullish,usdbtc,rocket,support
iter8_cv_split2,buying,buy,bullish,time,bought,flag,rocket,target,support,days
iter8_cv_split3,buying,buy,bullish,bought,line,target,usdbtc,disgrace,breakout,looks
iter8_cv_split4,buying,buy,bullish,time,flag,line,rocket,bought,break,days
