,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,stopped,incoming,profit,times,died,reversal,filled,loss,stop,got
iter1_cv_split2,stopped,incoming,stop,greed,short,reversal,profit,loss,started,setting
iter1_cv_split3,incoming,got,profit,greed,times,died,short,reversal,filled,dumps
iter1_cv_split4,stopped,reversal,incoming,profit,filled,times,died,greed,short,started
iter1_cv_split5,stopped,greed,short,bitcoin,times,died,profit,loss,got,runat
iter2_cv_split1,stopped,incoming,profit,reversal,filled,stop,got,loss,runat,bull
iter2_cv_split2,stopped,incoming,greed,died,times,got,short,reversal,profit,loss
iter2_cv_split3,got,died,times,greed,short,filled,stopped,dumps,started,profit
iter2_cv_split4,stopped,reversal,incoming,profit,filled,greed,started,times,bitcoin,died
iter2_cv_split5,stopped,incoming,profit,greed,times,died,reversal,short,setting,stop
iter3_cv_split1,stopped,greed,times,died,short,profit,loss,runat,bull,expecting
iter3_cv_split2,stopped,incoming,greed,short,stop,reversal,filled,profit,loss,setting
iter3_cv_split3,incoming,reversal,profit,got,times,bitcoin,died,stopped,dumps,filled
iter3_cv_split4,stopped,incoming,profit,greed,died,times,filled,reversal,short,started
iter3_cv_split5,stopped,incoming,short,profit,times,died,greed,filled,reversal,got
iter4_cv_split1,stopped,incoming,profit,greed,reversal,filled,short,stop,loss,started
iter4_cv_split2,stopped,incoming,died,times,greed,short,reversal,loss,stop,started
iter4_cv_split3,stopped,profit,filled,greed,started,died,times,bitcoin,short,runat
iter4_cv_split4,stopped,incoming,profit,reversal,died,times,filled,loss,stop,price
iter4_cv_split5,reversal,incoming,got,greed,times,died,short,profit,dumps,stopped
iter5_cv_split1,stopped,times,died,profit,greed,filled,started,short,stop,loss
iter5_cv_split2,incoming,got,reversal,died,bitcoin,times,profit,stopped,dumps,welcome
iter5_cv_split3,stopped,incoming,profit,filled,greed,short,reversal,price,started,runat
iter5_cv_split4,stopped,incoming,profit,greed,died,times,reversal,short,started,loss
iter5_cv_split5,stopped,incoming,short,greed,died,times,reversal,filled,profit,got
iter6_cv_split1,stopped,profit,times,died,short,greed,started,loss,got,bitcoin
iter6_cv_split2,stopped,incoming,short,greed,times,died,profit,filled,reversal,got
iter6_cv_split3,incoming,reversal,profit,started,greed,dumps,stopped,got,short,stop
iter6_cv_split4,stopped,incoming,times,died,filled,reversal,profit,welcome,taking,bitcoin
iter6_cv_split5,stopped,incoming,greed,profit,times,died,reversal,got,filled,short
iter7_cv_split1,stopped,incoming,greed,profit,short,filled,reversal,got,started,price
iter7_cv_split2,stopped,incoming,greed,died,times,reversal,short,loss,profit,got
iter7_cv_split3,incoming,profit,died,times,reversal,stopped,dumps,filled,got,price
iter7_cv_split4,stopped,incoming,greed,times,died,stop,short,reversal,filled,profit
iter7_cv_split5,stopped,profit,greed,filled,bitcoin,died,times,short,started,loss
iter8_cv_split1,incoming,got,greed,times,died,profit,reversal,short,filled,started
iter8_cv_split2,stopped,incoming,profit,greed,filled,short,reversal,started,setting,got
iter8_cv_split3,stopped,reversal,incoming,greed,died,times,short,profit,filled,loss
iter8_cv_split4,stopped,profit,short,times,died,greed,started,bitcoin,price,ok
iter8_cv_split5,stopped,incoming,stop,died,times,reversal,profit,taking,welcome,price
iter9_cv_split1,stopped,greed,bitcoin,died,times,short,profit,started,market,stop
iter9_cv_split2,stopped,incoming,reversal,profit,times,died,started,got,greed,short
iter9_cv_split3,incoming,profit,greed,died,times,short,stopped,dumps,filled,reversal
iter9_cv_split4,stopped,incoming,profit,greed,stop,short,reversal,filled,loss,got
iter9_cv_split5,stopped,incoming,reversal,times,died,filled,profit,loss,stop,runat
iter10_cv_split1,stopped,incoming,short,died,times,filled,greed,reversal,welcome,taking
iter10_cv_split2,stopped,reversal,incoming,died,times,filled,profit,got,price,bull
iter10_cv_split3,stopped,incoming,profit,stop,greed,short,reversal,loss,price,started
iter10_cv_split4,incoming,profit,greed,died,times,reversal,filled,short,loss,started
iter10_cv_split5,stopped,profit,greed,got,bitcoin,times,died,short,loss,started
iter11_cv_split1,stopped,incoming,greed,short,filled,died,times,reversal,price,bitcoin
iter11_cv_split2,stopped,incoming,reversal,profit,times,died,short,greed,loss,started
iter11_cv_split3,stopped,profit,greed,filled,started,short,stop,price,got,runat
iter11_cv_split4,stopped,incoming,profit,died,times,reversal,got,filled,loss,price
iter11_cv_split5,incoming,profit,got,short,died,times,greed,reversal,stopped,dumps
iter12_cv_split1,stopped,incoming,died,times,greed,short,filled,reversal,profit,loss
iter12_cv_split2,incoming,reversal,times,died,greed,dumps,stopped,profit,got,started
iter12_cv_split3,stopped,profit,greed,filled,short,stop,started,got,price,bull
iter12_cv_split4,stopped,incoming,reversal,filled,died,times,bitcoin,profit,runat,expecting
iter12_cv_split5,stopped,incoming,profit,died,times,greed,short,reversal,got,loss
iter13_cv_split1,incoming,greed,died,times,short,reversal,filled,profit,runat,bull
iter13_cv_split2,stopped,incoming,profit,greed,short,times,died,reversal,bitcoin,final
iter13_cv_split3,stopped,incoming,greed,short,died,times,bitcoin,reversal,profit,loss
iter13_cv_split4,stopped,incoming,profit,reversal,got,filled,loss,stop,price,runat
iter13_cv_split5,stopped,times,died,profit,greed,short,filled,started,loss,stop
iter14_cv_split1,stopped,died,times,greed,filled,started,short,profit,stop,price
iter14_cv_split2,incoming,greed,died,times,reversal,profit,short,filled,loss,stop
iter14_cv_split3,stopped,incoming,profit,reversal,died,times,bitcoin,got,setting,price
iter14_cv_split4,stopped,incoming,profit,short,greed,filled,reversal,started,loss,stop
iter14_cv_split5,stopped,reversal,incoming,greed,died,times,profit,short,loss,got
iter15_cv_split1,stopped,incoming,greed,got,times,died,reversal,profit,short,started
iter15_cv_split2,incoming,profit,short,greed,died,times,reversal,stop,loss,bitcoin
iter15_cv_split3,stopped,incoming,reversal,died,times,profit,filled,loss,got,price
iter15_cv_split4,stopped,incoming,reversal,profit,short,filled,greed,started,stop,expecting
iter15_cv_split5,stopped,started,greed,bitcoin,died,times,filled,profit,loss,short
iter16_cv_split1,stopped,incoming,greed,profit,died,times,short,reversal,loss,got
iter16_cv_split2,stopped,incoming,stop,greed,short,reversal,profit,loss,price,expecting
iter16_cv_split3,reversal,incoming,died,times,got,short,started,greed,stopped,dumps
iter16_cv_split4,stopped,incoming,profit,filled,died,times,reversal,price,welcome,taking
iter16_cv_split5,stopped,profit,greed,died,times,filled,short,got,started,loss
