,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,buying,buy,bought,line,time,bullish,coin,breakout,alt,amp
iter1_cv_split2,buying,buy,bought,line,support,time,daily,entry,alt,flag
iter1_cv_split3,buying,buy,bought,bullish,line,support,looks,days,rsi,stoch
iter1_cv_split4,buying,buy,time,target,bought,line,rsi,stoch,breakout,days
iter1_cv_split5,buying,buy,bought,time,target,bullish,support,amp,looks,flag
iter2_cv_split1,buying,buy,bought,line,bullish,breakout,looks,target,alt,support
iter2_cv_split2,buying,buy,bought,time,line,looks,alt,days,support,rsi
iter2_cv_split3,buying,buy,line,time,target,bullish,support,breakout,bought,flag
iter2_cv_split4,buying,buy,bought,time,breakout,amp,target,flag,entry,good
iter2_cv_split5,buying,buy,bought,time,line,bullish,target,support,breakout,amp
iter3_cv_split1,buying,buy,bought,amp,line,alt,looks,flag,days,time
iter3_cv_split2,buying,buy,bought,line,bullish,support,target,amp,breakout,time
iter3_cv_split3,buying,buy,time,bought,target,breakout,amp,rsi,stoch,flag
iter3_cv_split4,buying,buy,bought,line,bullish,time,support,target,breakout,days
iter3_cv_split5,buying,buy,time,line,bought,bullish,support,coin,looks,alt
iter4_cv_split1,buying,buy,bought,line,target,support,breakout,amp,alt,days
iter4_cv_split2,buying,buy,bought,line,time,support,daily,amp,coin,looks
iter4_cv_split3,buying,buy,bought,time,bullish,target,breakout,flag,days,rsi
iter4_cv_split4,buying,buy,bought,time,line,bullish,support,breakout,alt,days
iter4_cv_split5,buying,buy,target,bought,bullish,time,line,looks,flag,days
iter5_cv_split1,buying,buy,target,bullish,line,rsi,stoch,coin,looks,flag
iter5_cv_split2,buying,buy,bought,time,amp,looks,flag,rsi,stoch,days
iter5_cv_split3,buying,buy,bought,line,bullish,target,amp,time,looks,support
iter5_cv_split4,buying,buy,bought,time,line,target,support,breakout,rsi,stoch
iter5_cv_split5,buying,buy,bought,line,bullish,time,support,alt,wait,breakout
iter6_cv_split1,buying,buy,bought,line,target,support,breakout,daily,stoch,rsi
iter6_cv_split2,buy,buying,time,line,bullish,support,breakout,amp,looks,days
iter6_cv_split3,buying,buy,time,target,bought,bullish,flag,entry,days,looks
iter6_cv_split4,buying,buy,bought,time,target,line,looks,flag,alt,days
iter6_cv_split5,buying,buy,bought,line,bullish,support,time,coin,stoch,rsi
iter7_cv_split1,buying,buy,bought,time,line,bullish,support,coin,target,days
iter7_cv_split2,buying,buy,bought,time,line,bullish,support,flag,entry,wait
iter7_cv_split3,buying,buy,bought,breakout,line,rsi,stoch,looks,alt,days
iter7_cv_split4,buying,buy,bought,line,time,target,amp,breakout,daily,stoch
iter7_cv_split5,buying,buy,time,bullish,target,amp,bought,breakout,looks,stoch
iter8_cv_split1,buy,buying,bought,line,time,rsi,stoch,amp,support,flag
iter8_cv_split2,buying,buy,bought,time,bullish,target,support,days,looks,wait
iter8_cv_split3,buying,buy,bought,bullish,target,breakout,line,amp,daily,alt
iter8_cv_split4,buying,buy,time,bought,line,bullish,support,breakout,flag,days
iter8_cv_split5,buying,buy,bought,time,line,target,support,rsi,stoch,alt
iter9_cv_split1,buy,buying,bought,time,target,support,amp,breakout,stoch,rsi
iter9_cv_split2,buying,buy,bought,bullish,time,line,amp,rsi,stoch,entry
iter9_cv_split3,buying,buy,bullish,target,line,bought,stoch,rsi,support,looks
iter9_cv_split4,buying,buy,bought,line,time,target,support,amp,alt,daily
iter9_cv_split5,buying,buy,time,bought,line,bullish,breakout,support,days,flag
iter10_cv_split1,buying,buy,bullish,bought,line,amp,target,looks,coin,flag
iter10_cv_split2,buying,buy,time,bullish,target,bought,line,stoch,rsi,days
iter10_cv_split3,buying,buy,bought,time,line,support,breakout,amp,target,entry
iter10_cv_split4,buying,buy,bought,line,bullish,support,target,time,stoch,rsi
iter10_cv_split5,buying,buy,bought,time,support,rsi,stoch,amp,flag,alt
iter11_cv_split1,buying,buy,bought,time,line,target,support,looks,alt,flag
iter11_cv_split2,buying,buy,time,bought,amp,line,breakout,wait,flag,rsi
iter11_cv_split3,buying,buy,bullish,target,support,bought,breakout,stoch,rsi,line
iter11_cv_split4,buying,buy,bought,bullish,time,line,flag,entry,tight,stoch
iter11_cv_split5,buying,buy,bought,line,time,bullish,breakout,amp,looks,alt
iter12_cv_split1,buying,buy,bought,time,line,amp,breakout,looks,support,alt
iter12_cv_split2,buying,buy,time,target,bought,breakout,amp,line,stoch,rsi
iter12_cv_split3,buying,buy,bought,bullish,line,support,amp,time,target,wait
iter12_cv_split4,buying,buy,bought,bullish,target,time,started,entry,days,breakout
iter12_cv_split5,buying,buy,bought,line,bullish,support,daily,rsi,stoch,looks
iter13_cv_split1,buying,buy,bought,line,bullish,target,support,breakout,alt,flag
iter13_cv_split2,buying,buy,line,bought,support,stoch,rsi,looks,alt,time
iter13_cv_split3,buying,buy,bought,time,bullish,support,target,breakout,amp,line
iter13_cv_split4,buy,buying,bought,time,line,bullish,amp,looks,flag,entry
iter13_cv_split5,buying,buy,bought,time,target,coin,amp,looks,alt,flag
iter14_cv_split1,buying,buy,bought,time,bullish,amp,breakout,line,target,entry
iter14_cv_split2,buying,buy,bought,line,bullish,time,target,support,rsi,stoch
iter14_cv_split3,buying,buy,bought,time,support,rsi,stoch,alt,looks,amp
iter14_cv_split4,buy,buying,line,bullish,support,bought,breakout,wait,flag,alt
iter14_cv_split5,buying,buy,target,time,line,bought,alt,flag,looks,amp
iter15_cv_split1,buying,buy,bought,line,time,support,amp,flag,looks,masternode
iter15_cv_split2,buying,buy,line,bought,time,support,looks,stoch,rsi,alt
iter15_cv_split3,buying,buy,time,bought,bullish,target,breakout,line,rsi,stoch
iter15_cv_split4,buying,buy,bought,bullish,target,breakout,amp,daily,wait,line
iter15_cv_split5,buying,buy,bought,time,bullish,target,breakout,looks,stoch,rsi
iter16_cv_split1,buying,buy,time,bought,target,coin,line,breakout,amp,looks
iter16_cv_split2,buying,buy,bought,time,bullish,support,target,stoch,rsi,alt
iter16_cv_split3,buying,buy,breakout,amp,line,rsi,stoch,target,flag,looks
iter16_cv_split4,buying,buy,bought,time,line,bullish,breakout,alt,flag,days
iter16_cv_split5,buying,buy,bought,time,line,bullish,support,amp,looks,flag
iter17_cv_split1,buying,buy,bought,line,bullish,support,time,breakout,alt,amp
iter17_cv_split2,buying,buy,bought,line,time,bullish,target,support,breakout,flag
iter17_cv_split3,buying,buy,bought,line,support,breakout,target,looks,alt,time
iter17_cv_split4,buying,buy,bought,line,time,support,daily,looks,alt,days
iter17_cv_split5,buying,buy,time,bullish,target,amp,bought,breakout,flag,wait
iter18_cv_split1,buying,buy,bought,line,bullish,support,amp,breakout,target,flag
iter18_cv_split2,buying,buy,bought,line,bullish,target,support,coin,looks,time
iter18_cv_split3,buying,buy,time,bullish,bought,line,breakout,amp,looks,alt
iter18_cv_split4,buying,buy,time,target,bought,looks,line,alt,flag,breakout
iter18_cv_split5,buying,buy,bought,time,bullish,support,flag,days,rsi,stoch
iter19_cv_split1,buying,buy,bought,line,support,target,breakout,alt,days,stoch
iter19_cv_split2,buying,buy,bought,time,line,bullish,support,daily,looks,flag
iter19_cv_split3,buying,buy,time,bought,bullish,target,breakout,stoch,rsi,amp
iter19_cv_split4,buying,buy,time,line,bought,bullish,support,breakout,amp,alt
iter19_cv_split5,buying,buy,bought,time,target,line,support,stoch,rsi,amp
iter20_cv_split1,buy,buying,bought,bullish,target,coin,support,line,time,flag
