,full_test_accs,full_test_aucs,full_test_null_accs,full_train_accs,full_train_aucs,full_train_null_accs
iter1_cv_split1,0.7142857142857143,1.0,0.7142857142857143,1.0,1.0,0.75
iter1_cv_split2,0.6428571428571429,0.8500000000000001,0.7142857142857143,1.0,1.0,0.75
iter1_cv_split3,0.7692307692307693,0.9,0.7692307692307693,1.0,1.0,0.7358490566037735
iter1_cv_split4,0.8461538461538461,0.9333333333333333,0.7692307692307693,0.9811320754716981,1.0,0.7358490566037735
iter1_cv_split5,0.75,0.925925925925926,0.75,1.0,1.0,0.7407407407407407
iter2_cv_split1,0.7142857142857143,0.875,0.7142857142857143,1.0,1.0,0.75
iter2_cv_split2,0.8571428571428571,1.0,0.7142857142857143,0.9807692307692307,1.0,0.75
iter2_cv_split3,0.7692307692307693,1.0,0.7692307692307693,1.0,1.0,0.7358490566037735
iter2_cv_split4,0.8461538461538461,0.7,0.7692307692307693,1.0,1.0,0.7358490566037735
iter2_cv_split5,0.8333333333333334,0.888888888888889,0.75,1.0,1.0,0.7407407407407407
iter3_cv_split1,0.7142857142857143,0.95,0.7142857142857143,1.0,1.0,0.75
iter3_cv_split2,0.7857142857142857,0.7749999999999999,0.7142857142857143,0.9807692307692307,1.0,0.75
iter3_cv_split3,0.7692307692307693,0.9333333333333333,0.7692307692307693,1.0,1.0,0.7358490566037735
iter3_cv_split4,0.7692307692307693,0.9666666666666668,0.7692307692307693,1.0,1.0,0.7358490566037735
iter3_cv_split5,0.75,0.9259259259259259,0.75,1.0,1.0,0.7407407407407407
iter4_cv_split1,0.7857142857142857,0.925,0.7142857142857143,1.0,1.0,0.75
iter4_cv_split2,0.7857142857142857,0.825,0.7142857142857143,1.0,1.0,0.75
iter4_cv_split3,0.7692307692307693,0.8666666666666667,0.7692307692307693,1.0,1.0,0.7358490566037735
iter4_cv_split4,0.8461538461538461,1.0,0.7692307692307693,0.9811320754716981,1.0,0.7358490566037735
iter4_cv_split5,0.75,1.0,0.75,1.0,1.0,0.7407407407407407
iter5_cv_split1,0.7142857142857143,0.925,0.7142857142857143,1.0,1.0,0.75
iter5_cv_split2,0.7857142857142857,0.95,0.7142857142857143,1.0,1.0,0.75
iter5_cv_split3,0.8461538461538461,0.9333333333333333,0.7692307692307693,0.9811320754716981,1.0,0.7358490566037735
iter5_cv_split4,0.8461538461538461,0.9666666666666668,0.7692307692307693,1.0,1.0,0.7358490566037735
iter5_cv_split5,0.75,0.925925925925926,0.75,1.0,1.0,0.7407407407407407
iter6_cv_split1,0.7142857142857143,0.725,0.7142857142857143,1.0,1.0,0.75
iter6_cv_split2,0.7142857142857143,0.9125000000000001,0.7142857142857143,1.0,1.0,0.75
iter6_cv_split3,0.7692307692307693,0.9666666666666668,0.7692307692307693,1.0,1.0,0.7358490566037735
iter6_cv_split4,0.8461538461538461,1.0,0.7692307692307693,1.0,1.0,0.7358490566037735
iter6_cv_split5,0.9166666666666666,0.962962962962963,0.75,0.9814814814814815,1.0,0.7407407407407407
iter7_cv_split1,0.7142857142857143,0.95,0.7142857142857143,1.0,1.0,0.75
iter7_cv_split2,0.7142857142857143,0.95,0.7142857142857143,1.0,1.0,0.75
iter7_cv_split3,0.8461538461538461,1.0,0.7692307692307693,1.0,1.0,0.7358490566037735
