,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,stopped,got,filled,profit,incoming,loss,stop,died,times,cloud
iter1_cv_split2,stopped,stop,incoming,profit,short,loss,greed,setting,got,dumps
iter1_cv_split3,got,profit,filled,incoming,died,times,stop,loss,greed,short
iter1_cv_split4,profit,filled,stopped,incoming,reversal,price,times,died,started,greed
iter1_cv_split5,stopped,got,loss,greed,short,profit,bitcoin,times,died,cloud
iter2_cv_split1,stopped,profit,got,filled,incoming,stop,loss,setting,reversal,runat
iter2_cv_split2,stopped,got,profit,incoming,loss,greed,times,died,bull,runat
iter2_cv_split3,got,filled,loss,stop,died,times,price,greed,short,profit
iter2_cv_split4,stopped,filled,profit,reversal,incoming,started,stop,died,bitcoin,times
iter2_cv_split5,stopped,profit,incoming,died,times,greed,short,setting,got,cloud
iter3_cv_split1,stopped,got,loss,greed,short,profit,died,times,market,price
iter3_cv_split2,stop,stopped,filled,incoming,profit,short,loss,greed,setting,got
iter3_cv_split3,profit,got,filled,incoming,reversal,loss,stop,times,died,bitcoin
iter3_cv_split4,stopped,profit,filled,incoming,times,died,greed,got,started,cloud
iter3_cv_split5,stopped,got,filled,short,incoming,profit,times,died,greed,setting
iter4_cv_split1,stopped,profit,got,filled,incoming,stop,loss,greed,reversal,started
iter4_cv_split2,stopped,got,incoming,loss,stop,short,died,times,greed,setting
iter4_cv_split3,stopped,profit,filled,started,got,times,bitcoin,died,short,greed
iter4_cv_split4,profit,stopped,filled,incoming,loss,stop,died,times,price,setting
iter4_cv_split5,got,incoming,reversal,loss,profit,greed,short,times,died,market
iter5_cv_split1,stopped,got,profit,filled,stop,started,died,times,loss,greed
iter5_cv_split2,got,incoming,stop,loss,profit,died,bitcoin,times,market,stopped
iter5_cv_split3,profit,filled,stopped,incoming,price,short,greed,started,bull,runat
iter5_cv_split4,stopped,profit,got,incoming,loss,times,died,greed,started,cloud
iter5_cv_split5,stopped,got,short,filled,incoming,profit,greed,times,died,setting
iter6_cv_split1,stopped,profit,got,short,loss,died,times,greed,setting,stop
iter6_cv_split2,stopped,got,short,filled,profit,incoming,greed,died,times,setting
iter6_cv_split3,profit,started,stop,reversal,incoming,got,loss,stopped,dumps,short
iter6_cv_split4,stopped,filled,incoming,profit,died,times,price,got,cloud,market
iter6_cv_split5,stopped,filled,got,incoming,profit,loss,stop,greed,died,times
