,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,buying,buy,coin,rsi,amp,bought,stoch,daily,breakout,order
iter1_cv_split2,buying,buy,stoch,daily,rsi,bought,good,support,time,started
iter1_cv_split3,buying,buy,coin,amp,daily,fib,target,time,bought,masternode
iter1_cv_split4,buying,buy,coin,bought,daily,amp,level,good,fomo,breakout
iter1_cv_split5,buy,buying,daily,rsi,stoch,level,time,bought,breakout,target
iter2_cv_split1,buying,buy,bought,coin,amp,daily,order,started,time,target
iter2_cv_split2,buying,buy,level,amp,bought,order,breakout,support,stoch,started
iter2_cv_split3,buy,buying,daily,stoch,rsi,coin,breakout,fib,masternode,bought
iter2_cv_split4,buying,buy,time,amp,coin,good,rsi,bought,level,stoch
iter2_cv_split5,buy,buying,rsi,daily,stoch,bought,time,coin,fomo,entry
iter3_cv_split1,buying,buy,rsi,coin,level,stoch,order,daily,bought,masternode
iter3_cv_split2,buy,buying,rsi,stoch,coin,time,level,bought,daily,entry
iter3_cv_split3,buying,buy,bought,daily,amp,good,time,line,coin,support
iter3_cv_split4,buy,buying,stoch,coin,rsi,level,daily,amp,bought,fib
iter3_cv_split5,buying,buy,daily,good,time,bought,fomo,support,stoch,started
iter4_cv_split1,buy,buying,bought,coin,level,time,rsi,stoch,entry,daily
iter4_cv_split2,buying,buy,good,daily,amp,time,bought,entry,started,coin
iter4_cv_split3,buying,buy,stoch,rsi,bought,levels,level,masternode,coin,line
iter4_cv_split4,buy,buying,rsi,bought,coin,stoch,daily,amp,time,wait
iter4_cv_split5,buying,buy,daily,coin,good,stoch,rsi,levels,amp,level
iter5_cv_split1,buying,buy,stoch,rsi,time,daily,level,fib,bought,target
iter5_cv_split2,buying,buy,coin,daily,bought,fomo,stoch,started,rsi,level
iter5_cv_split3,buying,buy,bought,amp,daily,stoch,rsi,coin,entry,started
iter5_cv_split4,buy,buying,rsi,stoch,daily,time,level,amp,bought,coin
iter5_cv_split5,buy,buying,coin,bought,stoch,good,rsi,daily,line,fomo
iter6_cv_split1,buying,buy,daily,stoch,level,bought,rsi,coin,started,breakout
iter6_cv_split2,buy,buying,stoch,bought,rsi,good,daily,amp,level,time
iter6_cv_split3,buying,buy,coin,stoch,time,rsi,amp,masternode,wait,fomo
iter6_cv_split4,buy,buying,bought,good,daily,time,coin,order,line,support
iter6_cv_split5,buying,buy,coin,stoch,rsi,daily,time,entry,fomo,bought
iter7_cv_split1,buying,buy,daily,good,rsi,time,bought,amp,stoch,level
iter7_cv_split2,buy,buying,bought,coin,amp,rsi,stoch,masternode,looks,line
iter7_cv_split3,buying,buy,daily,coin,rsi,stoch,level,target,bought,breakout
iter7_cv_split4,buying,buy,time,started,fomo,bought,support,stoch,coin,order
iter7_cv_split5,buying,buy,rsi,bought,daily,stoch,amp,level,coin,good
iter8_cv_split1,buy,buying,rsi,coin,stoch,amp,level,bought,daily,good
iter8_cv_split2,buying,buy,bought,time,good,stoch,coin,amp,rsi,support
iter8_cv_split3,buying,buy,coin,daily,looks,time,bought,good,entry,amp
iter8_cv_split4,buying,buy,daily,stoch,rsi,bought,level,time,order,alt
iter8_cv_split5,buying,buy,daily,bought,amp,rsi,stoch,good,time,fomo
iter9_cv_split1,buying,buy,daily,bought,amp,stoch,rsi,coin,good,level
iter9_cv_split2,buying,buy,rsi,stoch,daily,time,bought,level,fib,support
iter9_cv_split3,buying,buy,coin,stoch,rsi,bought,daily,looks,wait,time
iter9_cv_split4,buying,buy,coin,bought,time,amp,level,good,order,breakout
iter9_cv_split5,buying,buy,rsi,stoch,daily,good,fomo,support,coin,masternode
iter10_cv_split1,buying,buy,stoch,rsi,daily,amp,time,level,bought,fib
iter10_cv_split2,buying,buy,daily,coin,rsi,bought,time,stoch,entry,fomo
iter10_cv_split3,buying,buy,coin,levels,stoch,line,started,support,level,wait
iter10_cv_split4,buy,buying,bought,stoch,rsi,coin,time,entry,target,level
iter10_cv_split5,buy,buying,daily,rsi,bought,stoch,coin,good,amp,fib
iter11_cv_split1,buying,buy,daily,bought,good,stoch,amp,coin,rsi,breakout
iter11_cv_split2,buying,buy,coin,stoch,bought,rsi,level,amp,support,looks
iter11_cv_split3,buying,buy,daily,good,coin,stoch,time,bought,rsi,entry
iter11_cv_split4,buying,buy,coin,stoch,rsi,level,time,daily,fib,line
iter11_cv_split5,buying,buy,rsi,daily,stoch,bought,alt,target,order,wait
iter12_cv_split1,buying,buy,bought,coin,amp,wait,daily,fomo,masternode,support
iter12_cv_split2,buying,buy,daily,amp,time,bought,level,coin,order,breakout
iter12_cv_split3,buy,buying,bought,good,coin,stoch,daily,rsi,amp,level
iter12_cv_split4,buying,buy,rsi,stoch,time,good,bought,coin,daily,order
iter12_cv_split5,buy,buying,stoch,daily,rsi,coin,masternode,wait,order,good
iter13_cv_split1,buy,buying,coin,stoch,time,daily,rsi,good,looks,masternode
iter13_cv_split2,buying,buy,bought,daily,good,stoch,fomo,time,wait,entry
iter13_cv_split3,buy,buying,bought,coin,rsi,daily,amp,stoch,good,breakout
iter13_cv_split4,buying,buy,stoch,rsi,amp,good,level,time,daily,started
iter13_cv_split5,buying,buy,bought,rsi,coin,stoch,daily,wait,target,fib
iter14_cv_split1,buying,buy,daily,bought,amp,stoch,level,rsi,good,masternode
iter14_cv_split2,buy,buying,coin,time,daily,order,masternode,rsi,bought,line
iter14_cv_split3,buying,buy,coin,stoch,rsi,daily,bought,good,target,alt
iter14_cv_split4,buying,buy,bought,time,coin,level,rsi,stoch,daily,good
iter14_cv_split5,buying,buy,coin,bought,amp,level,daily,rsi,stoch,levels
iter15_cv_split1,buying,buy,coin,rsi,stoch,amp,good,bought,entry,started
iter15_cv_split2,buying,buy,rsi,bought,daily,stoch,coin,level,amp,time
iter15_cv_split3,buying,buy,coin,daily,bought,level,good,rsi,stoch,support
iter15_cv_split4,buying,buy,rsi,stoch,level,daily,fib,masternode,target,bought
iter15_cv_split5,buying,buy,daily,amp,time,bought,good,fomo,support,wait
iter16_cv_split1,buying,buy,coin,stoch,amp,rsi,daily,target,breakout,time
iter16_cv_split2,buy,buying,coin,bought,rsi,level,amp,good,stoch,daily
iter16_cv_split3,buying,buy,daily,time,line,started,stoch,order,support,target
iter16_cv_split4,buying,buy,stoch,bought,rsi,coin,daily,level,amp,fomo
iter16_cv_split5,buying,buy,bought,rsi,stoch,coin,order,levels,masternode,looks
iter17_cv_split1,buying,buy,bought,amp,daily,entry,started,stoch,coin,support
iter17_cv_split2,buying,buy,rsi,time,stoch,coin,daily,target,masternode,levels
iter17_cv_split3,buy,buying,coin,daily,good,bought,level,time,rsi,fib
iter17_cv_split4,buying,buy,stoch,rsi,bought,level,good,daily,amp,coin
iter17_cv_split5,buy,buying,rsi,coin,stoch,amp,good,bought,daily,line
iter18_cv_split1,buying,buy,coin,rsi,bought,stoch,daily,wait,order,fomo
iter18_cv_split2,buying,buy,daily,good,coin,bought,stoch,masternode,target,started
iter18_cv_split3,buying,buy,daily,bought,rsi,stoch,level,time,breakout,started
iter18_cv_split4,buy,buying,coin,stoch,amp,time,level,rsi,bought,looks
iter18_cv_split5,buy,buying,rsi,stoch,amp,coin,bought,good,levels,daily
iter19_cv_split1,buying,buy,amp,rsi,bought,stoch,time,entry,breakout,level
iter19_cv_split2,buying,buy,daily,level,time,coin,good,stoch,rsi,amp
iter19_cv_split3,buy,buying,coin,bought,daily,good,masternode,time,looks,wait
iter19_cv_split4,buying,buy,bought,daily,coin,rsi,stoch,order,started,entry
iter19_cv_split5,buying,buy,rsi,stoch,daily,coin,bought,target,looks,good
iter20_cv_split1,buying,buy,coin,daily,stoch,bought,good,time,rsi,level
iter20_cv_split2,buying,buy,level,rsi,coin,stoch,bought,daily,amp,entry
iter20_cv_split3,buying,buy,daily,bought,stoch,rsi,good,entry,target,fib
