,0,1,2,3,4,5,6,7,8,9
iter1_cv_split1,cashing,falls,need,incoming,bull,ok,taking,dimon,stopped,remember
iter1_cv_split2,direction,ride,dump,runat,setting,like,dimon,different,died,didn
iter1_cv_split3,dimon,expecting,examples,price,enoughsold,dumps,dump,rektfest,pls,reversal
iter1_cv_split4,runat,need,stops,stopped,sorry,sold,ok,sleep,shills,cut
iter1_cv_split5,airdrop,examples,enoughsold,rektfest,remember,resistance,dumps,dump,ride,run
iter2_cv_split1,jamie,cashing,stopped,pls,sold,sleep,cut,day,decide,fly
iter2_cv_split2,jamie,ofc,stops,cashing,examples,ok,foreverif,cloud,fly,short
iter2_cv_split3,let,demon,decide,setting,shills,filled,final,cut,sleep,fly
iter2_cv_split4,airdrop,taking,stopped,ok,fly,sorry,sold,sleep,final,setting
iter2_cv_split5,jamie,enoughsold,ride,run,runat,direction,dimon,different,examples,died
iter3_cv_split1,jamie,ofc,stops,stopped,rektfest,foreverif,fly,final,cut,shills
iter3_cv_split2,like,foreverif,rektfest,stopped,fly,pls,sorry,sold,cut,sleep
iter3_cv_split3,ichimoku,rektfest,enoughsold,ride,dump,run,runat,jamie,dimon,different
iter3_cv_split4,jamie,dump,run,runat,lets,dimon,died,dumps,didn,decide
iter3_cv_split5,airdrop,loss,lock,lets,incoming,ichimoku,higher,greed,losses,foreverif
iter4_cv_split1,airdrop,falls,remember,expecting,examples,enoughsold,ride,run,dumps,dump
iter4_cv_split2,jamie,sold,sleep,shills,setting,demon,didn,died,dimon,let
iter4_cv_split3,hours,remember,enoughsold,ride,dump,run,runat,direction,different,examples
iter4_cv_split4,like,stops,remember,moves,ofc,ok,sorry,sold,cut,foreverif
iter4_cv_split5,dimon,cashing,examples,stops,stopped,foreverif,sorry,sold,cut,final
iter5_cv_split1,incoming,reversal,dumps,dump,ride,runat,safe,direction,lets,different
iter5_cv_split2,jamie,cashing,taking,expecting,stopped,pls,sorry,sold,foreverif,sleep
iter5_cv_split3,aka,falls,rektfest,examples,ride,run,enoughsold,losses,dumps,dump
iter5_cv_split4,different,foreverif,need,rektfest,stops,stopped,ofc,sorry,final,sold
iter5_cv_split5,hours,remember,dumps,dump,ride,run,runat,incoming,dimon,different
iter6_cv_split1,runat,rektfest,remember,resistance,enoughsold,dumps,dump,falls,run,direction
iter6_cv_split2,direction,ok,cashing,taking,stops,stopped,foreverif,sorry,sold,cut
iter6_cv_split3,falls,moves,cashing,need,ofc,stops,stopped,ok,rektfest,sorry
iter6_cv_split4,airdrop,let,jamie,incoming,ichimoku,higher,hey,greed,gainzz,fly
iter6_cv_split5,incoming,rektfest,dumps,dump,ride,direction,runat,enoughsold,dimon,died
iter7_cv_split1,hours,shills,runat,run,decide,demon,didn,died,direction,reversal
iter7_cv_split2,let,need,enoughsold,stopped,fly,ofc,sorry,ok,sold,sleep
iter7_cv_split3,lets,run,safe,enoughsold,dumps,setting,lock,direction,dimon,different
